Wavelength[nm],f/6 + AOI 0 deg,
2709,3.54E-05,
2708,3.32E-05,
2707,3.11E-05,
2706,2.90E-05,
2705,2.72E-05,
2704,2.54E-05,
2703,2.38E-05,
2702,2.23E-05,
2701,2.09E-05,
2700,1.96E-05,
2699,1.84E-05,
2698,1.74E-05,
2697,1.64E-05,
2696,1.55E-05,
2695,1.46E-05,
2694,1.39E-05,
2693,1.32E-05,
2692,1.25E-05,
2691,1.19E-05,
2690,1.14E-05,
2689,1.09E-05,
2688,1.04E-05,
2687,1.00E-05,
2686,9.64E-06,
2685,9.29E-06,
2684,8.96E-06,
2683,8.66E-06,
2682,8.38E-06,
2681,8.13E-06,
2680,7.90E-06,
2679,7.68E-06,
2678,7.47E-06,
2677,7.29E-06,
2676,7.12E-06,
2675,6.96E-06,
2674,6.82E-06,
2673,6.69E-06,
2672,6.58E-06,
2671,6.47E-06,
2670,6.38E-06,
2669,6.30E-06,
2668,6.22E-06,
2667,6.15E-06,
2666,6.10E-06,
2665,6.05E-06,
2664,6.01E-06,
2663,5.99E-06,
2662,5.97E-06,
2661,5.96E-06,
2660,5.96E-06,
2659,5.96E-06,
2658,5.98E-06,
2657,6.01E-06,
2656,6.05E-06,
2655,6.09E-06,
2654,6.15E-06,
2653,6.21E-06,
2652,6.28E-06,
2651,6.37E-06,
2650,6.46E-06,
2649,6.57E-06,
2648,6.69E-06,
2647,6.82E-06,
2646,6.96E-06,
2645,7.12E-06,
2644,7.29E-06,
2643,7.48E-06,
2642,7.69E-06,
2641,7.91E-06,
2640,8.16E-06,
2639,8.42E-06,
2638,8.71E-06,
2637,9.03E-06,
2636,9.37E-06,
2635,9.74E-06,
2634,1.01E-05,
2633,1.06E-05,
2632,1.11E-05,
2631,1.16E-05,
2630,1.22E-05,
2629,1.28E-05,
2628,1.34E-05,
2627,1.42E-05,
2626,1.50E-05,
2625,1.59E-05,
2624,1.68E-05,
2623,1.79E-05,
2622,1.91E-05,
2621,2.04E-05,
2620,2.18E-05,
2619,2.34E-05,
2618,2.52E-05,
2617,2.71E-05,
2616,2.93E-05,
2615,3.18E-05,
2614,3.45E-05,
2613,3.76E-05,
2612,4.10E-05,
2611,4.49E-05,
2610,4.93E-05,
2609,5.43E-05,
2608,6.00E-05,
2607,6.65E-05,
2606,7.39E-05,
2605,8.24E-05,
2604,9.22E-05,
2603,1.04E-04,
2602,1.17E-04,
2601,1.32E-04,
2600,1.49E-04,
2599,1.70E-04,
2598,1.94E-04,
2597,2.23E-04,
2596,2.56E-04,
2595,2.95E-04,
2594,3.41E-04,
2593,3.95E-04,
2592,4.59E-04,
2591,5.34E-04,
2590,6.22E-04,
2589,7.23E-04,
2588,8.40E-04,
2587,9.73E-04,
2586,1.12E-03,
2585,1.28E-03,
2584,1.46E-03,
2583,1.63E-03,
2582,1.81E-03,
2581,1.98E-03,
2580,2.14E-03,
2579,2.28E-03,
2578,2.39E-03,
2577,2.48E-03,
2576,2.54E-03,
2575,2.57E-03,
2574,2.58E-03,
2573,2.56E-03,
2572,2.53E-03,
2571,2.48E-03,
2570,2.42E-03,
2569,2.35E-03,
2568,2.27E-03,
2567,2.19E-03,
2566,2.10E-03,
2565,2.00E-03,
2564,1.91E-03,
2563,1.81E-03,
2562,1.72E-03,
2561,1.63E-03,
2560,1.54E-03,
2559,1.45E-03,
2558,1.37E-03,
2557,1.29E-03,
2556,1.22E-03,
2555,1.15E-03,
2554,1.09E-03,
2553,1.03E-03,
2552,9.84E-04,
2551,9.38E-04,
2550,8.97E-04,
2549,8.60E-04,
2548,8.27E-04,
2547,7.99E-04,
2546,7.74E-04,
2545,7.54E-04,
2544,7.37E-04,
2543,7.23E-04,
2542,7.13E-04,
2541,7.07E-04,
2540,7.03E-04,
2539,7.03E-04,
2538,7.07E-04,
2537,7.14E-04,
2536,7.25E-04,
2535,7.40E-04,
2534,7.59E-04,
2533,7.83E-04,
2532,8.12E-04,
2531,8.46E-04,
2530,8.86E-04,
2529,9.33E-04,
2528,9.87E-04,
2527,1.05E-03,
2526,1.12E-03,
2525,1.19E-03,
2524,1.27E-03,
2523,1.35E-03,
2522,1.43E-03,
2521,1.51E-03,
2520,1.56E-03,
2519,1.60E-03,
2518,1.62E-03,
2517,1.60E-03,
2516,1.54E-03,
2515,1.47E-03,
2514,1.37E-03,
2513,1.26E-03,
2512,1.14E-03,
2511,1.03E-03,
2510,9.22E-04,
2509,8.24E-04,
2508,7.36E-04,
2507,6.59E-04,
2506,5.91E-04,
2505,5.32E-04,
2504,4.82E-04,
2503,4.38E-04,
2502,4.00E-04,
2501,3.67E-04,
2500,3.39E-04,
2499,3.15E-04,
2498,2.94E-04,
2497,2.76E-04,
2496,2.60E-04,
2495,0.000246377,
2494,0.000234801,
2493,0.000224905,
2492,0.000216521,
2491,0.000209508,
2490,0.000203798,
2489,0.000199159,
2488,0.000195659,
2487,0.000193197,
2486,0.000191779,
2485,0.000191337,
2484,0.000191955,
2483,0.000193598,
2482,1.96E-04,
