Wavelength[nm],f/6 + AOI 0 deg,
1711,99.4260074,
1710,99.49471218,
1709,99.56346443,
1708,99.6322642,
1707,99.67815712,
1706,99.72407117,
1705,99.77000638,
1704,99.77000638,
1703,99.77000638,
1702,99.72407117,
1701,99.67815712,
1700,99.60932566,
1699,99.54054174,
1698,99.44890372,
1697,99.38023057,
1696,99.31160484,
1695,99.26588069,
1694,99.2430265,
1693,99.2430265,
1692,99.26588069,
1691,99.28874013,
1690,99.35735006,
1689,99.4260074,
1688,99.49471218,
1687,99.56346443,
1686,99.6322642,
1685,99.67815712,
1684,99.72407117,
1683,99.74703613,
1682,99.74703613,
1681,99.72407117,
1680,99.7011115,
1679,99.6322642,
1678,99.58639241,
1677,99.51762432,
1676,99.47180531,
1675,99.4260074,
1674,99.38023057,
1673,99.38023057,
1672,99.38023057,
1671,99.38023057,
1670,99.4260074,
1669,99.47180531,
1668,99.51762432,
1667,99.58639241,
1666,99.6322642,
1665,99.67815712,
1664,99.72407117,
1663,99.72407117,
1662,99.72407117,
1661,99.7011115,
1660,99.65520801,
1659,99.60932566,
1658,99.56346443,
1657,99.49471218,
1656,99.4260074,
1655,99.38023057,
1654,99.33447482,
1653,99.31160484,
1652,99.31160484,
1651,99.33447482,
1650,99.35735006,
1649,99.40311635,
1648,99.47180531,
1647,99.54054174,
1646,99.58639241,
1645,99.65520801,
1644,99.7011115,
1643,99.72407117,
1642,99.74703613,
1641,99.72407117,
1640,99.7011115,
1639,99.67815712,
1638,99.60932566,
1637,99.56346443,
1636,99.49471218,
1635,99.44890372,
1634,99.40311635,
1633,99.35735006,
1632,99.35735006,
1631,99.35735006,
1630,99.38023057,
1629,99.4260074,
1628,99.47180531,
1627,99.54054174,
1626,99.58639241,
1625,99.65520801,
1624,99.7011115,
1623,99.72407117,
1622,99.74703613,
1621,99.74703613,
1620,99.72407117,
1619,99.67815712,
1618,99.6322642,
1617,99.58639241,
1616,99.51762432,
1615,99.47180531,
1614,99.4260074,
1613,99.40311635,
1612,99.38023057,
1611,99.38023057,
1610,99.40311635,
1609,99.44890372,
1608,99.49471218,
1607,99.54054174,
1606,99.60932566,
1605,99.65520801,
1604,99.7011115,
1603,99.72407117,
1602,99.72407117,
1601,99.72407117,
1600,99.7011115,
1599,99.65520801,
1598,99.58639241,
1597,99.54054174,
1596,99.47180531,
1595,99.4260074,
1594,99.38023057,
1593,99.35735006,
1592,99.33447482,
1591,99.35735006,
1590,99.38023057,
1589,99.4260074,
1588,99.49471218,
1587,99.56346443,
1586,99.60932566,
1585,99.67815712,
1584,99.72407117,
1583,99.74703613,
1582,99.77000638,
1581,99.74703613,
1580,99.72407117,
1579,99.67815712,
1578,99.60932566,
1577,99.54054174,
1576,99.49471218,
1575,99.4260074,
1574,99.38023057,
1573,99.35735006,
1572,99.35735006,
1571,99.35735006,
1570,99.40311635,
1569,99.44890372,
1568,99.49471218,
1567,99.54054174,
1566,99.60932566,
1565,99.65520801,
1564,99.7011115,
1563,99.7011115,
1562,99.7011115,
1561,99.7011115,
1560,99.65520801,
1559,99.6322642,
1558,99.56346443,
1557,99.51762432,
1556,99.47180531,
1555,99.44890372,
1554,99.4260074,
1553,99.4260074,
1552,99.44890372,
1551,99.49471218,
1550,99.54054174,
1549,99.58639241,
1548,99.65520801,
1547,99.7011115,
1546,99.74703613,
1545,99.77000638,
1544,99.77000638,
1543,99.77000638,
1542,99.74703613,
1541,99.7011115,
1540,99.6322642,
1539,99.58639241,
1538,99.51762432,
1537,99.47180531,
1536,99.4260074,
1535,99.4260074,
1534,99.4260074,
1533,99.44890372,
1532,99.49471218,
1531,99.54054174,
1530,99.60932566,
1529,99.67815712,
1528,99.72407117,
1527,99.77000638,
1526,99.79298192,
1525,99.79298192,
1524,99.77000638,
1523,99.72407117,
1522,99.67815712,
1521,99.58639241,
1520,99.51762432,
1519,99.44890372,
1518,99.38023057,
1517,99.33447482,
1516,99.31160484,
1515,99.31160484,
1514,99.33447482,
1513,99.38023057,
1512,99.44890372,
1511,99.51762432,
1510,99.58639241,
1509,99.65520801,
1508,99.7011115,
1507,99.74703613,
1506,99.74703613,
1505,99.74703613,
1504,99.72407117,
1503,99.7011115,
1502,99.6322642,
1501,99.58639241,
1500,99.54054174,
1499,99.51762432,
1498,99.49471218,
1497,99.49471218,
1496,99.51762432,
1495,99.56346443,
1494,99.60932566,
1493,99.65520801,
1492,99.72407117,
1491,99.74703613,
1490,99.79298192,
1489,99.79298192,
1488,99.77000638,
1487,99.74703613,
1486,99.7011115,
1485,99.6322642,
1484,99.58639241,
1483,99.51762432,
1482,99.47180531,
1481,99.44890372,
1480,99.4260074,
1479,99.44890372,
1478,99.47180531,
1477,99.51762432,
1476,99.58639241,
1475,99.65520801,
1474,99.7011115,
1473,99.77000638,
1472,99.79298192,
1471,99.79298192,
1470,99.77000638,
1469,99.72407117,
1468,99.65520801,
1467,99.58639241,
1466,99.51762432,
1465,99.44890372,
1464,99.38023057,
1463,99.35735006,
1462,99.33447482,
1461,99.35735006,
1460,99.38023057,
1459,99.44890372,
1458,99.49471218,
1457,99.56346443,
1456,99.6322642,
1455,99.67815712,
1454,99.7011115,
1453,99.7011115,
1452,99.67815712,
1451,99.65520801,
1450,99.58639241,
1449,99.54054174,
1448,99.49471218,
1447,99.44890372,
1446,99.40311635,
1445,99.40311635,
1444,99.4260074,
1443,99.44890372,
1442,99.49471218,
1441,99.56346443,
1440,99.60932566,
1439,99.65520801,
1438,99.67815712,
1437,99.7011115,
1436,99.7011115,
1435,99.65520801,
1434,99.60932566,
1433,99.54054174,
1432,99.49471218,
1431,99.4260074,
1430,99.38023057,
1429,99.38023057,
1428,99.38023057,
1427,99.40311635,
1426,99.44890372,
1425,99.51762432,
1424,99.58639241,
1423,99.65520801,
1422,99.7011115,
1421,99.72407117,
1420,99.74703613,
1419,99.72407117,
1418,99.67815712,
1417,99.60932566,
1416,99.54054174,
1415,99.47180531,
1414,99.40311635,
1413,99.38023057,
1412,99.35735006,
1411,99.35735006,
1410,99.38023057,
1409,99.44890372,
1408,99.51762432,
1407,99.58639241,
1406,99.6322642,
1405,99.67815712,
1404,99.72407117,
1403,99.72407117,
1402,99.7011115,
1401,99.65520801,
1400,99.58639241,
1399,99.51762432,
1398,99.47180531,
1397,99.4260074,
1396,99.40311635,
1395,99.38023057,
1394,99.40311635,
1393,99.44890372,
1392,99.49471218,
1391,99.54054174,
1390,99.56346443,
1389,99.60932566,
1388,99.60932566,
1387,99.60932566,
1386,99.56346443,
1385,99.54054174,
1384,99.49471218,
1383,99.44890372,
1382,99.40311635,
1381,99.38023057,
1380,99.40311635,
1379,99.4260074,
1378,99.47180531,
1377,99.54054174,
1376,99.60932566,
1375,99.67815712,
1374,99.72407117,
1373,99.74703613,
1372,99.74703613,
1371,99.7011115,
1370,99.65520801,
1369,99.56346443,
1368,99.47180531,
1367,99.40311635,
1366,99.33447482,
1365,99.28874013,
1364,99.28874013,
1363,99.31160484,
1362,99.35735006,
1361,99.4260074,
1360,99.49471218,
1359,99.56346443,
1358,99.60932566,
1357,99.65520801,
1356,99.65520801,
1355,99.6322642,
1354,99.58639241,
1353,99.54054174,
1352,99.49471218,
1351,99.4260074,
1350,99.40311635,
1349,99.38023057,
1348,99.40311635,
1347,99.4260074,
1346,99.47180531,
1345,99.54054174,
1344,99.58639241,
1343,99.60932566,
1342,99.6322642,
1341,99.60932566,
1340,99.58639241,
1339,99.54054174,
1338,99.47180531,
1337,99.4260074,
1336,99.40311635,
1335,99.38023057,
1334,99.40311635,
1333,99.44890372,
1332,99.51762432,
1331,99.58639241,
1330,99.6322642,
1329,99.67815712,
1328,99.7011115,
1327,99.7011115,
1326,99.65520801,
1325,99.58639241,
1324,99.49471218,
1323,99.40311635,
1322,99.31160484,
1321,99.2430265,
1320,99.19733392,
1319,99.22017758,
1318,99.2430265,
1317,99.31160484,
1316,99.40311635,
1315,99.49471218,
1314,99.58639241,
1313,99.6322642,
1312,99.65520801,
1311,99.6322642,
1310,99.60932566,
1309,99.54054174,
1308,99.47180531,
1307,99.40311635,
1306,99.33447482,
1305,99.33447482,
1304,99.33447482,
1303,99.38023057,
1302,99.4260074,
1301,99.49471218,
1300,99.56346443,
1299,99.60932566,
1298,99.6322642,
1297,99.60932566,
1296,99.58639241,
1295,99.54054174,
1294,99.49471218,
1293,99.47180531,
1292,99.44890372,
1291,99.44890372,
1290,99.49471218,
1289,99.54054174,
1288,99.60932566,
1287,99.65520801,
1286,99.7011115,
1285,99.72407117,
1284,99.72407117,
1283,99.67815712,
1282,99.60932566,
1281,99.51762432,
1280,99.44890372,
1279,99.40311635,
1278,99.38023057,
1277,99.40311635,
1276,99.44890372,
1275,99.54054174,
1274,99.6322642,
1273,99.7011115,
1272,99.77000638,
1271,99.79298192,
1270,99.77000638,
1269,99.7011115,
1268,99.60932566,
1267,99.49471218,
1266,99.38023057,
1265,99.31160484,
1264,99.28874013,
1263,99.28874013,
1262,99.33447482,
1261,99.4260074,
1260,99.51762432,
1259,99.60932566,
1258,99.65520801,
1257,99.67815712,
1256,99.67815712,
1255,99.6322642,
1254,99.56346443,
1253,99.49471218,
1252,99.44890372,
1251,99.40311635,
1250,99.4260074,
1249,99.44890372,
1248,99.51762432,
1247,99.58639241,
1246,99.6322642,
1245,99.65520801,
1244,99.6322642,
1243,99.58639241,
1242,99.51762432,
1241,99.4260074,
1240,99.35735006,
1239,99.31160484,
1238,99.33447482,
1237,99.38023057,
1236,99.47180531,
1235,99.56346443,
1234,99.67815712,
1233,99.74703613,
1232,99.77000638,
1231,99.72407117,
1230,99.65520801,
1229,99.51762432,
1228,99.40311635,
1227,99.28874013,
1226,99.22017758,
1225,99.19733392,
1224,99.2430265,
1223,99.33447482,
1222,99.44890372,
1221,99.56346443,
1220,99.65520801,
1219,99.7011115,
1218,99.7011115,
1217,99.65520801,
1216,99.56346443,
1215,99.47180531,
1214,99.40311635,
1213,99.35735006,
1212,99.35735006,
1211,99.40311635,
1210,99.49471218,
1209,99.56346443,
1208,99.6322642,
1207,99.6322642,
1206,99.60932566,
1205,99.54054174,
1204,99.47180531,
1203,99.38023057,
1202,99.33447482,
1201,99.31160484,
1200,99.35735006,
1199,99.44890372,
1198,99.56346443,
1197,99.65520801,
1196,99.7011115,
1195,99.7011115,
1194,99.6322642,
1193,99.49471218,
1192,99.35735006,
1191,99.22017758,
1190,99.12883449,
1189,99.10601186,
1188,99.17449552,
1187,99.28874013,
1186,99.4260074,
1185,99.58639241,
1184,99.7011115,
1183,99.74703613,
1182,99.7011115,
1181,99.58639241,
1180,99.4260074,
1179,99.28874013,
1178,99.17449552,
1177,99.10601186,
1176,99.12883449,
1175,99.19733392,
1174,99.31160484,
1173,99.44890372,
1172,99.54054174,
1171,99.60932566,
1170,99.60932566,
1169,99.56346443,
1168,99.49471218,
1167,99.44890372,
1166,99.4260074,
1165,99.44890372,
1164,99.51762432,
1163,99.58639241,
1162,99.6322642,
1161,99.67815712,
1160,99.6322642,
1159,99.56346443,
1158,99.47180531,
1157,99.35735006,
1156,99.28874013,
1155,99.2430265,
1154,99.28874013,
1153,99.38023057,
1152,99.51762432,
1151,99.6322642,
1150,99.72407117,
1149,99.72407117,
1148,99.67815712,
1147,99.54054174,
1146,99.40311635,
1145,99.26588069,
1144,99.17449552,
1143,99.15166238,
1142,99.19733392,
1141,99.31160484,
1140,99.44890372,
1139,99.58639241,
1138,99.7011115,
1137,99.72407117,
1136,99.7011115,
1135,99.6322642,
1134,99.54054174,
1133,99.4260074,
1132,99.35735006,
1131,99.31160484,
1130,99.28874013,
1129,99.28874013,
1128,99.31160484,
1127,99.33447482,
1126,99.35735006,
1125,99.38023057,
1124,99.4260074,
1123,99.47180531,
1122,99.54054174,
1121,99.60932566,
1120,99.65520801,
1119,99.65520801,
1118,99.6322642,
1117,99.54054174,
1116,99.4260074,
1115,99.31160484,
1114,99.22017758,
1113,99.19733392,
1112,99.2430265,
1111,99.35735006,
1110,99.49471218,
1109,99.6322642,
1108,99.72407117,
1107,99.74703613,
1106,99.67815712,
1105,99.56346443,
1104,99.4260074,
1103,99.31160484,
1102,99.2430265,
1101,99.26588069,
1100,99.33447482,
1099,99.4260074,
1098,99.54054174,
1097,99.60932566,
1096,99.6322642,
1095,99.60932566,
1094,99.58639241,
1093,99.56346443,
1092,99.54054174,
1091,99.56346443,
1090,99.60932566,
1089,99.65520801,
1088,99.65520801,
1087,99.60932566,
1086,99.51762432,
1085,99.4260074,
1084,99.35735006,
1083,99.33447482,
1082,99.38023057,
1081,99.49471218,
1080,99.6322642,
1079,99.72407117,
1078,99.77000638,
1077,99.7011115,
1076,99.58639241,
1075,99.4260074,
1074,99.28874013,
1073,99.19733392,
1072,99.22017758,
1071,99.33447482,
1070,99.47180531,
1069,99.60932566,
1068,99.67815712,
1067,99.67815712,
1066,99.6322642,
1065,99.54054174,
1064,99.47180531,
1063,99.44890372,
1062,99.47180531,
1061,99.51762432,
1060,99.56346443,
1059,99.56346443,
1058,99.51762432,
1057,99.40311635,
1056,99.31160484,
1055,99.26588069,
1054,99.31160484,
1053,99.40311635,
1052,99.56346443,
1051,99.67815712,
1050,99.74703613,
1049,99.72407117,
1048,99.60932566,
1047,99.44890372,
1046,99.35735006,
1045,99.33447482,
1044,99.40311635,
1043,99.51762432,
1042,99.65520801,
1041,99.72407117,
1040,99.72407117,
1039,99.6322642,
1038,99.51762432,
1037,99.4260074,
1036,99.38023057,
1035,99.4260074,
1034,99.49471218,
1033,99.56346443,
1032,99.58639241,
1031,99.54054174,
1030,99.47180531,
1029,99.4260074,
1028,99.4260074,
1027,99.51762432,
1026,99.60932566,
1025,99.7011115,
1024,99.67815712,
1023,99.54054174,
1022,99.35735006,
1021,99.19733392,
1020,99.12883449,
1019,99.19733392,
1018,99.35735006,
1017,99.56346443,
1016,99.7011115,
1015,99.67815712,
1014,99.54054174,
1013,99.33447482,
1012,99.19733392,
1011,99.17449552,
1010,99.31160484,
1009,99.49471218,
1008,99.67815712,
1007,99.72407117,
1006,99.65520801,
1005,99.51762432,
1004,99.40311635,
1003,99.38023057,
1002,99.47180531,
1001,99.60932566,
1000,99.72407117,
999,99.7011115,
998,99.60932566,
997,99.47180531,
996,99.4260074,
995,99.47180531,
994,99.58639241,
993,99.67815712,
992,99.6322642,
991,99.44890372,
990,99.19733392,
989,99.01477388,
988,99.0375755,
987,99.2430265,
986,99.54054174,
985,99.72407117,
984,99.72407117,
983,99.49471218,
982,99.2430265,
981,99.12883449,
980,99.22017758,
979,99.47180531,
978,99.72407117,
977,99.81596275,
976,99.72407117,
975,99.54054174,
974,99.4260074,
973,99.47180531,
972,99.6322642,
971,99.74703613,
970,99.74703613,
969,99.58639241,
968,99.40311635,
967,99.31160484,
966,99.33447482,
965,99.35735006,
964,99.2430265,
963,99.0375755,
962,98.94640051,
961,99.0375755,
960,99.26588069,
959,99.35735006,
958,99.15166238,
957,98.78704622,
956,98.6506611,
955,98.9008445,
954,99.17449552,
953,99.10601186,
952,98.99197751,
951,98.99197751,
950,95.10426642,
949,76.84223711,
948,46.18489919,
947,21.91795344,
946,9.475453398,
945,4.004976757,
944,1.690830215,
943,0.72577165,
942,0.323817265,
941,0.153003019,
940,0.077410523,
939,0.042121129,
938,0.024677434,
937,0.015545332,
936,0.010500259,
935,0.007580537,
934,0.005821032,
933,0.004723892,
932,0.004010514,
931,0.003513177,
930,0.003123921,
929,0.002776515,
928,0.00245132,
927,0.002165708,
926,0.00195614,
925,0.001858232,
924,0.001913375,
923,0.002195331,
922,0.00280608,
921,0.003508326,
920,0.003035289,
919,0.001654246,
918,0.000800203,
917,0.000425794,
916,0.00025704,
915,0.00017374,
914,0.000129271,
913,1.04E-04,
912,9.02E-05,
911,8.23E-05,
910,7.79E-05,
909,7.48E-05,
908,7.14E-05,
907,6.67E-05,
906,6.07E-05,
905,5.45E-05,
904,4.93E-05,
903,4.57E-05,
902,4.42E-05,
901,4.49E-05,
900,4.82E-05,
