Wavelength[nm],r%,,,T% at AOI 45 deg
2389,1.36392,,,98.63608
2388,1.35476,,,98.64524
2387,1.32236,,,98.67764
2386,1.33277,,,98.66723
2385,1.36552,,,98.63448
2384,1.35496,,,98.64504
2383,1.32306,,,98.67694
2382,1.33522,,,98.66478
2381,1.36736,,,98.63264
2380,1.35475,,,98.64525
2379,1.3237,,,98.6763
2378,1.33824,,,98.66176
2377,1.36932,,,98.63068
2376,1.35412,,,98.64588
2375,1.32442,,,98.67558
2374,1.34186,,,98.65814
2373,1.37134,,,98.62866
2372,1.35303,,,98.64697
2371,1.32533,,,98.67467
2370,1.34612,,,98.65388
2369,1.37325,,,98.62675
2368,1.35148,,,98.64852
2367,1.32663,,,98.67337
2366,1.351,,,98.649
2365,1.37487,,,98.62513
2364,1.34953,,,98.65047
2363,1.32851,,,98.67149
2362,1.35645,,,98.64355
2361,1.37598,,,98.62402
2360,1.34724,,,98.65276
2359,1.33121,,,98.66879
2358,1.36234,,,98.63766
2357,1.37634,,,98.62366
2356,1.34478,,,98.65522
2355,1.33494,,,98.66506
2354,1.36845,,,98.63155
2353,1.37573,,,98.62427
2352,1.34243,,,98.65757
2351,1.33988,,,98.66012
2350,1.37446,,,98.62554
2349,1.37395,,,98.62605
2348,1.34045,,,98.65955
2347,1.34637,,,98.65363
2346,1.38012,,,98.61988
2345,1.37077,,,98.62923
2344,1.33941,,,98.66059
2343,1.35429,,,98.64571
2342,1.38457,,,98.61543
2341,1.36645,,,98.63355
2340,1.33998,,,98.66002
2339,1.36325,,,98.63675
2338,1.38721,,,98.61279
2337,1.36139,,,98.63861
2336,1.3427,,,98.6573
2335,1.37269,,,98.62731
2334,1.38754,,,98.61246
2333,1.35628,,,98.64372
2332,1.34794,,,98.65206
2331,1.38175,,,98.61825
2330,1.38528,,,98.61472
2329,1.35204,,,98.64796
2328,1.35573,,,98.64427
2327,1.38936,,,98.61064
2326,1.38054,,,98.61946
2325,1.34975,,,98.65025
2324,1.36565,,,98.63435
2323,1.39436,,,98.60564
2322,1.37392,,,98.62608
2321,1.35045,,,98.64955
2320,1.37676,,,98.62324
2319,1.39579,,,98.60421
2318,1.3666,,,98.6334
2317,1.35487,,,98.64513
2316,1.38757,,,98.61243
2315,1.39314,,,98.60686
2314,1.36025,,,98.63975
2313,1.36307,,,98.63693
2312,1.39616,,,98.60384
2311,1.38668,,,98.61332
2310,1.35674,,,98.64326
2309,1.37418,,,98.62582
2308,1.40071,,,98.59929
2307,1.37776,,,98.62224
2306,1.3577,,,98.6423
2305,1.38633,,,98.61367
2304,1.3999,,,98.6001
2303,1.36862,,,98.63138
2302,1.36377,,,98.63623
2301,1.39685,,,98.60315
2300,1.39363,,,98.60637
2299,1.36205,,,98.63795
2298,1.37426,,,98.62574
2297,1.40291,,,98.59709
2296,1.38334,,,98.61666
2295,1.36056,,,98.63944
2294,1.38682,,,98.61318
2293,1.4024,,,98.5976
2292,1.37205,,,98.62795
2291,1.36548,,,98.63452
2290,1.39783,,,98.60217
2289,1.39494,,,98.60506
2288,1.3636,,,98.6364
2287,1.37619,,,98.62381
2286,1.4035,,,98.5965
2285,1.38239,,,98.61761
2284,1.36175,,,98.63825
2283,1.38922,,,98.61078
2282,1.40074,,,98.59926
2281,1.36938,,,98.63062
2280,1.36789,,,98.63211
2279,1.39925,,,98.60075
2278,1.38987,,,98.61013
2277,1.36129,,,98.63871
2276,1.37986,,,98.62014
2275,1.40137,,,98.59863
2274,1.3748,,,98.6252
2273,1.36196,,,98.63804
2272,1.39221,,,98.60779
2271,1.39348,,,98.60652
2270,1.36205,,,98.63795
2269,1.37125,,,98.62875
2268,1.39825,,,98.60175
2267,1.37819,,,98.62181
2266,1.35768,,,98.64232
2265,1.38422,,,98.61578
2264,1.39351,,,98.60649
2263,1.36236,,,98.63764
2262,1.36379,,,98.63621
2261,1.39295,,,98.60705
2260,1.37888,,,98.62112
2259,1.35396,,,98.64604
2258,1.3764,,,98.6236
2257,1.3908,,,98.6092
2256,1.36118,,,98.63882
2255,1.35725,,,98.64275
2254,1.38676,,,98.61324
2253,1.37695,,,98.62305
2252,1.34995,,,98.65005
2251,1.36929,,,98.63071
2250,1.38632,,,98.61368
2249,1.35809,,,98.64191
2248,1.3515,,,98.6485
2247,1.38066,,,98.61934
2246,1.37262,,,98.62738
2245,1.34531,,,98.65469
2244,1.36361,,,98.63639
2243,1.38069,,,98.61931
2242,1.35289,,,98.64711
2241,1.34662,,,98.65338
2240,1.37522,,,98.62478
2239,1.36638,,,98.63362
2238,1.34007,,,98.65993
2237,1.35923,,,98.64077
2236,1.37445,,,98.62555
2235,1.34626,,,98.65374
2234,1.34261,,,98.65739
2233,1.37048,,,98.62952
2232,1.35876,,,98.64124
2231,1.33482,,,98.66518
2230,1.35631,,,98.64369
2229,1.36772,,,98.63228
2228,1.33891,,,98.66109
2227,1.33989,,,98.66011
2226,1.36626,,,98.63374
2225,1.35039,,,98.64961
2224,1.33034,,,98.66966
2223,1.35454,,,98.64546
2222,1.36053,,,98.63947
2221,1.33176,,,98.66824
2220,1.33899,,,98.66101
2219,1.36234,,,98.63766
2218,1.34127,,,98.65873
2217,1.32792,,,98.67208
2216,1.35469,,,98.64531
2215,1.35208,,,98.64792
2214,1.32562,,,98.67438
2213,1.34155,,,98.65845
2212,1.35787,,,98.64213
2211,1.33188,,,98.66812
2210,1.32916,,,98.67084
2209,1.35554,,,98.64446
2208,1.34257,,,98.65743
2207,1.32279,,,98.67721
2206,1.34614,,,98.65386
2205,1.35185,,,98.64815
2204,1.32478,,,98.67522
2203,1.33417,,,98.66583
2202,1.35522,,,98.64478
2201,1.33329,,,98.66671
2200,1.32491,,,98.67509
2199,1.35149,,,98.64851
2198,1.34388,,,98.65612
2197,1.32202,,,98.67798
2196,1.34288,,,98.65712
2195,1.35207,,,98.64793
2194,1.32597,,,98.67403
2193,1.33321,,,98.66679
2192,1.35509,,,98.64491
2191,1.33484,,,98.66516
2190,1.32634,,,98.67366
2189,1.35249,,,98.64751
2188,1.34524,,,98.65476
2187,1.32472,,,98.67528
2186,1.34598,,,98.65402
2185,1.3538,,,98.6462
2184,1.32877,,,98.67123
2183,1.33842,,,98.66158
2182,1.35832,,,98.64168
2181,1.33712,,,98.66288
2180,1.33275,,,98.66725
2179,1.35826,,,98.64174
2178,1.34731,,,98.65269
2177,1.33096,,,98.66904
2176,1.35458,,,98.64542
2175,1.35677,,,98.64323
2174,1.33373,,,98.66627
2173,1.34922,,,98.65078
2172,1.36359,,,98.63641
2171,1.34045,,,98.65955
2170,1.34431,,,98.65569
2169,1.36684,,,98.63316
2168,1.34959,,,98.65041
2167,1.34161,,,98.65839
2166,1.36674,,,98.63326
2165,1.35934,,,98.64066
2164,1.34209,,,98.65791
