Wavelength[nm],r%,,,T% at AOI 45 deg
1673,1.38982,,,98.61018
1672,1.38857,,,98.61143
1671,1.39635,,,98.60365
1670,1.39394,,,98.60606
1669,1.40238,,,98.59762
1668,1.39876,,,98.60124
1667,1.40771,,,98.59229
1666,1.40292,,,98.59708
1665,1.41219,,,98.58781
1664,1.40637,,,98.59363
1663,1.41562,,,98.58438
1662,1.40904,,,98.59096
1661,1.41787,,,98.58213
1660,1.41089,,,98.58911
1659,1.41881,,,98.58119
1658,1.41194,,,98.58806
1657,1.41832,,,98.58168
1656,1.41216,,,98.58784
1655,1.41633,,,98.58367
1654,1.41148,,,98.58852
1653,1.41287,,,98.58713
1652,1.40988,,,98.59012
1651,1.40802,,,98.59198
1650,1.40728,,,98.59272
1649,1.40194,,,98.59806
1648,1.40357,,,98.59643
1647,1.39487,,,98.60513
1646,1.39863,,,98.60137
1645,1.38715,,,98.61285
1644,1.39233,,,98.60767
1643,1.37909,,,98.62091
1642,1.38458,,,98.61542
1641,1.37102,,,98.62898
1640,1.37539,,,98.62461
1639,1.36317,,,98.63683
1638,1.36488,,,98.63512
1637,1.35565,,,98.64435
1636,1.35341,,,98.64659
1635,1.34839,,,98.65161
1634,1.34153,,,98.65847
1633,1.34117,,,98.65883
1632,1.32993,,,98.67007
1631,1.33365,,,98.66635
1630,1.31935,,,98.68065
1629,1.32553,,,98.67447
1628,1.31052,,,98.68948
1627,1.3166,,,98.6834
1626,1.30388,,,98.69612
1625,1.30701,,,98.69299
1624,1.2994,,,98.7006
1623,1.29736,,,98.70264
1622,1.29656,,,98.70344
1621,1.28869,,,98.71131
1620,1.29448,,,98.70552
1619,1.28223,,,98.71777
1618,1.2922,,,98.7078
1617,1.27902,,,98.72098
1616,1.28912,,,98.71088
1615,1.27947,,,98.72053
1614,1.28539,,,98.71461
1613,1.28309,,,98.71691
1612,1.28201,,,98.71799
1611,1.28847,,,98.71153
1610,1.28063,,,98.71937
1609,1.29381,,,98.70619
1608,1.28287,,,98.71713
1607,1.29768,,,98.70232
1606,1.2895,,,98.7105
1605,1.29979,,,98.70021
1604,1.29979,,,98.70021
1603,1.30138,,,98.69862
1602,1.31151,,,98.68849
1601,1.30475,,,98.69525
1600,1.32187,,,98.67813
1599,1.31208,,,98.68792
1598,1.32891,,,98.67109
1597,1.32392,,,98.67608
1596,1.33279,,,98.66721
1595,1.33839,,,98.66161
1594,1.33599,,,98.66401
1593,1.35182,,,98.64818
1592,1.34187,,,98.65813
1591,1.36076,,,98.63924
1590,1.35237,,,98.64763
1589,1.36423,,,98.63577
1588,1.36626,,,98.63374
1587,1.36486,,,98.63514
1586,1.37901,,,98.62099
1585,1.36735,,,98.63265
1584,1.38577,,,98.61423
1583,1.37489,,,98.62511
1582,1.38518,,,98.61482
1581,1.38596,,,98.61404
1580,1.38094,,,98.61906
1579,1.39483,,,98.60517
1578,1.37935,,,98.62065
1577,1.39579,,,98.60421
1576,1.38388,,,98.61612
1575,1.3885,,,98.6115
1574,1.39143,,,98.60857
1573,1.37914,,,98.62086
1572,1.39431,,,98.60569
1571,1.3754,,,98.6246
1570,1.38728,,,98.61272
1569,1.37896,,,98.62104
1568,1.37357,,,98.62643
1567,1.38291,,,98.61709
1566,1.3629,,,98.6371
1565,1.37821,,,98.62179
1564,1.36194,,,98.63806
1563,1.36376,,,98.63624
1562,1.36655,,,98.63345
1561,1.34916,,,98.65084
1560,1.3654,,,98.6346
1559,1.34518,,,98.65482
1558,1.35292,,,98.64708
1557,1.35122,,,98.64878
1556,1.33754,,,98.66246
1555,1.35441,,,98.64559
1554,1.33332,,,98.66668
1553,1.34538,,,98.65462
1552,1.34224,,,98.65776
1551,1.33167,,,98.66833
1550,1.35014,,,98.64986
1549,1.32977,,,98.67023
1548,1.34481,,,98.65519
1547,1.34305,,,98.65695
1546,1.33392,,,98.66608
1545,1.35521,,,98.64479
1544,1.33624,,,98.66376
1543,1.35231,,,98.64769
1542,1.35441,,,98.64559
1541,1.34421,,,98.65579
1540,1.36872,,,98.63128
1539,1.35166,,,98.64834
1538,1.36536,,,98.63464
1537,1.37368,,,98.62632
1536,1.35935,,,98.64065
1535,1.38565,,,98.61435
1534,1.37204,,,98.62796
1533,1.37807,,,98.62193
1532,1.39391,,,98.60609
1531,1.37393,,,98.62607
1530,1.39716,,,98.60284
1529,1.39,,,98.61
1528,1.38309,,,98.61691
1527,1.4047,,,98.5953
1526,1.38124,,,98.61876
1525,1.39362,,,98.60638
1524,1.39606,,,98.60394
1523,1.37409,,,98.62591
1522,1.39516,,,98.60484
1521,1.37514,,,98.62486
1520,1.36816,,,98.63184
1519,1.38087,,,98.61913
1518,1.34898,,,98.65102
1517,1.35759,,,98.64241
1516,1.35101,,,98.64899
1515,1.32194,,,98.67806
1514,1.33699,,,98.66301
1513,1.31084,,,98.68916
1512,1.29482,,,98.70518
1511,1.30455,,,98.69545
1510,1.26715,,,98.73285
1509,1.26649,,,98.73351
1508,1.26309,,,98.73691
1507,1.22582,,,98.77418
1506,1.23636,,,98.76364
1505,1.21854,,,98.78146
1504,1.19064,,,98.80936
1503,1.20602,,,98.79398
1502,1.17761,,,98.82239
1501,1.16431,,,98.83569
1500,1.17886,,,98.82114
1499,1.14625,,,98.85375
1498,1.1487,,,98.8513
1497,1.15897,,,98.84103
1496,1.12862,,,98.87138
1495,1.14502,,,98.85498
1494,1.14992,,,98.85008
1493,1.1265,,,98.8735
1492,1.15352,,,98.84648
1491,1.15347,,,98.84653
1490,1.13927,,,98.86073
1489,1.17322,,,98.82678
1488,1.16927,,,98.83073
1487,1.16445,,,98.83555
1486,1.20213,,,98.79787
1485,1.19551,,,98.80449
1484,1.19909,,,98.80091
1483,1.23872,,,98.76128
1482,1.23122,,,98.76878
1481,1.24272,,,98.75728
1480,1.28519,,,98.71481
1479,1.28076,,,98.71924
1478,1.30243,,,98.69757
1477,1.3537,,,98.6463
1476,1.36117,,,98.63883
1475,1.40154,,,98.59846
1474,1.47571,,,98.52429
1473,1.51292,,,98.48708
1472,1.5918,,,98.4082
1471,1.71599,,,98.28401
1470,1.81571,,,98.18429
1469,1.96976,,,98.03024
1468,2.18981,,,97.81019
1467,2.40585,,,97.59415
1466,2.69407,,,97.30593
1465,3.07892,,,96.92108
1464,3.48947,,,96.51053
1463,3.99425,,,96.00575
1462,4.63312,,,95.36688
1461,5.33416,,,94.66584
1460,6.1497,,,93.8503
1459,7.13453,,,92.86547
1458,8.21526,,,91.78474
1457,9.41669,,,90.58331
1456,10.79866,,,89.20134
1455,12.29024,,,87.70976
1454,13.879,,,86.121
1453,15.62054,,,84.37946
1452,17.45198,,,82.54802
1451,19.32385,,,80.67615
1450,21.2797,,,78.7203
1449,23.27721,,,76.72279
1448,25.24332,,,74.75668
1447,27.20638,,,72.79362
1446,29.15621,,,70.84379
1445,31.01792,,,68.98208
1444,32.80307,,,67.19693
1443,34.53605,,,65.46395
1442,36.15881,,,63.84119
1441,37.663,,,62.337
1440,39.09626,,,60.90374
1439,40.43089,,,59.56911
1438,41.63659,,,58.36341
1437,42.7637,,,57.2363
1436,43.81896,,,56.18104
1435,44.75959,,,55.24041
1434,45.61666,,,54.38334
1433,46.42865,,,53.57135
1432,47.15704,,,52.84296
1431,47.79879,,,52.20121
1430,48.40764,,,51.59236
1429,48.9711,,,51.0289
1428,49.45366,,,50.54634
1427,49.8972,,,50.1028
1426,50.32637,,,49.67363
1425,50.69627,,,49.30373
1424,51.01199,,,48.98801
1423,51.32418,,,48.67582
1422,51.61179,,,48.38821
1421,51.83955,,,48.16045
1420,52.04997,,,47.95003
1419,52.26689,,,47.73311
1418,52.44309,,,47.55691
1417,52.57861,,,47.42139
1416,52.72667,,,47.27333
1415,52.87325,,,47.12675
1414,52.97534,,,47.02466
1413,53.06828,,,46.93172
1412,53.19073,,,46.80927
1411,53.30179,,,46.69821
1410,53.3829,,,46.6171
1409,53.48976,,,46.51024
1408,53.63503,,,46.36497
1407,53.76983,,,46.23017
1406,53.90468,,,46.09532
1405,54.09868,,,45.90132
1404,54.34113,,,45.65887
1403,54.58879,,,45.41121
1402,54.87527,,,45.12473
1401,55.25214,,,44.74786
1400,55.69189,,,44.30811
1399,56.16283,,,43.83717
1398,56.71016,,,43.28984
1397,57.37129,,,42.62871
1396,58.10839,,,41.89161
1395,58.89837,,,41.10163
1394,59.78504,,,40.21496
1393,60.78875,,,39.21125
1392,61.86593,,,38.13407
1391,62.99582,,,37.00418
1390,64.21037,,,35.78963
1389,65.51652,,,34.48348
1388,66.86868,,,33.13132
1387,68.24455,,,31.75545
1386,69.6616,,,30.3384
1385,71.11762,,,28.88238
1384,72.57562,,,27.42438
1383,74.01392,,,25.98608
1382,75.44084,,,24.55916
1381,76.85521,,,23.14479
1380,78.23278,,,21.76722
1379,79.55757,,,20.44243
1378,80.83367,,,19.16633
1377,82.06443,,,17.93557
1376,83.23893,,,16.76107
1375,84.34733,,,15.65267
1374,85.39292,,,14.60708
1373,86.38208,,,13.61792
1372,87.31331,,,12.68669
1371,88.18244,,,11.81756
1370,88.99171,,,11.00829
1369,89.7483,,,10.2517
1368,90.4546,,,9.5454
1367,91.11026,,,8.88974
1366,91.71672,,,8.28328
1365,92.27874,,,7.72126
1364,92.80072,,,7.19928
1363,93.28448,,,6.71552
1362,93.73118,,,6.26882
1361,94.14362,,,5.85638
1360,94.52548,,,5.47452
1359,94.87947,,,5.12053
1358,95.20679,,,4.79321
1357,95.50894,,,4.49106
1356,95.78827,,,4.21173
1355,96.04711,,,3.95289
1354,96.28705,,,3.71295
1353,96.50911,,,3.49089
1352,96.71452,,,3.28548
1351,96.90487,,,3.09513
1350,97.08164,,,2.91836
1349,97.24605,,,2.75395
1348,97.39858,,,2.60142
1347,97.54006,,,2.45994
1346,97.67153,,,2.32847
1345,97.79393,,,2.20607
1344,97.90791,,,2.09209
1343,98.01396,,,1.98604
1342,98.11265,,,1.88735
1341,98.20462,,,1.79538
1340,98.29047,,,1.70953
1339,98.37068,,,1.62932
1338,98.44554,,,1.55446
1337,98.51541,,,1.48459
1336,98.58069,,,1.41931
1335,98.64177,,,1.35823
1334,98.69896,,,1.30104
1333,98.75251,,,1.24749
1332,98.80262,,,1.19738
1331,98.84952,,,1.15048
1330,98.89348,,,1.10652
1329,98.93387,,,1.06613
1328,98.97181,,,1.02819
1327,99.00743,,,0.99257
1326,99.04084,,,0.95916
1325,99.0722,,,0.9278
1324,99.10167,,,0.89833
1323,99.12937,,,0.87063
1322,99.1554,,,0.8446
1321,99.17983,,,0.82017
1320,99.20274,,,0.79726
1319,99.22447,,,0.77553
1318,99.24486,,,0.75514
1317,99.26397,,,0.73603
1316,99.28188,,,0.71812
1315,99.29863,,,0.70137
1314,99.31427,,,0.68573
1313,99.32886,,,0.67114
1312,99.34245,,,0.65755
1311,99.35509,,,0.64491
1310,99.36684,,,0.63316
1309,99.37772,,,0.62228
1308,99.38775,,,0.61225
1307,99.39694,,,0.60306
1306,99.40534,,,0.59466
1305,99.41297,,,0.58703
1304,99.41985,,,0.58015
1303,99.42601,,,0.57399
1302,99.43144,,,0.56856
1301,99.43615,,,0.56385
1300,99.44013,,,0.55987
1299,99.44341,,,0.55659
1298,99.44598,,,0.55402
1297,99.44785,,,0.55215
1296,99.44901,,,0.55099
1295,99.44943,,,0.55057
1294,99.4491,,,0.5509
1293,99.44799,,,0.55201
1292,99.44608,,,0.55392
1291,99.44334,,,0.55666
1290,99.43973,,,0.56027
1289,99.43521,,,0.56479
1288,99.42972,,,0.57028
1287,99.42321,,,0.57679
1286,99.4156,,,0.5844
1285,99.40682,,,0.59318
1284,99.39679,,,0.60321
1283,99.38543,,,0.61457
1282,99.37268,,,0.62732
1281,99.35848,,,0.64152
1280,99.3428,,,0.6572
1279,99.32564,,,0.67436
1278,99.30709,,,0.69291
1277,99.28732,,,0.71268
1276,99.26663,,,0.73337
1275,99.24547,,,0.75453
1274,99.22442,,,0.77558
1273,99.20416,,,0.79584
1272,99.18535,,,0.81465
1271,99.16852,,,0.83148
1270,99.15392,,,0.84608
1269,99.14146,,,0.85854
1268,99.13078,,,0.86922
1267,99.12127,,,0.87873
1266,99.11223,,,0.88777
1265,99.103,,,0.897
1264,99.09304,,,0.90696
1263,99.08198,,,0.91802
1262,99.0696,,,0.9304
1261,99.0558,,,0.9442
1260,99.04063,,,0.95937
1259,99.02417,,,0.97583
1258,99.00663,,,0.99337
1257,98.98824,,,1.01176
1256,98.96927,,,1.03073
1255,98.95004,,,1.04996
1254,98.93087,,,1.06913
1253,98.91213,,,1.08787
1252,98.89421,,,1.10579
1251,98.87748,,,1.12252
1250,98.86234,,,1.13766
1249,98.84916,,,1.15084
1248,98.83828,,,1.16172
1247,98.82999,,,1.17001
1246,98.82455,,,1.17545
1245,98.82213,,,1.17787
1244,98.82283,,,1.17717
1243,98.82667,,,1.17333
1242,98.8336,,,1.1664
1241,98.84348,,,1.15652
1240,98.85611,,,1.14389
1239,98.87127,,,1.12873
1238,98.88864,,,1.11136
1237,98.9079,,,1.0921
1236,98.92871,,,1.07129
1235,98.95072,,,1.04928
1234,98.97361,,,1.02639
1233,98.99705,,,1.00295
1232,99.02074,,,0.97926
1231,99.04441,,,0.95559
1230,99.06783,,,0.93217
1229,99.0908,,,0.9092
1228,99.11313,,,0.88687
1227,99.13466,,,0.86534
1226,99.15527,,,0.84473
1225,99.17486,,,0.82514
1224,99.19335,,,0.80665
1223,99.21068,,,0.78932
1222,99.22682,,,0.77318
1221,99.24174,,,0.75826
1220,99.25543,,,0.74457
1219,99.2679,,,0.7321
1218,99.27915,,,0.72085
1217,99.28924,,,0.71076
1216,99.2982,,,0.7018
1215,99.30611,,,0.69389
1214,99.31308,,,0.68692
1213,99.3192,,,0.6808
1212,99.32462,,,0.67538
1211,99.32948,,,0.67052
1210,99.33392,,,0.66608
1209,99.33807,,,0.66193
1208,99.342,,,0.658
1207,99.34576,,,0.65424
1206,99.34932,,,0.65068
1205,99.35262,,,0.64738
1204,99.35552,,,0.64448
1203,99.35792,,,0.64208
1202,99.35967,,,0.64033
1201,99.36066,,,0.63934
1200,99.36081,,,0.63919
1199,99.36007,,,0.63993
1198,99.3584,,,0.6416
1197,99.35581,,,0.64419
1196,99.35232,,,0.64768
1195,99.34796,,,0.65204
1194,99.3428,,,0.6572
1193,99.33691,,,0.66309
1192,99.33036,,,0.66964
1191,99.32326,,,0.67674
1190,99.3157,,,0.6843
1189,99.3078,,,0.6922
1188,99.29969,,,0.70031
1187,99.29152,,,0.70848
1186,99.28344,,,0.71656
1185,99.2756,,,0.7244
1184,99.26818,,,0.73182
1183,99.26136,,,0.73864
1182,99.25531,,,0.74469
1181,99.25021,,,0.74979
1180,99.24623,,,0.75377
1179,99.2435,,,0.7565
1178,99.24216,,,0.75784
1177,99.24233,,,0.75767
1176,99.24408,,,0.75592
1175,99.24742,,,0.75258
1174,99.25236,,,0.74764
1173,99.25885,,,0.74115
1172,99.2668,,,0.7332
1171,99.27611,,,0.72389
1170,99.28663,,,0.71337
1169,99.29827,,,0.70173
1168,99.31079,,,0.68921
1167,99.32401,,,0.67599
1166,99.33776,,,0.66224
1165,99.35186,,,0.64814
1164,99.36615,,,0.63385
1163,99.38048,,,0.61952
1162,99.39471,,,0.60529
1161,99.40871,,,0.59129
1160,99.42237,,,0.57763
1159,99.43559,,,0.56441
1158,99.4483,,,0.5517
1157,99.46042,,,0.53958
1156,99.4719,,,0.5281
1155,99.48271,,,0.51729
1154,99.49281,,,0.50719
1153,99.50218,,,0.49782
1152,99.51082,,,0.48918
1151,99.51873,,,0.48127
1150,99.52592,,,0.47408
1149,99.53239,,,0.46761
1148,99.53816,,,0.46184
1147,99.54321,,,0.45679
1146,99.54756,,,0.45244
1145,99.55119,,,0.44881
1144,99.5541,,,0.4459
1143,99.55625,,,0.44375
1142,99.55764,,,0.44236
1141,99.55823,,,0.44177
1140,99.558,,,0.442
1139,99.55692,,,0.44308
1138,99.55499,,,0.44501
1137,99.55218,,,0.44782
1136,99.54848,,,0.45152
1135,99.54388,,,0.45612
1134,99.53834,,,0.46166
1133,99.53184,,,0.46816
1132,99.52437,,,0.47563
1131,99.51588,,,0.48412
1130,99.50638,,,0.49362
1129,99.49585,,,0.50415
1128,99.4843,,,0.5157
1127,99.47173,,,0.52827
1126,99.45817,,,0.54183
1125,99.44362,,,0.55638
1124,99.42811,,,0.57189
1123,99.41169,,,0.58831
1122,99.39442,,,0.60558
1121,99.37642,,,0.62358
1120,99.35784,,,0.64216
1119,99.33887,,,0.66113
1118,99.31974,,,0.68026
1117,99.30068,,,0.69932
1116,99.28194,,,0.71806
1115,99.26378,,,0.73622
1114,99.24655,,,0.75345
1113,99.23059,,,0.76941
1112,99.21629,,,0.78371
1111,99.20397,,,0.79603
1110,99.1939,,,0.8061
1109,99.18622,,,0.81378
1108,99.18106,,,0.81894
1107,99.1785,,,0.8215
1106,99.17857,,,0.82143
1105,99.18122,,,0.81878
1104,99.18627,,,0.81373
1103,99.1934,,,0.8066
1102,99.20228,,,0.79772
1101,99.2126,,,0.7874
1100,99.2241,,,0.7759
1099,99.23649,,,0.76351
1098,99.24941,,,0.75059
1097,99.26248,,,0.73752
1096,99.27539,,,0.72461
1095,99.28794,,,0.71206
1094,99.29996,,,0.70004
1093,99.31129,,,0.68871
1092,99.32171,,,0.67829
1091,99.33104,,,0.66896
1090,99.3392,,,0.6608
1089,99.34616,,,0.65384
1088,99.35185,,,0.64815
1087,99.35616,,,0.64384
1086,99.35898,,,0.64102
1085,99.36026,,,0.63974
1084,99.36001,,,0.63999
1083,99.3582,,,0.6418
1082,99.35472,,,0.64528
1081,99.34949,,,0.65051
1080,99.34246,,,0.65754
1079,99.33366,,,0.66634
1078,99.32301,,,0.67699
1077,99.3104,,,0.6896
1076,99.29577,,,0.70423
1075,99.27912,,,0.72088
1074,99.2605,,,0.7395
1073,99.23986,,,0.76014
1072,99.21717,,,0.78283
1071,99.19256,,,0.80744
1070,99.1663,,,0.8337
1069,99.13856,,,0.86144
1068,99.10961,,,0.89039
1067,99.07994,,,0.92006
1066,99.05025,,,0.94975
1065,99.02126,,,0.97874
1064,98.99369,,,1.00631
1063,98.96854,,,1.03146
1062,98.94701,,,1.05299
1061,98.93004,,,1.06996
1060,98.91842,,,1.08158
1059,98.91303,,,1.08697
1058,98.91445,,,1.08555
1057,98.92272,,,1.07728
1056,98.93756,,,1.06244
1055,98.95861,,,1.04139
1054,98.98512,,,1.01488
1053,99.01597,,,0.98403
1052,99.05008,,,0.94992
1051,99.08649,,,0.91351
1050,99.12413,,,0.87587
1049,99.16206,,,0.83794
1048,99.19955,,,0.80045
1047,99.23603,,,0.76397
1046,99.27097,,,0.72903
1045,99.30407,,,0.69593
1044,99.3352,,,0.6648
1043,99.36421,,,0.63579
1042,99.39103,,,0.60897
1041,99.41576,,,0.58424
1040,99.43845,,,0.56155
1039,99.45917,,,0.54083
1038,99.47805,,,0.52195
1037,99.49522,,,0.50478
1036,99.5108,,,0.4892
1035,99.52492,,,0.47508
1034,99.53775,,,0.46225
1033,99.54939,,,0.45061
1032,99.56001,,,0.43999
1031,99.56974,,,0.43026
1030,99.57871,,,0.42129
1029,99.58707,,,0.41293
1028,99.59497,,,0.40503
1027,99.60251,,,0.39749
1026,99.60984,,,0.39016
1025,99.6171,,,0.3829
1024,99.62438,,,0.37562
1023,99.63181,,,0.36819
1022,99.63948,,,0.36052
1021,99.64745,,,0.35255
1020,99.6558,,,0.3442
1019,99.66455,,,0.33545
1018,99.67369,,,0.32631
1017,99.6832,,,0.3168
1016,99.69301,,,0.30699
1015,99.70305,,,0.29695
1014,99.71322,,,0.28678
1013,99.72338,,,0.27662
1012,99.73343,,,0.26657
1011,99.74324,,,0.25676
1010,99.75275,,,0.24725
1009,99.76196,,,0.23804
1008,99.77098,,,0.22902
1007,99.78003,,,0.21997
1006,99.78934,,,0.21066
1005,99.79899,,,0.20101
1004,99.80883,,,0.19117
1003,99.81854,,,0.18146
1002,99.8278,,,0.1722
1001,99.83642,,,0.16358
1000,99.84428,,,0.15572
999,99.85141,,,0.14859
998,99.8578,,,0.1422
997,99.86352,,,0.13648
996,99.86861,,,0.13139
995,99.87312,,,0.12688
994,99.87709,,,0.12291
993,99.88055,,,0.11945
992,99.88355,,,0.11645
991,99.88609,,,0.11391
990,99.88819,,,0.11181
989,99.88989,,,0.11011
988,99.89118,,,0.10882
987,99.89206,,,0.10794
986,99.89255,,,0.10745
985,99.89263,,,0.10737
984,99.8923,,,0.1077
983,99.89154,,,0.10846
982,99.89033,,,0.10967
981,99.88866,,,0.11134
980,99.88648,,,0.11352
979,99.88375,,,0.11625
978,99.88042,,,0.11958
977,99.87642,,,0.12358
976,99.87168,,,0.12832
975,99.86609,,,0.13391
974,99.85955,,,0.14045
973,99.85191,,,0.14809
972,99.84301,,,0.15699
971,99.83262,,,0.16738
970,99.82051,,,0.17949
969,99.80635,,,0.19365
968,99.78977,,,0.21023
967,99.77033,,,0.22967
966,99.74748,,,0.25252
965,99.72058,,,0.27942
964,99.68887,,,0.31113
963,99.65151,,,0.34849
962,99.60761,,,0.39239
961,99.55634,,,0.44366
960,99.49714,,,0.50286
959,99.43006,,,0.56994
958,99.35636,,,0.64364
957,99.2791,,,0.7209
956,99.20373,,,0.79627
955,99.1379,,,0.8621
954,99.09022,,,0.90978
953,99.0677,,,0.9323
952,99.07313,,,0.92687
951,99.10394,,,0.89606
950,99.15346,,,0.84654
949,99.21348,,,0.78652
948,99.27638,,,0.72362
947,99.33635,,,0.66365
946,99.3893,,,0.6107
945,99.43226,,,0.56774
944,99.46301,,,0.53699
943,99.48281,,,0.51719
942,99.50331,,,0.49669
941,99.53885,,,0.46115
940,99.58207,,,0.41793
939,99.61964,,,0.38036
938,99.6485,,,0.3515
937,99.67017,,,0.32983
936,99.68645,,,0.31355
935,99.69862,,,0.30138
934,99.70751,,,0.29249
933,99.71361,,,0.28639
932,99.71729,,,0.28271
931,99.71872,,,0.28128
930,99.71802,,,0.28198
929,99.71523,,,0.28477
928,99.71029,,,0.28971
927,99.70312,,,0.29688
926,99.69355,,,0.30645
925,99.68134,,,0.31866
924,99.66617,,,0.33383
923,99.64765,,,0.35235
922,99.62518,,,0.37482
921,99.59811,,,0.40189
920,99.56555,,,0.43445
919,99.52629,,,0.47371
918,99.47884,,,0.52116
917,99.42129,,,0.57871
916,99.35099,,,0.64901
915,99.26441,,,0.73559
914,99.15701,,,0.84299
913,99.02234,,,0.97766
912,98.8512,,,1.1488
911,98.63113,,,1.36887
910,98.34433,,,1.65567
909,97.9633,,,2.0367
908,97.44816,,,2.55184
907,96.74108,,,3.25892
906,95.75423,,,4.24577
905,94.35129,,,5.64871
904,92.34406,,,7.65594
903,89.53321,,,10.46679
902,85.8257,,,14.1743
901,81.52467,,,18.47533
900,77.78526,,,22.21474
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
