Wavelength[nm],Transmission,,R% at AOI 45 deg
1608,99.36187,,0.63813
1607,99.36145,,0.63855
1606,99.36098,,0.63902
1605,99.36047,,0.63953
1604,99.35992,,0.64008
1603,99.35932,,0.64068
1602,99.35868,,0.64132
1601,99.358,,0.642
1600,99.35728,,0.64272
1599,99.35651,,0.64349
1598,99.3557,,0.6443
1597,99.35486,,0.64514
1596,99.35398,,0.64602
1595,99.35306,,0.64694
1594,99.35211,,0.64789
1593,99.35112,,0.64888
1592,99.35011,,0.64989
1591,99.34906,,0.65094
1590,99.34799,,0.65201
1589,99.34689,,0.65311
1588,99.34576,,0.65424
1587,99.34462,,0.65538
1586,99.34345,,0.65655
1585,99.34226,,0.65774
1584,99.34106,,0.65894
1583,99.33985,,0.66015
1582,99.33863,,0.66137
1581,99.3374,,0.6626
1580,99.33616,,0.66384
1579,99.33492,,0.66508
1578,99.33368,,0.66632
1577,99.33244,,0.66756
1576,99.33121,,0.66879
1575,99.32998,,0.67002
1574,99.32877,,0.67123
1573,99.32756,,0.67244
1572,99.32638,,0.67362
1571,99.32521,,0.67479
1570,99.32407,,0.67593
1569,99.32295,,0.67705
1568,99.32186,,0.67814
1567,99.32081,,0.67919
1566,99.31978,,0.68022
1565,99.31879,,0.68121
1564,99.31783,,0.68217
1563,99.31692,,0.68308
1562,99.31604,,0.68396
1561,99.31521,,0.68479
1560,99.31442,,0.68558
1559,99.31367,,0.68633
1558,99.31297,,0.68703
1557,99.31232,,0.68768
1556,99.31172,,0.68828
1555,99.31118,,0.68882
1554,99.31069,,0.68931
1553,99.31025,,0.68975
1552,99.30988,,0.69012
1551,99.30956,,0.69044
1550,99.3093,,0.6907
1549,99.30909,,0.69091
1548,99.30895,,0.69105
1547,99.30887,,0.69113
1546,99.30884,,0.69116
1545,99.30888,,0.69112
1544,99.30897,,0.69103
1543,99.30912,,0.69088
1542,99.30932,,0.69068
1541,99.30959,,0.69041
1540,99.30991,,0.69009
1539,99.31028,,0.68972
1538,99.3107,,0.6893
1537,99.31118,,0.68882
1536,99.31171,,0.68829
1535,99.31229,,0.68771
1534,99.31291,,0.68709
1533,99.31358,,0.68642
1532,99.3143,,0.6857
1531,99.31505,,0.68495
1530,99.31585,,0.68415
1529,99.31668,,0.68332
1528,99.31755,,0.68245
1527,99.31846,,0.68154
1526,99.31939,,0.68061
1525,99.32035,,0.67965
1524,99.32133,,0.67867
1523,99.32234,,0.67766
1522,99.32337,,0.67663
1521,99.32441,,0.67559
1520,99.32547,,0.67453
1519,99.32654,,0.67346
1518,99.32762,,0.67238
1517,99.32871,,0.67129
1516,99.3298,,0.6702
1515,99.33089,,0.66911
1514,99.33198,,0.66802
1513,99.33307,,0.66693
1512,99.33416,,0.66584
1511,99.33524,,0.66476
1510,99.33631,,0.66369
1509,99.33737,,0.66263
1508,99.33842,,0.66158
1507,99.33945,,0.66055
1506,99.34047,,0.65953
1505,99.34147,,0.65853
1504,99.34245,,0.65755
1503,99.3434,,0.6566
1502,99.34434,,0.65566
1501,99.34525,,0.65475
1500,99.34613,,0.65387
1499,99.34699,,0.65301
1498,99.34782,,0.65218
1497,99.34862,,0.65138
1496,99.34939,,0.65061
1495,99.35013,,0.64987
1494,99.35083,,0.64917
1493,99.35149,,0.64851
1492,99.35212,,0.64788
1491,99.35271,,0.64729
1490,99.35326,,0.64674
1489,99.35377,,0.64623
1488,99.35423,,0.64577
1487,99.35464,,0.64536
1486,99.355,,0.645
1485,99.35531,,0.64469
1484,99.35555,,0.64445
1483,99.35574,,0.64426
1482,99.35585,,0.64415
1481,99.3559,,0.6441
1480,99.35587,,0.64413
1479,99.35574,,0.64426
1478,99.35553,,0.64447
1477,99.35521,,0.64479
1476,99.35479,,0.64521
1475,99.35425,,0.64575
1474,99.35358,,0.64642
1473,99.35278,,0.64722
1472,99.35182,,0.64818
1471,99.3507,,0.6493
1470,99.3494,,0.6506
1469,99.34791,,0.65209
1468,99.34621,,0.65379
1467,99.34429,,0.65571
1466,99.34211,,0.65789
1465,99.33967,,0.66033
1464,99.33695,,0.66305
1463,99.33391,,0.66609
1462,99.33054,,0.66946
1461,99.3268,,0.6732
1460,99.32268,,0.67732
1459,99.31813,,0.68187
1458,99.31314,,0.68686
1457,99.30767,,0.69233
1456,99.30167,,0.69833
1455,99.29513,,0.70487
1454,99.28799,,0.71201
1453,99.28023,,0.71977
1452,99.2718,,0.7282
1451,99.26265,,0.73735
1450,99.25275,,0.74725
1449,99.24204,,0.75796
1448,99.23049,,0.76951
1447,99.21804,,0.78196
1446,99.20464,,0.79536
1445,99.19024,,0.80976
1444,99.17478,,0.82522
1443,99.15821,,0.84179
1442,99.14048,,0.85952
1441,99.12152,,0.87848
1440,99.10127,,0.89873
1439,99.07966,,0.92034
1438,99.05664,,0.94336
1437,99.03215,,0.96785
1436,99.00611,,0.99389
1435,98.97847,,1.02153
1434,98.94915,,1.05085
1433,98.91809,,1.08191
1432,98.88522,,1.11478
1431,98.85047,,1.14953
1430,98.81377,,1.18623
1429,98.77502,,1.22498
1428,98.73418,,1.26582
1427,98.69118,,1.30882
1426,98.64594,,1.35406
1425,98.59839,,1.40161
1424,98.54846,,1.45154
1423,98.49609,,1.50391
1422,98.44119,,1.55881
1421,98.3837,,1.6163
1420,98.32354,,1.67646
1419,98.26062,,1.73938
1418,98.1949,,1.8051
1417,98.1263,,1.8737
1416,98.05478,,1.94522
1415,97.98025,,2.01975
1414,97.90266,,2.09734
1413,97.82193,,2.17807
1412,97.73802,,2.26198
1411,97.65086,,2.34914
1410,97.56039,,2.43961
1409,97.46648,,2.53352
1408,97.36914,,2.63086
1407,97.26831,,2.73169
1406,97.16394,,2.83606
1405,97.05598,,2.94402
1404,96.94437,,3.05563
1403,96.82908,,3.17092
1402,96.71006,,3.28994
1401,96.58725,,3.41275
1400,96.46063,,3.53937
1399,96.33006,,3.66994
1398,96.19559,,3.80441
1397,96.05717,,3.94283
1396,95.91477,,4.08523
1395,95.76834,,4.23166
1394,95.61786,,4.38214
1393,95.46329,,4.53671
1392,95.3046,,4.6954
1391,95.14176,,4.85824
1390,94.97474,,5.02526
1389,94.80328,,5.19672
1388,94.62757,,5.37243
1387,94.44758,,5.55242
1386,94.26329,,5.73671
1385,94.07468,,5.92532
1384,93.8817,,6.1183
1383,93.68435,,6.31565
1382,93.48259,,6.51741
1381,93.2764,,6.7236
1380,93.06577,,6.93423
1379,92.85057,,7.14943
1378,92.63089,,7.36911
1377,92.40668,,7.59332
1376,92.17792,,7.82208
1375,91.94461,,8.05539
1374,91.70671,,8.29329
1373,91.4642,,8.5358
1372,91.21707,,8.78293
1371,90.9653,,9.0347
1370,90.70885,,9.29115
1369,90.44746,,9.55254
1368,90.18135,,9.81865
1367,89.91052,,10.08948
1366,89.63494,,10.36506
1365,89.3546,,10.6454
1364,89.06949,,10.93051
1363,88.7796,,11.2204
1362,88.48493,,11.51507
1361,88.18546,,11.81454
1360,87.88119,,12.11881
1359,87.57206,,12.42794
1358,87.25813,,12.74187
1357,86.93942,,13.06058
1356,86.61593,,13.38407
1355,86.28767,,13.71233
1354,85.95467,,14.04533
1353,85.61694,,14.38306
1352,85.27452,,14.72548
1351,84.92744,,15.07256
1350,84.57573,,15.42427
1349,84.2189,,15.7811
1348,83.85753,,16.14247
1347,83.49167,,16.50833
1346,83.12139,,16.87861
1345,82.74674,,17.25326
1344,82.3678,,17.6322
1343,81.98466,,18.01534
1342,81.59739,,18.40261
1341,81.20611,,18.79389
1340,80.81089,,19.18911
1339,80.41175,,19.58825
1338,80.0089,,19.9911
1337,79.60247,,20.39753
1336,79.19257,,20.80743
1335,78.77934,,21.22066
1334,78.36293,,21.63707
1333,77.94346,,22.05654
1332,77.52111,,22.47889
1331,77.09602,,22.90398
1330,76.66834,,23.33166
1329,76.2461,,23.7539
1328,75.82167,,24.17833
1327,75.39523,,24.60477
1326,74.96693,,25.03307
1325,74.53696,,25.46304
1324,74.10549,,25.89451
1323,73.67269,,26.32731
1322,73.23875,,26.76125
1321,72.80384,,27.19616
1320,72.36815,,27.63185
1319,71.9281,,28.0719
1318,71.48763,,28.51237
1317,71.04691,,28.95309
1316,70.60612,,29.39388
1315,70.16544,,29.83456
1314,69.72506,,30.27494
1313,69.28514,,30.71486
1312,68.84587,,31.15413
1311,68.4074,,31.5926
1310,67.96991,,32.03009
1309,67.53299,,32.46701
1308,67.09735,,32.90265
1307,66.66316,,33.33684
1306,66.23056,,33.76944
1305,65.79969,,34.20031
1304,65.37069,,34.62931
1303,64.94369,,35.05631
1302,64.51881,,35.48119
1301,64.09617,,35.90383
1300,63.67587,,36.32413
1299,63.25803,,36.74197
1298,62.84274,,37.15726
1297,62.43008,,37.56992
1296,62.02015,,37.97985
1295,61.61302,,38.38698
1294,61.20876,,38.79124
1293,60.80744,,39.19256
1292,60.4091,,39.5909
1291,60.0138,,39.9862
1290,59.62158,,40.37842
1289,59.23206,,40.76794
1288,58.8457,,41.1543
1287,58.46252,,41.53748
1286,58.08255,,41.91745
1285,57.7058,,42.2942
1284,57.33229,,42.66771
1283,56.962,,43.038
1282,56.59494,,43.40506
1281,56.23111,,43.76889
1280,55.87049,,44.12951
1279,55.51269,,44.48731
1278,55.15807,,44.84193
1277,54.80662,,45.19338
1276,54.4583,,45.5417
1275,54.1131,,45.8869
1274,53.77098,,46.22902
1273,53.43192,,46.56808
1272,53.09587,,46.90413
1271,52.76281,,47.23719
1270,52.4327,,47.5673
1269,52.10544,,47.89456
1268,51.78106,,48.21894
1267,51.45953,,48.54047
1266,51.1408,,48.8592
1265,50.82486,,49.17514
1264,50.51166,,49.48834
1263,50.20118,,49.79882
1262,49.89338,,50.10662
1261,49.58824,,50.41176
1260,49.28573,,50.71427
1259,48.98566,,51.01434
1258,48.68819,,51.31181
1257,48.39329,,51.60671
1256,48.10097,,51.89903
1255,47.81122,,52.18878
1254,47.52402,,52.47598
1253,47.23939,,52.76061
1252,46.95731,,53.04269
1251,46.67779,,53.32221
1250,46.40085,,53.59915
1249,46.12635,,53.87365
1248,45.85446,,54.14554
1247,45.58521,,54.41479
1246,45.31861,,54.68139
1245,45.05471,,54.94529
1244,44.79353,,55.20647
1243,44.53512,,55.46488
1242,44.27951,,55.72049
1241,44.02675,,55.97325
1240,43.77689,,56.22311
1239,43.52975,,56.47025
1238,43.28562,,56.71438
1237,43.04455,,56.95545
1236,42.8066,,57.1934
1235,42.57184,,57.42816
1234,42.34031,,57.65969
1233,42.11211,,57.88789
1232,41.88726,,58.11274
1231,41.66587,,58.33413
1230,41.44799,,58.55201
1229,41.23343,,58.76657
1228,41.02253,,58.97747
1227,40.81534,,59.18466
1226,40.61193,,59.38807
1225,40.41237,,59.58763
1224,40.21672,,59.78328
1223,40.02504,,59.97496
1222,39.83739,,60.16261
1221,39.65384,,60.34616
1220,39.47444,,60.52556
1219,39.29918,,60.70082
1218,39.12819,,60.87181
1217,38.96149,,61.03851
1216,38.79914,,61.20086
1215,38.64119,,61.35881
1214,38.48766,,61.51234
1213,38.33859,,61.66141
1212,38.19402,,61.80598
1211,38.05397,,61.94603
1210,37.91847,,62.08153
1209,37.78732,,62.21268
1208,37.66077,,62.33923
1207,37.53882,,62.46118
1206,37.42148,,62.57852
1205,37.30877,,62.69123
1204,37.20065,,62.79935
1203,37.09715,,62.90285
1202,36.99823,,63.00177
1201,36.90389,,63.09611
1200,36.81413,,63.18587
1199,36.72881,,63.27119
1198,36.64801,,63.35199
1197,36.57169,,63.42831
1196,36.49981,,63.50019
1195,36.43234,,63.56766
1194,36.36924,,63.63076
1193,36.31045,,63.68955
1192,36.25594,,63.74406
1191,36.20565,,63.79435
1190,36.15953,,63.84047
1189,36.1175,,63.8825
1188,36.07954,,63.92046
1187,36.04559,,63.95441
1186,36.01561,,63.98439
1185,35.98952,,64.01048
1184,35.96727,,64.03273
1183,35.94881,,64.05119
1182,35.93408,,64.06592
1181,35.92303,,64.07697
1180,35.9156,,64.0844
1179,35.9118,,64.0882
1178,35.91154,,64.08846
1177,35.91479,,64.08521
1176,35.92148,,64.07852
1175,35.93159,,64.06841
1174,35.94509,,64.05491
1173,35.96195,,64.03805
1172,35.98216,,64.01784
1171,36.00571,,63.99429
1170,36.03257,,63.96743
1169,36.06116,,63.93884
1168,36.09306,,63.90694
1167,36.12828,,63.87172
1166,36.16687,,63.83313
1165,36.20885,,63.79115
1164,36.25429,,63.74571
1163,36.30323,,63.69677
1162,36.35575,,63.64425
1161,36.4119,,63.5881
1160,36.47178,,63.52822
1159,36.53452,,63.46548
1158,36.60118,,63.39882
1157,36.67185,,63.32815
1156,36.74665,,63.25335
1155,36.8257,,63.1743
1154,36.90913,,63.09087
1153,36.99709,,63.00291
1152,37.0897,,62.9103
1151,37.18712,,62.81288
1150,37.28951,,62.71049
1149,37.39703,,62.60297
1148,37.50985,,62.49015
1147,37.62814,,62.37186
1146,37.75209,,62.24791
1145,37.88186,,62.11814
1144,38.01764,,61.98236
1143,38.15963,,61.84037
1142,38.30801,,61.69199
1141,38.46297,,61.53703
1140,38.62471,,61.37529
1139,38.79352,,61.20648
1138,38.96951,,61.03049
1137,39.15287,,60.84713
1136,39.34381,,60.65619
1135,39.54251,,60.45749
1134,39.74919,,60.25081
1133,39.96402,,60.03598
1132,40.18721,,59.81279
1131,40.41895,,59.58105
1130,40.65942,,59.34058
1129,40.90881,,59.09119
1128,41.16729,,58.83271
1127,41.43507,,58.56493
1126,41.7123,,58.2877
1125,41.99915,,58.00085
1124,42.2958,,57.7042
1123,42.60238,,57.39762
1122,42.91906,,57.08094
1121,43.24599,,56.75401
1120,43.58329,,56.41671
1119,43.93118,,56.06882
1118,44.28971,,55.71029
1117,44.65901,,55.34099
1116,45.03917,,54.96083
1115,45.43031,,54.56969
1114,45.83252,,54.16748
1113,46.24589,,53.75411
1112,46.6705,,53.3295
1111,47.10641,,52.89359
1110,47.5537,,52.4463
1109,48.01285,,51.98715
1108,48.48351,,51.51649
1107,48.96573,,51.03427
1106,49.45953,,50.54047
1105,49.96494,,50.03506
1104,50.48198,,49.51802
1103,51.01068,,48.98932
1102,51.55104,,48.44896
1101,52.10307,,47.89693
1100,52.66676,,47.33324
1099,53.24239,,46.75761
1098,53.82969,,46.17031
1097,54.42865,,45.57135
1096,55.03924,,44.96076
1095,55.66144,,44.33856
1094,56.29523,,43.70477
1093,56.94059,,43.05941
1092,57.59746,,42.40254
1091,58.26582,,41.73418
1090,58.94561,,41.05439
1089,59.63712,,40.36288
1088,60.33997,,39.66003
1087,61.05407,,38.94593
1086,61.77935,,38.22065
1085,62.51568,,37.48432
1084,63.26295,,36.73705
1083,64.02102,,35.97898
1082,64.7897,,35.2103
1081,65.56881,,34.43119
1080,66.35809,,33.64191
1079,67.15749,,32.84251
1078,67.96647,,32.03353
1077,68.78465,,31.21535
1076,69.6116,,30.3884
1075,70.4468,,29.5532
1074,71.28968,,28.71032
1073,72.13957,,27.86043
1072,72.99574,,27.00426
1071,73.85733,,26.14267
1070,74.72341,,25.27659
1069,75.59401,,24.40599
1068,76.46689,,23.53311
1067,77.34076,,22.65924
1066,78.21423,,21.78577
1065,79.08577,,20.91423
1064,79.95374,,20.04626
1063,80.81638,,19.18362
1062,81.67181,,18.32819
1061,82.51806,,17.48194
1060,83.35305,,16.64695
1059,84.17451,,15.82549
1058,84.98034,,15.01966
1057,85.76828,,14.23172
1056,86.53603,,13.46397
1055,87.28131,,12.71869
1054,88.00185,,11.99815
1053,88.69545,,11.30455
1052,89.35998,,10.64002
1051,89.99343,,10.00657
1050,90.59392,,9.40608
1049,91.16041,,8.83959
1048,91.69064,,8.30936
1047,92.18335,,7.81665
1046,92.63747,,7.36253
1045,93.05222,,6.94778
1044,93.42708,,6.57292
1043,93.76181,,6.23819
1042,94.05643,,5.94357
1041,94.31126,,5.68874
1040,94.52686,,5.47314
1039,94.70415,,5.29585
1038,94.84407,,5.15593
1037,94.94792,,5.05208
1036,95.01718,,4.98282
1035,95.0535,,4.9465
1034,95.05869,,4.94131
1033,95.03465,,4.96535
1032,94.9834,,5.0166
1031,94.907,,5.093
1030,94.80755,,5.19245
1029,94.68709,,5.31291
1028,94.54781,,5.45219
1027,94.3918,,5.6082
1026,94.22111,,5.77889
1025,94.03774,,5.96226
1024,93.84363,,6.15637
1023,93.64063,,6.35937
1022,93.43052,,6.56948
1021,93.215,,6.785
1020,92.99565,,7.00435
1019,92.77383,,7.22617
1018,92.55115,,7.44885
1017,92.32896,,7.67104
1016,92.10854,,7.89146
1015,91.89109,,8.10891
1014,91.67773,,8.32227
1013,91.46953,,8.53047
1012,91.26749,,8.73251
1011,91.07258,,8.92742
1010,90.88569,,9.11431
1009,90.70768,,9.29232
1008,90.53938,,9.46062
1007,90.38162,,9.61838
1006,90.23515,,9.76485
1005,90.10076,,9.89924
1004,89.97917,,10.02083
1003,89.87111,,10.12889
1002,89.77731,,10.22269
1001,89.69846,,10.30154
1000,89.63525,,10.36475
999,89.58839,,10.41161
998,89.55853,,10.44147
997,89.5463,,10.4537
996,89.55232,,10.44768
995,89.57719,,10.42281
994,89.62146,,10.37854
993,89.68566,,10.31434
992,89.77025,,10.22975
991,89.87566,,10.12434
990,90.00226,,9.99774
989,90.15041,,9.84959
988,90.32024,,9.67976
987,90.51187,,9.48813
986,90.72527,,9.27473
985,90.96034,,9.03966
984,91.21682,,8.78318
983,91.49428,,8.50572
982,91.79215,,8.20785
981,92.10968,,7.89032
980,92.44591,,7.55409
979,92.80023,,7.19977
978,93.17071,,6.82929
977,93.5557,,6.4443
976,93.95326,,6.04674
975,94.36123,,5.63877
974,94.77714,,5.22286
973,95.19822,,4.80178
972,95.62144,,4.37856
971,96.04347,,3.95653
970,96.46068,,3.53932
969,96.86955,,3.13045
968,97.26557,,2.73443
967,97.6444,,2.3556
966,98.00149,,1.99851
965,98.33215,,1.66785
964,98.63162,,1.36838
963,98.89511,,1.10489
962,99.11784,,0.88216
961,99.29519,,0.70481
960,99.42267,,0.57733
959,99.49613,,0.50387
958,99.51152,,0.48848
957,99.46535,,0.53465
956,99.35458,,0.64542
955,99.17673,,0.82327
954,98.92984,,1.07016
953,98.61258,,1.38742
952,98.22421,,1.77579
951,97.76464,,2.23536
950,97.23434,,2.76566
949,96.63348,,3.36652
948,95.96442,,4.03558
947,95.22932,,4.77068
946,94.43079,,5.56921
945,93.57184,,6.42816
944,92.65583,,7.34417
943,91.68639,,8.31361
942,90.66736,,9.33264
941,89.60277,,10.39723
940,88.49671,,11.50329
939,87.35248,,12.64752
938,86.17507,,13.82493
937,84.96862,,15.03138
936,83.73722,,16.26278
935,82.48487,,17.51513
934,81.21545,,18.78455
933,79.93272,,20.06728
932,78.64028,,21.35972
931,77.34158,,22.65842
930,76.03991,,23.96009
929,74.7363,,25.2637
928,73.43579,,26.56421
927,72.14116,,27.85884
926,70.855,,29.145
925,69.57976,,30.42024
924,68.31768,,31.68232
923,67.07087,,32.92913
922,65.84126,,34.15874
921,64.63061,,35.36939
920,63.44056,,36.55944
919,62.27125,,37.72875
918,61.12539,,38.87461
917,60.00415,,39.99585
916,58.90861,,41.09139
915,57.83969,,42.16031
914,56.79818,,43.20182
913,55.78479,,44.21521
912,54.80006,,45.19994
911,53.84447,,46.15553
910,52.91836,,47.08164
909,52.02047,,47.97953
908,51.15254,,48.84746
907,50.31465,,49.68535
906,49.50676,,50.49324
905,48.72877,,51.27123
904,47.9805,,52.0195
903,47.26169,,52.73831
902,46.57204,,53.42796
901,45.91114,,54.08886
900,45.27861,,54.72139
