Wavelength[nm],T% at AOI 45 deg,,
2283,97.8397,,
2282,97.82258,,
2281,97.80556,,
2280,97.78947,,
2279,97.77483,,
2278,97.76196,,
2277,97.75098,,
2276,97.74179,,
2275,97.73422,,
2274,97.72798,,
2273,97.72278,,
2272,97.71828,,
2271,97.71423,,
2270,97.71035,,
2269,97.70644,,
2268,97.70237,,
2267,97.69802,,
2266,97.69336,,
2265,97.68836,,
2264,97.68304,,
2263,97.67744,,
2262,97.67162,,
2261,97.66564,,
2260,97.65958,,
2259,97.65351,,
2258,97.64748,,
2257,97.64156,,
2256,97.6358,,
2255,97.63024,,
2254,97.6249,,
2253,97.61981,,
2252,97.61498,,
2251,97.6104,,
2250,97.60609,,
2249,97.6011,,
2248,97.59635,,
2247,97.5919,,
2246,97.58783,,
2245,97.58423,,
2244,97.58127,,
2243,97.57914,,
2242,97.57808,,
2241,97.57836,,
2240,97.58031,,
2239,97.5842,,
2238,97.59032,,
2237,97.59886,,
2236,97.60992,,
2235,97.62343,,
2234,97.63907,,
2233,97.65632,,
2232,97.67441,,
2231,97.69231,,
2230,97.70889,,
2229,97.72259,,
2228,97.73324,,
2227,97.7401,,
2226,97.74277,,
2225,97.74136,,
2224,97.7365,,
2223,97.72941,,
2222,97.72182,,
2221,97.71576,,
2220,97.71318,,
2219,97.71584,,
2218,97.7258,,
2217,97.74206,,
2216,97.76176,,
2215,97.7807,,
2214,97.79425,,
2213,97.79871,,
2212,97.79263,,
2211,97.77756,,
2210,97.75798,,
2209,97.74084,,
2208,97.73077,,
2207,97.73129,,
2206,97.74246,,
2205,97.76043,,
2204,97.77834,,
2203,97.78871,,
2202,97.78645,,
2201,97.77132,,
2200,97.74872,,
2199,97.72726,,
2198,97.7178,,
2197,97.72517,,
2196,97.74585,,
2195,97.76897,,
2194,97.78172,,
2193,97.77661,,
2192,97.75653,,
2191,97.73399,,
2190,97.72405,,
2189,97.73488,,
2188,97.76163,,
2187,97.78857,,
2186,97.7991,,
2185,97.7878,,
2184,97.76534,,
2183,97.75163,,
2182,97.76112,,
2181,97.7907,,
2180,97.8208,,
2179,97.83044,,
2178,97.81512,,
2177,97.79202,,
2176,97.78601,,
2175,97.80733,,
2174,97.84084,,
2173,97.85861,,
2172,97.84652,,
2171,97.81938,,
2170,97.80754,,
2169,97.82604,,
2168,97.85754,,
2167,97.86902,,
2166,97.84766,,
2165,97.8167,,
2164,97.81049,,
2163,97.83466,,
2162,97.8576,,
2161,97.84711,,
2160,97.81088,,
2159,97.78888,,
2158,97.80444,,
2157,97.82893,,
2156,97.81961,,
2155,97.77981,,
2154,97.75645,,
2153,97.77328,,
2152,97.79449,,
2151,97.77644,,
2150,97.73486,,
2149,97.72285,,
2148,97.74821,,
2147,97.75887,,
2146,97.72624,,
2145,97.69411,,
2144,97.70739,,
2143,97.7352,,
2142,97.72178,,
2141,97.68462,,
2140,97.68577,,
2139,97.7205,,
2138,97.72365,,
2137,97.68977,,
2136,97.68556,,
2135,97.72379,,
2134,97.73651,,
2133,97.7069,,
2132,97.70457,,
