Wavelength[nm],T% at AOI 45 deg,r%
1530,98.60284,1.39716
1529,98.61,1.39
1528,98.61691,1.38309
1527,98.5953,1.4047
1526,98.61876,1.38124
1525,98.60638,1.39362
1524,98.60394,1.39606
1523,98.62591,1.37409
1522,98.60484,1.39516
1521,98.62486,1.37514
1520,98.63184,1.36816
1519,98.61913,1.38087
1518,98.65102,1.34898
1517,98.64241,1.35759
1516,98.64899,1.35101
1515,98.67806,1.32194
1514,98.66301,1.33699
1513,98.68916,1.31084
1512,98.70518,1.29482
1511,98.69545,1.30455
1510,98.73285,1.26715
1509,98.73351,1.26649
1508,98.73691,1.26309
1507,98.77418,1.22582
1506,98.76364,1.23636
1505,98.78146,1.21854
1504,98.80936,1.19064
1503,98.79398,1.20602
1502,98.82239,1.17761
1501,98.83569,1.16431
1500,98.82114,1.17886
1499,98.85375,1.14625
1498,98.8513,1.1487
1497,98.84103,1.15897
1496,98.87138,1.12862
1495,98.85498,1.14502
1494,98.85008,1.14992
1493,98.8735,1.1265
1492,98.84648,1.15352
1491,98.84653,1.15347
1490,98.86073,1.13927
1489,98.82678,1.17322
1488,98.83073,1.16927
1487,98.83555,1.16445
1486,98.79787,1.20213
1485,98.80449,1.19551
1484,98.80091,1.19909
1483,98.76128,1.23872
1482,98.76878,1.23122
1481,98.75728,1.24272
1480,98.71481,1.28519
1479,98.71924,1.28076
1478,98.69757,1.30243
1477,98.6463,1.3537
1476,98.63883,1.36117
1475,98.59846,1.40154
1474,98.52429,1.47571
1473,98.48708,1.51292
1472,98.4082,1.5918
1471,98.28401,1.71599
1470,98.18429,1.81571
1469,98.03024,1.96976
1468,97.81019,2.18981
1467,97.59415,2.40585
1466,97.30593,2.69407
1465,96.92108,3.07892
1464,96.51053,3.48947
1463,96.00575,3.99425
1462,95.36688,4.63312
1461,94.66584,5.33416
1460,93.8503,6.1497
1459,92.86547,7.13453
1458,91.78474,8.21526
1457,90.58331,9.41669
1456,89.20134,10.79866
1455,87.70976,12.29024
1454,86.121,13.879
1453,84.37946,15.62054
1452,82.54802,17.45198
1451,80.67615,19.32385
1450,78.7203,21.2797
1449,76.72279,23.27721
1448,74.75668,25.24332
1447,72.79362,27.20638
1446,70.84379,29.15621
1445,68.98208,31.01792
1444,67.19693,32.80307
1443,65.46395,34.53605
1442,63.84119,36.15881
1441,62.337,37.663
1440,60.90374,39.09626
1439,59.56911,40.43089
1438,58.36341,41.63659
1437,57.2363,42.7637
1436,56.18104,43.81896
1435,55.24041,44.75959
1434,54.38334,45.61666
1433,53.57135,46.42865
1432,52.84296,47.15704
1431,52.20121,47.79879
1430,51.59236,48.40764
1429,51.0289,48.9711
1428,50.54634,49.45366
1427,50.1028,49.8972
1426,49.67363,50.32637
1425,49.30373,50.69627
1424,48.98801,51.01199
1423,48.67582,51.32418
1422,48.38821,51.61179
1421,48.16045,51.83955
1420,47.95003,52.04997
1419,47.73311,52.26689
1418,47.55691,52.44309
1417,47.42139,52.57861
1416,47.27333,52.72667
1415,47.12675,52.87325
1414,47.02466,52.97534
1413,46.93172,53.06828
1412,46.80927,53.19073
1411,46.69821,53.30179
1410,46.6171,53.3829
1409,46.51024,53.48976
1408,46.36497,53.63503
1407,46.23017,53.76983
1406,46.09532,53.90468
1405,45.90132,54.09868
1404,45.65887,54.34113
1403,45.41121,54.58879
1402,45.12473,54.87527
1401,44.74786,55.25214
1400,44.30811,55.69189
1399,43.83717,56.16283
1398,43.28984,56.71016
1397,42.62871,57.37129
1396,41.89161,58.10839
1395,41.10163,58.89837
1394,40.21496,59.78504
1393,39.21125,60.78875
1392,38.13407,61.86593
1391,37.00418,62.99582
1390,35.78963,64.21037
1389,34.48348,65.51652
1388,33.13132,66.86868
1387,31.75545,68.24455
1386,30.3384,69.6616
1385,28.88238,71.11762
1384,27.42438,72.57562
1383,25.98608,74.01392
1382,24.55916,75.44084
1381,23.14479,76.85521
1380,21.76722,78.23278
1379,20.44243,79.55757
1378,19.16633,80.83367
1377,17.93557,82.06443
1376,16.76107,83.23893
1375,15.65267,84.34733
1374,14.60708,85.39292
1373,13.61792,86.38208
1372,12.68669,87.31331
1371,11.81756,88.18244
1370,11.00829,88.99171
1369,10.2517,89.7483
1368,9.5454,90.4546
1367,8.88974,91.11026
1366,8.28328,91.71672
1365,7.72126,92.27874
1364,7.19928,92.80072
1363,6.71552,93.28448
1362,6.26882,93.73118
1361,5.85638,94.14362
1360,5.47452,94.52548
1359,5.12053,94.87947
1358,4.79321,95.20679
1357,4.49106,95.50894
1356,4.21173,95.78827
1355,3.95289,96.04711
1354,3.71295,96.28705
1353,3.49089,96.50911
1352,3.28548,96.71452
1351,3.09513,96.90487
1350,2.91836,97.08164
1349,2.75395,97.24605
1348,2.60142,97.39858
1347,2.45994,97.54006
1346,2.32847,97.67153
1345,2.20607,97.79393
1344,2.09209,97.90791
1343,1.98604,98.01396
1342,1.88735,98.11265
1341,1.79538,98.20462
1340,1.70953,98.29047
1339,1.62932,98.37068
1338,1.55446,98.44554
1337,1.48459,98.51541
1336,1.41931,98.58069
1335,1.35823,98.64177
1334,1.30104,98.69896
1333,1.24749,98.75251
1332,1.19738,98.80262
1331,1.15048,98.84952
1330,1.10652,98.89348
1329,1.06613,98.93387
1328,1.02819,98.97181
1327,0.99257,99.00743
1326,0.95916,99.04084
1325,0.9278,99.0722
1324,0.89833,99.10167
1323,0.87063,99.12937
1322,0.8446,99.1554
1321,0.82017,99.17983
1320,0.79726,99.20274
1319,0.77553,99.22447
1318,0.75514,99.24486
1317,0.73603,99.26397
1316,0.71812,99.28188
1315,0.70137,99.29863
1314,0.68573,99.31427
1313,0.67114,99.32886
1312,0.65755,99.34245
1311,0.64491,99.35509
1310,0.63316,99.36684
1309,0.62228,99.37772
1308,0.61225,99.38775
1307,0.60306,99.39694
1306,0.59466,99.40534
1305,0.58703,99.41297
1304,0.58015,99.41985
1303,0.57399,99.42601
1302,0.56856,99.43144
1301,0.56385,99.43615
1300,0.55987,99.44013
1299,0.55659,99.44341
1298,0.55402,99.44598
1297,0.55215,99.44785
1296,0.55099,99.44901
1295,0.55057,99.44943
1294,0.5509,99.4491
1293,0.55201,99.44799
1292,0.55392,99.44608
1291,0.55666,99.44334
1290,0.56027,99.43973
1289,0.56479,99.43521
1288,0.57028,99.42972
1287,0.57679,99.42321
1286,0.5844,99.4156
1285,0.59318,99.40682
1284,0.60321,99.39679
1283,0.61457,99.38543
1282,0.62732,99.37268
1281,0.64152,99.35848
1280,0.6572,99.3428
1279,0.67436,99.32564
1278,0.69291,99.30709
1277,0.71268,99.28732
1276,0.73337,99.26663
1275,0.75453,99.24547
1274,0.77558,99.22442
1273,0.79584,99.20416
1272,0.81465,99.18535
1271,0.83148,99.16852
1270,0.84608,99.15392
1269,0.85854,99.14146
1268,0.86922,99.13078
1267,0.87873,99.12127
1266,0.88777,99.11223
1265,0.897,99.103
1264,0.90696,99.09304
1263,0.91802,99.08198
1262,0.9304,99.0696
1261,0.9442,99.0558
1260,0.95937,99.04063
1259,0.97583,99.02417
1258,0.99337,99.00663
1257,1.01176,98.98824
1256,1.03073,98.96927
1255,1.04996,98.95004
1254,1.06913,98.93087
1253,1.08787,98.91213
1252,1.10579,98.89421
1251,1.12252,98.87748
1250,1.13766,98.86234
1249,1.15084,98.84916
1248,1.16172,98.83828
1247,1.17001,98.82999
1246,1.17545,98.82455
1245,1.17787,98.82213
1244,1.17717,98.82283
1243,1.17333,98.82667
1242,1.1664,98.8336
1241,1.15652,98.84348
1240,1.14389,98.85611
1239,1.12873,98.87127
1238,1.11136,98.88864
1237,1.0921,98.9079
1236,1.07129,98.92871
1235,1.04928,98.95072
1234,1.02639,98.97361
1233,1.00295,98.99705
1232,0.97926,99.02074
1231,0.95559,99.04441
1230,0.93217,99.06783
1229,0.9092,99.0908
1228,0.88687,99.11313
1227,0.86534,99.13466
1226,0.84473,99.15527
1225,0.82514,99.17486
1224,0.80665,99.19335
1223,0.78932,99.21068
1222,0.77318,99.22682
1221,0.75826,99.24174
1220,0.74457,99.25543
1219,0.7321,99.2679
1218,0.72085,99.27915
1217,0.71076,99.28924
1216,0.7018,99.2982
1215,0.69389,99.30611
1214,0.68692,99.31308
1213,0.6808,99.3192
1212,0.67538,99.32462
1211,0.67052,99.32948
1210,0.66608,99.33392
1209,0.66193,99.33807
1208,0.658,99.342
1207,0.65424,99.34576
1206,0.65068,99.34932
1205,0.64738,99.35262
1204,0.64448,99.35552
1203,0.64208,99.35792
1202,0.64033,99.35967
1201,0.63934,99.36066
1200,0.63919,99.36081
1199,0.63993,99.36007
1198,0.6416,99.3584
1197,0.64419,99.35581
1196,0.64768,99.35232
1195,0.65204,99.34796
1194,0.6572,99.3428
1193,0.66309,99.33691
1192,0.66964,99.33036
1191,0.67674,99.32326
1190,0.6843,99.3157
1189,0.6922,99.3078
1188,0.70031,99.29969
1187,0.70848,99.29152
1186,0.71656,99.28344
1185,0.7244,99.2756
1184,0.73182,99.26818
1183,0.73864,99.26136
1182,0.74469,99.25531
1181,0.74979,99.25021
1180,0.75377,99.24623
1179,0.7565,99.2435
1178,0.75784,99.24216
1177,0.75767,99.24233
1176,0.75592,99.24408
1175,0.75258,99.24742
1174,0.74764,99.25236
1173,0.74115,99.25885
1172,0.7332,99.2668
1171,0.72389,99.27611
1170,0.71337,99.28663
1169,0.70173,99.29827
1168,0.68921,99.31079
1167,0.67599,99.32401
1166,0.66224,99.33776
1165,0.64814,99.35186
1164,0.63385,99.36615
1163,0.61952,99.38048
1162,0.60529,99.39471
1161,0.59129,99.40871
1160,0.57763,99.42237
1159,0.56441,99.43559
1158,0.5517,99.4483
1157,0.53958,99.46042
1156,0.5281,99.4719
1155,0.51729,99.48271
1154,0.50719,99.49281
1153,0.49782,99.50218
1152,0.48918,99.51082
1151,0.48127,99.51873
1150,0.47408,99.52592
1149,0.46761,99.53239
1148,0.46184,99.53816
1147,0.45679,99.54321
1146,0.45244,99.54756
1145,0.44881,99.55119
1144,0.4459,99.5541
1143,0.44375,99.55625
1142,0.44236,99.55764
1141,0.44177,99.55823
1140,0.442,99.558
1139,0.44308,99.55692
1138,0.44501,99.55499
1137,0.44782,99.55218
1136,0.45152,99.54848
1135,0.45612,99.54388
1134,0.46166,99.53834
1133,0.46816,99.53184
1132,0.47563,99.52437
1131,0.48412,99.51588
1130,0.49362,99.50638
1129,0.50415,99.49585
1128,0.5157,99.4843
1127,0.52827,99.47173
1126,0.54183,99.45817
1125,0.55638,99.44362
1124,0.57189,99.42811
1123,0.58831,99.41169
1122,0.60558,99.39442
1121,0.62358,99.37642
1120,0.64216,99.35784
1119,0.66113,99.33887
1118,0.68026,99.31974
1117,0.69932,99.30068
1116,0.71806,99.28194
1115,0.73622,99.26378
1114,0.75345,99.24655
1113,0.76941,99.23059
1112,0.78371,99.21629
1111,0.79603,99.20397
1110,0.8061,99.1939
1109,0.81378,99.18622
1108,0.81894,99.18106
1107,0.8215,99.1785
1106,0.82143,99.17857
1105,0.81878,99.18122
1104,0.81373,99.18627
1103,0.8066,99.1934
1102,0.79772,99.20228
1101,0.7874,99.2126
1100,0.7759,99.2241
1099,0.76351,99.23649
1098,0.75059,99.24941
1097,0.73752,99.26248
1096,0.72461,99.27539
1095,0.71206,99.28794
1094,0.70004,99.29996
1093,0.68871,99.31129
1092,0.67829,99.32171
1091,0.66896,99.33104
1090,0.6608,99.3392
1089,0.65384,99.34616
1088,0.64815,99.35185
1087,0.64384,99.35616
1086,0.64102,99.35898
1085,0.63974,99.36026
1084,0.63999,99.36001
1083,0.6418,99.3582
1082,0.64528,99.35472
1081,0.65051,99.34949
1080,0.65754,99.34246
1079,0.66634,99.33366
1078,0.67699,99.32301
1077,0.6896,99.3104
1076,0.70423,99.29577
1075,0.72088,99.27912
1074,0.7395,99.2605
1073,0.76014,99.23986
1072,0.78283,99.21717
1071,0.80744,99.19256
1070,0.8337,99.1663
1069,0.86144,99.13856
1068,0.89039,99.10961
1067,0.92006,99.07994
1066,0.94975,99.05025
1065,0.97874,99.02126
1064,1.00631,98.99369
1063,1.03146,98.96854
1062,1.05299,98.94701
1061,1.06996,98.93004
1060,1.08158,98.91842
1059,1.08697,98.91303
1058,1.08555,98.91445
1057,1.07728,98.92272
1056,1.06244,98.93756
1055,1.04139,98.95861
1054,1.01488,98.98512
1053,0.98403,99.01597
1052,0.94992,99.05008
1051,0.91351,99.08649
1050,0.87587,99.12413
1049,0.83794,99.16206
1048,0.80045,99.19955
1047,0.76397,99.23603
1046,0.72903,99.27097
1045,0.69593,99.30407
1044,0.6648,99.3352
1043,0.63579,99.36421
1042,0.60897,99.39103
1041,0.58424,99.41576
1040,0.56155,99.43845
1039,0.54083,99.45917
1038,0.52195,99.47805
1037,0.50478,99.49522
1036,0.4892,99.5108
1035,0.47508,99.52492
1034,0.46225,99.53775
1033,0.45061,99.54939
1032,0.43999,99.56001
1031,0.43026,99.56974
1030,0.42129,99.57871
1029,0.41293,99.58707
1028,0.40503,99.59497
1027,0.39749,99.60251
1026,0.39016,99.60984
1025,0.3829,99.6171
1024,0.37562,99.62438
1023,0.36819,99.63181
1022,0.36052,99.63948
1021,0.35255,99.64745
1020,0.3442,99.6558
1019,0.33545,99.66455
1018,0.32631,99.67369
1017,0.3168,99.6832
1016,0.30699,99.69301
1015,0.29695,99.70305
1014,0.28678,99.71322
1013,0.27662,99.72338
1012,0.26657,99.73343
1011,0.25676,99.74324
1010,0.24725,99.75275
1009,0.23804,99.76196
1008,0.22902,99.77098
1007,0.21997,99.78003
1006,0.21066,99.78934
1005,0.20101,99.79899
1004,0.19117,99.80883
1003,0.18146,99.81854
1002,0.1722,99.8278
1001,0.16358,99.83642
1000,0.15572,99.84428
999,0.14859,99.85141
998,0.1422,99.8578
997,0.13648,99.86352
996,0.13139,99.86861
995,0.12688,99.87312
994,0.12291,99.87709
993,0.11945,99.88055
992,0.11645,99.88355
991,0.11391,99.88609
990,0.11181,99.88819
989,0.11011,99.88989
988,0.10882,99.89118
987,0.10794,99.89206
986,0.10745,99.89255
985,0.10737,99.89263
984,0.1077,99.8923
983,0.10846,99.89154
982,0.10967,99.89033
981,0.11134,99.88866
980,0.11352,99.88648
979,0.11625,99.88375
978,0.11958,99.88042
977,0.12358,99.87642
976,0.12832,99.87168
975,0.13391,99.86609
974,0.14045,99.85955
973,0.14809,99.85191
972,0.15699,99.84301
971,0.16738,99.83262
970,0.17949,99.82051
969,0.19365,99.80635
968,0.21023,99.78977
967,0.22967,99.77033
966,0.25252,99.74748
965,0.27942,99.72058
964,0.31113,99.68887
963,0.34849,99.65151
962,0.39239,99.60761
961,0.44366,99.55634
960,0.50286,99.49714
959,0.56994,99.43006
958,0.64364,99.35636
957,0.7209,99.2791
956,0.79627,99.20373
955,0.8621,99.1379
954,0.90978,99.09022
953,0.9323,99.0677
952,0.92687,99.07313
951,0.89606,99.10394
950,0.84654,99.15346
949,0.78652,99.21348
948,0.72362,99.27638
947,0.66365,99.33635
946,0.6107,99.3893
945,0.56774,99.43226
944,0.53699,99.46301
943,0.51719,99.48281
942,0.49669,99.50331
941,0.46115,99.53885
940,0.41793,99.58207
939,0.38036,99.61964
938,0.3515,99.6485
937,0.32983,99.67017
936,0.31355,99.68645
935,0.30138,99.69862
934,0.29249,99.70751
933,0.28639,99.71361
932,0.28271,99.71729
931,0.28128,99.71872
930,0.28198,99.71802
929,0.28477,99.71523
928,0.28971,99.71029
927,0.29688,99.70312
926,0.30645,99.69355
925,0.31866,99.68134
924,0.33383,99.66617
923,0.35235,99.64765
922,0.37482,99.62518
921,0.40189,99.59811
920,0.43445,99.56555
919,0.47371,99.52629
918,0.52116,99.47884
917,0.57871,99.42129
916,0.64901,99.35099
915,0.73559,99.26441
914,0.84299,99.15701
913,0.97766,99.02234
912,1.1488,98.8512
911,1.36887,98.63113
910,1.65567,98.34433
909,2.0367,97.9633
908,2.55184,97.44816
907,3.25892,96.74108
906,4.24577,95.75423
905,5.64871,94.35129
904,7.65594,92.34406
903,10.46679,89.53321
902,14.1743,85.8257
901,18.47533,81.52467
900,22.21474,77.78526
