Wavelength[nm],T% at AOI 45 deg,r%
2356,98.65522,1.34478
2355,98.66506,1.33494
2354,98.63155,1.36845
2353,98.62427,1.37573
2352,98.65757,1.34243
2351,98.66012,1.33988
2350,98.62554,1.37446
2349,98.62605,1.37395
2348,98.65955,1.34045
2347,98.65363,1.34637
2346,98.61988,1.38012
2345,98.62923,1.37077
2344,98.66059,1.33941
2343,98.64571,1.35429
2342,98.61543,1.38457
2341,98.63355,1.36645
2340,98.66002,1.33998
2339,98.63675,1.36325
2338,98.61279,1.38721
2337,98.63861,1.36139
2336,98.6573,1.3427
2335,98.62731,1.37269
2334,98.61246,1.38754
2333,98.64372,1.35628
2332,98.65206,1.34794
2331,98.61825,1.38175
2330,98.61472,1.38528
2329,98.64796,1.35204
2328,98.64427,1.35573
2327,98.61064,1.38936
2326,98.61946,1.38054
2325,98.65025,1.34975
2324,98.63435,1.36565
2323,98.60564,1.39436
2322,98.62608,1.37392
2321,98.64955,1.35045
2320,98.62324,1.37676
2319,98.60421,1.39579
2318,98.6334,1.3666
2317,98.64513,1.35487
2316,98.61243,1.38757
2315,98.60686,1.39314
2314,98.63975,1.36025
2313,98.63693,1.36307
2312,98.60384,1.39616
2311,98.61332,1.38668
2310,98.64326,1.35674
2309,98.62582,1.37418
2308,98.59929,1.40071
2307,98.62224,1.37776
2306,98.6423,1.3577
2305,98.61367,1.38633
2304,98.6001,1.3999
2303,98.63138,1.36862
2302,98.63623,1.36377
2301,98.60315,1.39685
2300,98.60637,1.39363
2299,98.63795,1.36205
2298,98.62574,1.37426
2297,98.59709,1.40291
2296,98.61666,1.38334
2295,98.63944,1.36056
2294,98.61318,1.38682
2293,98.5976,1.4024
2292,98.62795,1.37205
2291,98.63452,1.36548
2290,98.60217,1.39783
2289,98.60506,1.39494
2288,98.6364,1.3636
2287,98.62381,1.37619
2286,98.5965,1.4035
2285,98.61761,1.38239
2284,98.63825,1.36175
2283,98.61078,1.38922
2282,98.59926,1.40074
2281,98.63062,1.36938
2280,98.63211,1.36789
2279,98.60075,1.39925
2278,98.61013,1.38987
2277,98.63871,1.36129
2276,98.62014,1.37986
2275,98.59863,1.40137
2274,98.6252,1.3748
2273,98.63804,1.36196
2272,98.60779,1.39221
2271,98.60652,1.39348
2270,98.63795,1.36205
2269,98.62875,1.37125
2268,98.60175,1.39825
2267,98.62181,1.37819
2266,98.64232,1.35768
2265,98.61578,1.38422
2264,98.60649,1.39351
2263,98.63764,1.36236
2262,98.63621,1.36379
2261,98.60705,1.39295
2260,98.62112,1.37888
2259,98.64604,1.35396
2258,98.6236,1.3764
2257,98.6092,1.3908
2256,98.63882,1.36118
2255,98.64275,1.35725
2254,98.61324,1.38676
2253,98.62305,1.37695
2252,98.65005,1.34995
2251,98.63071,1.36929
2250,98.61368,1.38632
2249,98.64191,1.35809
2248,98.6485,1.3515
2247,98.61934,1.38066
2246,98.62738,1.37262
2245,98.65469,1.34531
2244,98.63639,1.36361
2243,98.61931,1.38069
2242,98.64711,1.35289
2241,98.65338,1.34662
2240,98.62478,1.37522
2239,98.63362,1.36638
2238,98.65993,1.34007
2237,98.64077,1.35923
2236,98.62555,1.37445
2235,98.65374,1.34626
2234,98.65739,1.34261
2233,98.62952,1.37048
2232,98.64124,1.35876
2231,98.66518,1.33482
2230,98.64369,1.35631
2229,98.63228,1.36772
2228,98.66109,1.33891
2227,98.66011,1.33989
2226,98.63374,1.36626
2225,98.64961,1.35039
2224,98.66966,1.33034
2223,98.64546,1.35454
2222,98.63947,1.36053
2221,98.66824,1.33176
2220,98.66101,1.33899
2219,98.63766,1.36234
2218,98.65873,1.34127
2217,98.67208,1.32792
2216,98.64531,1.35469
2215,98.64792,1.35208
2214,98.67438,1.32562
2213,98.65845,1.34155
2212,98.64213,1.35787
2211,98.66812,1.33188
2210,98.67084,1.32916
2209,98.64446,1.35554
2208,98.65743,1.34257
2207,98.67721,1.32279
2206,98.65386,1.34614
2205,98.64815,1.35185
2204,98.67522,1.32478
2203,98.66583,1.33417
2202,98.64478,1.35522
2201,98.66671,1.33329
2200,98.67509,1.32491
2199,98.64851,1.35149
2198,98.65612,1.34388
2197,98.67798,1.32202
2196,98.65712,1.34288
2195,98.64793,1.35207
2194,98.67403,1.32597
2193,98.66679,1.33321
2192,98.64491,1.35509
2191,98.66516,1.33484
2190,98.67366,1.32634
2189,98.64751,1.35249
2188,98.65476,1.34524
2187,98.67528,1.32472
2186,98.65402,1.34598
2185,98.6462,1.3538
2184,98.67123,1.32877
2183,98.66158,1.33842
2182,98.64168,1.35832
2181,98.66288,1.33712
