Wavelength[nm],T,,,R% at AOI 45 deg
1068,98.62145,,,1.37855
1067,98.59939,,,1.40061
1066,98.57484,,,1.42516
1065,98.55178,,,1.44822
1064,98.53401,,,1.46599
1063,98.52478,,,1.47522
1062,98.52634,,,1.47366
1061,98.53965,,,1.46035
1060,98.56428,,,1.43572
1059,98.59838,,,1.40162
1058,98.63894,,,1.36106
1057,98.68213,,,1.31787
1056,98.72375,,,1.27625
1055,98.75974,,,1.24026
1054,98.78671,,,1.21329
1053,98.80239,,,1.19761
1052,98.80589,,,1.19411
1051,98.7979,,,1.2021
1050,98.78053,,,1.21947
1049,98.75708,,,1.24292
1048,98.73164,,,1.26836
1047,98.70851,,,1.29149
1046,98.69164,,,1.30836
1045,98.68409,,,1.31591
1044,98.68764,,,1.31236
1043,98.70249,,,1.29751
1042,98.72727,,,1.27273
1041,98.75912,,,1.24088
1040,98.79411,,,1.20589
1039,98.82774,,,1.17226
1038,98.8555,,,1.1445
1037,98.87353,,,1.12647
1036,98.87919,,,1.12081
1035,98.8714,,,1.1286
1034,98.85087,,,1.14913
1033,98.82,,,1.18
1032,98.78257,,,1.21743
1031,98.74324,,,1.25676
1030,98.70686,,,1.29314
1029,98.67782,,,1.32218
1028,98.65941,,,1.34059
1027,98.65336,,,1.34664
1026,98.65956,,,1.34044
1025,98.67604,,,1.32396
1024,98.69928,,,1.30072
1023,98.7246,,,1.2754
1022,98.74691,,,1.25309
1021,98.7614,,,1.2386
1020,98.76428,,,1.23572
1019,98.75342,,,1.24658
1018,98.72865,,,1.27135
1017,98.69186,,,1.30814
1016,98.64681,,,1.35319
1015,98.59852,,,1.40148
1014,98.55263,,,1.44737
1013,98.51448,,,1.48552
1012,98.48841,,,1.51159
1011,98.47702,,,1.52298
1010,98.48084,,,1.51916
1009,98.49816,,,1.50184
1008,98.52531,,,1.47469
1007,98.55713,,,1.44287
1006,98.58776,,,1.41224
1005,98.61154,,,1.38846
1004,98.62391,,,1.37609
1003,98.62215,,,1.37785
1002,98.6059,,,1.3941
1001,98.5772,,,1.4228
1000,98.54025,,,1.45975
999,98.50076,,,1.49924
998,98.46503,,,1.53497
997,98.43901,,,1.56099
996,98.42726,,,1.57274
995,98.43228,,,1.56772
994,98.45406,,,1.54594
993,98.49,,,1.51
992,98.53532,,,1.46468
991,98.58376,,,1.41624
990,98.6286,,,1.3714
989,98.66373,,,1.33627
988,98.68469,,,1.31531
987,98.68946,,,1.31054
986,98.67881,,,1.32119
985,98.65623,,,1.34377
984,98.62728,,,1.37272
983,98.5987,,,1.4013
982,98.57719,,,1.42281
981,98.56827,,,1.43173
980,98.57526,,,1.42474
979,98.59876,,,1.40124
978,98.63631,,,1.36369
977,98.6829,,,1.3171
976,98.73175,,,1.26825
975,98.77549,,,1.22451
974,98.80745,,,1.19255
973,98.82287,,,1.17713
972,98.81985,,,1.18015
971,98.7997,,,1.2003
970,98.76677,,,1.23323
969,98.72763,,,1.27237
968,98.68993,,,1.31007
967,98.66096,,,1.33904
966,98.64626,,,1.35374
965,98.64858,,,1.35142
964,98.66731,,,1.33269
963,98.69858,,,1.30142
962,98.73591,,,1.26409
961,98.77146,,,1.22854
960,98.79751,,,1.20249
959,98.80806,,,1.19194
958,98.80005,,,1.19995
957,98.77414,,,1.22586
956,98.7346,,,1.2654
955,98.6886,,,1.3114
954,98.6448,,,1.3552
953,98.61164,,,1.38836
952,98.59565,,,1.40435
951,98.60015,,,1.39985
950,98.62444,,,1.37556
949,98.66392,,,1.33608
948,98.71094,,,1.28906
947,98.75626,,,1.24374
946,98.79101,,,1.20899
945,98.80855,,,1.19145
944,98.8059,,,1.1941
943,98.78448,,,1.21552
942,98.74972,,,1.25028
941,98.70981,,,1.29019
940,98.67371,,,1.32629
939,98.64894,,,1.35106
938,98.63948,,,1.36052
937,98.64442,,,1.35558
936,98.65759,,,1.34241
935,98.66833,,,1.33167
934,98.66335,,,1.33665
933,98.62929,,,1.37071
932,98.55541,,,1.44459
931,98.43577,,,1.56423
930,98.27028,,,1.72972
929,98.06397,,,1.93603
928,97.82581,,,2.17419
927,97.56511,,,2.43489
926,97.28829,,,2.71171
925,96.99596,,,3.00404
924,96.68118,,,3.31882
923,96.32956,,,3.67044
922,95.92123,,,4.07877
921,95.43464,,,4.56536
920,94.85116,,,5.14884
919,94.15887,,,5.84113
918,93.35713,,,6.64287
917,92.45533,,,7.54467
916,91.47098,,,8.52902
915,90.42537,,,9.57463
914,89.33824,,,10.66176
913,88.22295,,,11.77705
912,87.08324,,,12.91676
911,85.91244,,,14.08756
910,84.6953,,,15.3047
909,83.41051,,,16.58949
908,82.04198,,,17.95802
907,80.57932,,,19.42068
906,79.02356,,,20.97644
905,77.38823,,,22.61177
904,75.69708,,,24.30292
903,73.9795,,,26.0205
902,72.26497,,,27.73503
901,70.57793,,,29.42207
900,68.93403,,,31.06597
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
