#Wavelength (nm),"M1, M2, or M3, 
#1 year"
2148,0.965165183
2147,0.965304228
2146,0.965472387
2145,0.965314255
2144,0.965318871
2143,0.96511886
2142,0.964747588
2141,0.965600033
2140,0.965059675
2139,0.965059872
2138,0.964888846
2137,0.9650962
2136,0.965571251
2135,0.964748141
2134,0.965218881
2133,0.965101528
2132,0.965046902
2131,0.965116342
2130,0.965591278
2129,0.965051238
2128,0.965305939
2127,0.964866549
2126,0.96502135
2125,0.964730485
2124,0.964989821
2123,0.964585876
2122,0.965441863
2121,0.964490058
2120,0.965126349
2119,0.964737625
2118,0.964954777
2117,0.964661783
2116,0.964479402
2115,0.964967117
2114,0.965091419
2113,0.964684957
2112,0.964634291
2111,0.964988117
2110,0.965021782
2109,0.965094001
2108,0.964793205
2107,0.965448443
2106,0.964941025
2105,0.964280097
2104,0.964491151
2103,0.965202306
2102,0.965136941
2101,0.964506524
2100,0.964671777
2099,0.964694805
2098,0.964510911
2097,0.964409637
2096,0.964668121
2095,0.964517523
2094,0.964761779
2093,0.964191017
2092,0.965357304
2091,0.964725545
2090,0.964177659
2089,0.964649309
2088,0.964308345
2087,0.96468441
2086,0.963996213
2085,0.964378459
2084,0.964253222
2083,0.964928926
2082,0.964542185
2081,0.964454238
2080,0.964784641
2079,0.964934559
2078,0.963931986
2077,0.964275411
2076,0.96419316
2075,0.964282112
2074,0.964300296
2073,0.963993867
2072,0.964441662
2071,0.964028034
2070,0.963559227
2069,0.964465726
2068,0.964332002
2067,0.964167385
2066,0.963838234
2065,0.964203065
2064,0.964382769
2063,0.963942719
2062,0.96373614
2061,0.964705455
2060,0.964585196
2059,0.963552984
2058,0.964548581
2057,0.964095446
2056,0.963742097
2055,0.964047127
2054,0.964322802
2053,0.964339288
2052,0.964112282
2051,0.964519189
2050,0.96425108
2049,0.964377098
2048,0.964364859
2047,0.963925654
2046,0.964083767
2045,0.964206327
2044,0.964204063
2043,0.964312267
2042,0.963965143
2041,0.964222056
2040,0.963912182
2039,0.963835303
2038,0.963941816
2037,0.964287395
2036,0.963838495
2035,0.964319324
2034,0.964435635
2033,0.963804817
2032,0.964328403
2031,0.963967139
2030,0.964687862
2029,0.963885409
2028,0.963990936
2027,0.96418836
2026,0.963720207
2025,0.96351518
2024,0.964139881
2023,0.963727976
2022,0.963766308
2021,0.9641447
2020,0.964099433
2019,0.963781764
2018,0.96406929
2017,0.963489736
2016,0.963882682
2015,0.964050001
2014,0.963908316
2013,0.963692074
2012,0.963706207
2011,0.963971577
2010,0.963638592
2009,0.964113814
2008,0.963510259
2007,0.964106503
2006,0.963227793
2005,0.964128819
2004,0.963976237
2003,0.963561052
2002,0.963707625
2001,0.964013271
2000,0.96377285
1999,0.963722757
1998,0.963278732
1997,0.963139203
1996,0.963531679
1995,0.963675626
1994,0.963916499
1993,0.964048258
1992,0.963718599
1991,0.963550212
1990,0.963906364
1989,0.963773518
1988,0.963860111
1987,0.963437513
1986,0.963556709
1985,0.963522676
1984,0.962933178
1983,0.963129679
1982,0.963277346
1981,0.963225746
1980,0.963046379
1979,0.963056501
1978,0.963389104
1977,0.963574772
1976,0.963032366
1975,0.962890244
1974,0.963117097
1973,0.963698006
1972,0.963026142
1971,0.962988822
1970,0.963173726
1969,0.962598845
1968,0.963126704
1967,0.962757804
1966,0.963050283
1965,0.962885679
1964,0.96315822
1963,0.963145294
1962,0.963329035
1961,0.963100662
1960,0.963107707
1959,0.962986457
1958,0.962862078
1957,0.9628637
1956,0.962682088
1955,0.963449688
1954,0.962459704
1953,0.962712129
1952,0.962906151
1951,0.962984244
1950,0.962758172
1949,0.962979724
1948,0.962796923
1947,0.962976685
1946,0.96238397
1945,0.962312501
1944,0.962681039
1943,0.96367075
1942,0.96261666
1941,0.962827733
1940,0.963196672
1939,0.962885939
1938,0.962747415
1937,0.962724826
1936,0.962952232
1935,0.963506743
1934,0.962947235
1933,0.962524427
1932,0.962671674
1931,0.962688376
1930,0.962650852
1929,0.963036982
1928,0.962595418
1927,0.962368533
1926,0.962658742
1925,0.96313619
1924,0.962489446
1923,0.962799282
1922,0.962896805
1921,0.963212159
1920,0.962543977
1919,0.962984873
1918,0.963080985
1917,0.962681274
1916,0.962311452
1915,0.962574851
1914,0.962557812
1913,0.96301733
1912,0.96271862
1911,0.962857723
1910,0.962846553
1909,0.962966601
1908,0.962231414
1907,0.961847998
1906,0.962481143
1905,0.962899259
1904,0.962441845
1903,0.962205429
1902,0.962848714
1901,0.962326082
1900,0.962408549
1899,0.962910798
1898,0.962857253
1897,0.962052294
1896,0.961855195
1895,0.961981214
1894,0.962118193
1893,0.961595427
1892,0.962044748
1891,0.962592436
1890,0.962247378
1889,0.96266688
1888,0.962556661
1887,0.961472925
1886,0.962433484
1885,0.962341607
1884,0.962003778
1883,0.962016029
1882,0.962416954
1881,0.962257779
1880,0.961394094
1879,0.962034359
1878,0.961994267
1877,0.961743736
1876,0.962591591
1875,0.962058201
1874,0.961713734
1873,0.962223409
1872,0.962028319
1871,0.962144883
1870,0.962375768
1869,0.962824955
1868,0.962024053
1867,0.962207858
1866,0.962302087
1865,0.9619977
1864,0.961732375
1863,0.962334334
1862,0.962134883
1861,0.962248573
1860,0.961906668
1859,0.961704171
1858,0.962000548
1857,0.961744143
1856,0.9614446
1855,0.961490072
1854,0.961612542
1853,0.961993446
1852,0.962154675
1851,0.961730518
1850,0.961855869
1849,0.961643778
1848,0.961275679
1847,0.96151619
1846,0.962009048
1845,0.961671937
1844,0.961422583
1843,0.961332556
1842,0.961248035
1841,0.961651929
1840,0.961851273
1839,0.96174516
1838,0.961653722
1837,0.961354338
1836,0.961310514
1835,0.961842759
1834,0.961123104
1833,0.961343587
1832,0.961050987
1831,0.961169434
1830,0.96158226
1829,0.961125952
1828,0.960730165
1827,0.960911547
1826,0.961487834
1825,0.961232236
1824,0.960807743
1823,0.961019351
1822,0.961014957
1821,0.961363532
1820,0.960734069
1819,0.960704466
1818,0.961382802
1817,0.96109038
1816,0.961161919
1815,0.960983512
1814,0.961176637
1813,0.961010799
1812,0.960697053
1811,0.961272271
1810,0.960591761
1809,0.96053374
1808,0.960673555
1807,0.960915152
1806,0.960730731
1805,0.96051597
1804,0.960630226
1803,0.960656134
1802,0.960664075
1801,0.960325457
1800,0.960928567
1799,0.960803579
1798,0.960250231
1797,0.960439561
1796,0.960201931
1795,0.95987395
1794,0.960532322
1793,0.95999356
1792,0.9604599
1791,0.960204557
1790,0.960584927
1789,0.960465965
1788,0.960535704
1787,0.960386569
1786,0.960119603
1785,0.960598749
1784,0.96053477
1783,0.960863317
1782,0.959801776
1781,0.95983813
1780,0.960294228
1779,0.960516669
1778,0.960197481
1777,0.959766916
1776,0.960575485
1775,0.960155551
1774,0.960090415
1773,0.960622756
1772,0.960692991
1771,0.960096499
1770,0.960243944
1769,0.960505575
1768,0.960360006
1767,0.960076586
1766,0.960250727
1765,0.960399361
1764,0.960850576
1763,0.960605933
1762,0.960239404
1761,0.960209306
1760,0.960680332
1759,0.960304152
1758,0.959875514
1757,0.960248801
1756,0.960488078
1755,0.960125777
1754,0.960213203
1753,0.960567697
1752,0.960297286
1751,0.960508957
1750,0.960204042
1749,0.960034472
1748,0.960208867
1747,0.960262318
1746,0.960491327
1745,0.960274086
1744,0.960448488
1743,0.960333742
1742,0.96026741
1741,0.960570234
1740,0.960271912
1739,0.960723362
1738,0.960137971
1737,0.960514202
1736,0.960656471
1735,0.960389748
1734,0.960451603
1733,0.960793095
1732,0.960365047
1731,0.960772502
1730,0.961027953
1729,0.960563151
1728,0.960299524
1727,0.961199862
1726,0.960773169
1725,0.960435607
1724,0.960770111
1723,0.960586535
1722,0.961176936
1721,0.960614363
1720,0.960765311
1719,0.960702521
1718,0.960686766
1717,0.961070576
1716,0.960457268
1715,0.960532589
1714,0.960502809
1713,0.96103192
1712,0.960667604
1711,0.960639858
1710,0.960483812
1709,0.96063914
1708,0.961134834
1707,0.961479867
1706,0.960591908
1705,0.960886237
1704,0.961042926
1703,0.960559489
1702,0.961051108
1701,0.961034508
1700,0.960638504
1699,0.961014226
1698,0.960687288
1697,0.960359802
1696,0.961153558
1695,0.961163222
1694,0.960851885
1693,0.960438658
1692,0.96090704
1691,0.960777251
1690,0.960720024
1689,0.960549558
1688,0.960353165
1687,0.960707951
1686,0.960593141
1685,0.960725702
1684,0.961034857
1683,0.960991936
1682,0.960839475
1681,0.960122604
1680,0.960564499
1679,0.960379518
1678,0.960576172
1677,0.960961431
1676,0.960657075
1675,0.960908305
1674,0.961297181
1673,0.960812664
1672,0.960884043
1671,0.961339556
1670,0.960456537
1669,0.960712655
1668,0.960509262
1667,0.960669244
1666,0.960444132
1665,0.960481307
1664,0.961119906
1663,0.9605211
1662,0.960820891
1661,0.960799452
1660,0.960847588
1659,0.961060054
1658,0.960463587
1657,0.960678921
1656,0.960223649
1655,0.960791709
1654,0.960695705
1653,0.960829862
1652,0.960480735
1651,0.961063786
1650,0.960683645
1649,0.961078917
1648,0.960852623
1647,0.960734094
1646,0.960496928
1645,0.960651245
1644,0.96050148
1643,0.96057181
1642,0.960462163
1641,0.96039458
1640,0.960252393
1639,0.960058174
1638,0.960458228
1637,0.960310771
1636,0.959876588
1635,0.960526244
1634,0.960606117
1633,0.960341835
1632,0.96016798
1631,0.960327511
1630,0.960281188
1629,0.960818723
1628,0.960200583
1627,0.960111154
1626,0.960757192
1625,0.960421149
1624,0.960073547
1623,0.959989942
1622,0.960799338
1621,0.960474529
1620,0.960142994
1619,0.960036252
1618,0.960754064
1617,0.960406259
1616,0.959967359
1615,0.960320721
1614,0.960222823
1613,0.959894149
1612,0.959801153
1611,0.96031229
1610,0.960234076
1609,0.959853388
1608,0.960051034
1607,0.95973189
1606,0.960073407
1605,0.960321477
1604,0.960064831
1603,0.960255152
1602,0.959917526
1601,0.959965159
1600,0.960074081
1599,0.959606228
1598,0.959801413
1597,0.959614156
1596,0.960004228
1595,0.960091451
1594,0.959574973
1593,0.95970164
1592,0.959889336
1591,0.959447734
1590,0.959890232
1589,0.95960453
1588,0.959762224
1587,0.960040366
1586,0.959600824
1585,0.959579468
1584,0.959523067
1583,0.959247913
1582,0.960137831
1581,0.959729792
1580,0.959655609
1579,0.959389153
1578,0.959342492
1577,0.959271393
1576,0.959557985
1575,0.95971955
1574,0.959166953
1573,0.959697736
1572,0.959548804
1571,0.959547335
1570,0.959230385
1569,0.959371058
1568,0.959087868
1567,0.959271609
1566,0.959637915
1565,0.959872252
1564,0.959170596
1563,0.959499982
1562,0.959071
1561,0.959140587
1560,0.959019712
1559,0.959940325
1558,0.959007187
1557,0.959987348
1556,0.959360065
1555,0.959544239
1554,0.959076977
1553,0.959240551
1552,0.959510473
1551,0.959138762
1550,0.959669978
1549,0.959114418
1548,0.95912199
1547,0.959374116
1546,0.959502023
1545,0.959136988
1544,0.95900603
1543,0.959047483
1542,0.959181175
1541,0.959289188
1540,0.959576302
1539,0.95884826
1538,0.959076684
1537,0.959032466
1536,0.959286874
1535,0.95936175
1534,0.959290187
1533,0.95931345
1532,0.959236743
1531,0.959003843
1530,0.959518344
1529,0.958792102
1528,0.95919672
1527,0.958769817
1526,0.959256064
1525,0.959280949
1524,0.95905606
1523,0.959377975
1522,0.958905748
1521,0.959155312
1520,0.958831158
1519,0.959232655
1518,0.959145832
1517,0.959263376
1516,0.958883661
1515,0.958932234
1514,0.959051437
1513,0.958762067
1512,0.95943023
1511,0.959459337
1510,0.959214611
1509,0.95887818
1508,0.958919417
1507,0.959131667
1506,0.958785013
1505,0.958893471
1504,0.959536622
1503,0.958945287
1502,0.958814837
1501,0.958388933
1500,0.958566074
1499,0.959652208
1498,0.958732141
1497,0.959326045
1496,0.959176381
1495,0.959013646
1494,0.958756975
1493,0.959177545
1492,0.959002641
1491,0.959093806
1490,0.9591259
1489,0.958982226
1488,0.959531066
1487,0.959276066
1486,0.958852552
1485,0.959735718
1484,0.959137961
1483,0.95892259
1482,0.958964341
1481,0.959033928
1480,0.95940134
1479,0.959459883
1478,0.95958416
1477,0.958995132
1476,0.959063028
1475,0.959013284
1474,0.958669821
1473,0.959137643
1472,0.959238389
1471,0.95851675
1470,0.958873851
1469,0.959160194
1468,0.958496895
1467,0.958819701
1466,0.95878287
1465,0.959439252
1464,0.959457804
1463,0.958717079
1462,0.958946056
1461,0.958919239
1460,0.959482365
1459,0.959046224
1458,0.959102675
1457,0.959184132
1456,0.958810692
1455,0.958684025
1454,0.958927002
1453,0.959669882
1452,0.958511848
1451,0.958523782
1450,0.959053974
1449,0.959130567
1448,0.958915393
1447,0.958413067
1446,0.959298356
1445,0.959049905
1444,0.958101711
1443,0.958649432
1442,0.958928528
1441,0.958671767
1440,0.95870046
1439,0.958660564
1438,0.958940722
1437,0.959037685
1436,0.958599803
1435,0.958852208
1434,0.958507722
1433,0.958357245
1432,0.958728879
1431,0.9588716
1430,0.958651282
1429,0.958319709
1428,0.958978901
1427,0.958509318
1426,0.958816172
1425,0.958233274
1424,0.95839173
1423,0.958358879
1422,0.958792725
1421,0.95823597
1420,0.958409328
1419,0.958407904
1418,0.958095055
1417,0.958049831
1416,0.958063711
1415,0.958125254
1414,0.958206641
1413,0.95815663
1412,0.95832208
1411,0.957620977
1410,0.957886105
1409,0.957607765
1408,0.95778958
1407,0.957918549
1406,0.957696686
1405,0.957633444
1404,0.957859446
1403,0.957977339
1402,0.957083403
1401,0.957125111
1400,0.957955367
1399,0.957540309
1398,0.957583008
1397,0.956792723
1396,0.95753926
1395,0.957061596
1394,0.957029266
1393,0.957374382
1392,0.956966654
1391,0.957451623
1390,0.957044703
1389,0.957181282
1388,0.957556362
1387,0.957678827
1386,0.957372341
1385,0.956992709
1384,0.956700719
1383,0.956851044
1382,0.956835492
1381,0.957401307
1380,0.957775631
1379,0.957086894
1378,0.956394202
1377,0.957010791
1376,0.95642561
1375,0.956849219
1374,0.956517817
1373,0.956293856
1372,0.957126738
1371,0.956259282
1370,0.956719036
1369,0.956642246
1368,0.957091643
1367,0.956636028
1366,0.957112344
1365,0.957387911
1364,0.956674563
1363,0.956455854
1362,0.956983344
1361,0.956421274
1360,0.956873862
1359,0.956995665
1358,0.955962645
1357,0.956143926
1356,0.95610391
1355,0.955979074
1354,0.955754719
1353,0.956741772
1352,0.956069558
1351,0.95625611
1350,0.956827825
1349,0.956675593
1348,0.956548754
1347,0.956612829
1346,0.957157402
1345,0.956828105
1344,0.956750552
1343,0.957068017
1342,0.95686491
1341,0.956506411
1340,0.95678697
1339,0.956548971
1338,0.956598981
1337,0.956584816
1336,0.956776396
1335,0.956845105
1334,0.956687145
1333,0.956378142
1332,0.956404673
1331,0.956464729
1330,0.956334432
1329,0.956501865
1328,0.956800957
1327,0.956271324
1326,0.956363894
1325,0.956262309
1324,0.956293697
1323,0.95668939
1322,0.956137435
1321,0.956070493
1320,0.956038227
1319,0.956057091
1318,0.955571683
1317,0.956019719
1316,0.955877927
1315,0.955243301
1314,0.955539366
1313,0.955899544
1312,0.955510629
1311,0.954969114
1310,0.955422217
1309,0.955119228
1308,0.954987901
1307,0.955050983
1306,0.955170345
1305,0.954902611
1304,0.954745083
1303,0.955415618
1302,0.955194391
1301,0.954559828
1300,0.954969393
1299,0.954899394
1298,0.954415639
1297,0.954886367
1296,0.954500682
1295,0.955055586
1294,0.954483846
1293,0.954493186
1292,0.954577986
1291,0.954376825
1290,0.954680354
1289,0.954481144
1288,0.954112148
1287,0.954133568
1286,0.954211267
1285,0.953525937
1284,0.95355945
1283,0.954022732
1282,0.954034634
1281,0.953663451
1280,0.953945376
1279,0.953725268
1278,0.953702653
1277,0.954254373
1276,0.95370402
1275,0.953213634
1274,0.953175729
1273,0.953970928
1272,0.953461259
1271,0.953234189
1270,0.953187841
1269,0.953747133
1268,0.953413048
1267,0.952925371
1266,0.953251673
1265,0.952418181
1264,0.952705803
1263,0.952706273
1262,0.952906259
1261,0.952738679
1260,0.952536151
1259,0.952511145
1258,0.952359365
1257,0.951968962
1256,0.952875996
1255,0.952491805
1254,0.95277167
1253,0.952074369
1252,0.952380238
1251,0.952202346
1250,0.952391256
1249,0.952312266
1248,0.952199682
1247,0.952872041
1246,0.952193108
1245,0.952305145
1244,0.952211278
1243,0.952366873
1242,0.951974983
1241,0.951897628
1240,0.952229888
1239,0.951968943
1238,0.951716741
1237,0.951767127
1236,0.95224521
1235,0.952329973
1234,0.952197056
1233,0.951860231
1232,0.951320903
1231,0.951651382
1230,0.951266836
1229,0.951914285
1228,0.95131101
1227,0.9517589
1226,0.951577606
1225,0.951534538
1224,0.9516583
1223,0.951515465
1222,0.951475048
1221,0.951077652
1220,0.951669629
1219,0.951064637
1218,0.951268972
1217,0.95105643
1216,0.951862526
1215,0.950994155
1214,0.950980167
1213,0.950945047
1212,0.95107825
1211,0.950870463
1210,0.951286894
1209,0.95133522
1208,0.951180534
1207,0.951313578
1206,0.951591981
1205,0.951041145
1204,0.950720094
1203,0.95087951
1202,0.951334438
1201,0.951008739
1200,0.951057828
1199,0.952669754
1198,0.952480443
1197,0.952553342
1196,0.952260005
1195,0.952710361
1194,0.952294235
1193,0.95235096
1192,0.95230655
1191,0.952060623
1190,0.952248249
1189,0.952404722
1188,0.952170982
1187,0.951824443
1186,0.951688385
1185,0.95189462
1184,0.951665834
1183,0.951379547
1182,0.952196452
1181,0.951579539
1180,0.95133969
1179,0.95135725
1178,0.951217721
1177,0.951158015
1176,0.951444009
1175,0.950941518
1174,0.951330916
1173,0.951312046
1172,0.951217499
1171,0.950766513
1170,0.95101998
1169,0.95147131
1168,0.951205966
1167,0.950616995
1166,0.951111348
1165,0.950928485
1164,0.951117776
1163,0.950996558
1162,0.95038449
1161,0.950321356
1160,0.949912879
1159,0.950306098
1158,0.9502005
1157,0.950077394
1156,0.950376422
1155,0.949490306
1154,0.949879831
1153,0.95003931
1152,0.949534829
1151,0.949694742
1150,0.949586582
1149,0.94948082
1148,0.949602877
1147,0.948774687
1146,0.949236526
1145,0.949494343
1144,0.948875987
1143,0.949270255
1142,0.949277445
1141,0.94898941
1140,0.94932368
1139,0.94878938
1138,0.948891767
1137,0.948208866
1136,0.948817406
1135,0.948507671
1134,0.948251896
1133,0.948341045
1132,0.948121916
1131,0.948156319
1130,0.947489287
1129,0.947842553
1128,0.948196443
1127,0.947917207
1126,0.947877502
1125,0.947655156
1124,0.946648547
1123,0.94773592
1122,0.947557621
1121,0.947104429
1120,0.94689333
1119,0.947113304
1118,0.946989352
1117,0.946410472
1116,0.946951052
1115,0.946820412
1114,0.946239808
1113,0.946642768
1112,0.94663084
1111,0.946544456
1110,0.945907612
1109,0.946092428
1108,0.945799802
1107,0.945865281
1106,0.945375023
1105,0.945681477
1104,0.945940069
1103,0.945172647
1102,0.945747954
1101,0.945161438
1100,0.944970837
1099,0.94490195
1098,0.944702752
1097,0.944680818
1096,0.945210463
1095,0.944590111
1094,0.944567254
1093,0.944404666
1092,0.94395291
1091,0.943935782
1090,0.943726877
1089,0.943815816
1088,0.943645058
1087,0.943751246
1086,0.943407084
1085,0.94339866
1084,0.943157717
1083,0.94309234
1082,0.942896309
1081,0.942687868
1080,0.942390963
1079,0.942322534
1078,0.942737001
1077,0.94224376
1076,0.94163983
1075,0.941492488
1074,0.941732769
1073,0.941779245
1072,0.941500295
1071,0.941086966
1070,0.941114566
1069,0.940794093
1068,0.940871696
1067,0.940620486
1066,0.94051431
1065,0.940437393
1064,0.939752655
1063,0.939994939
1062,0.939458256
1061,0.939541861
1060,0.93965704
1059,0.939172586
1058,0.938509356
1057,0.939318956
1056,0.938707555
1055,0.938616982
1054,0.938275979
1053,0.93785806
1052,0.937967676
1051,0.937685483
1050,0.937944571
1049,0.937983335
1048,0.937605406
1047,0.937063828
1046,0.937596258
1045,0.936574574
1044,0.936410281
1043,0.936785418
1042,0.936806335
1041,0.935744616
1040,0.935862605
1039,0.936137238
1038,0.935793546
1037,0.935447343
1036,0.935100136
1035,0.935097523
1034,0.934646899
1033,0.934906324
1032,0.934464531
1031,0.934567445
1030,0.934352729
1029,0.933987471
1028,0.933716056
1027,0.933896898
1026,0.93329923
1025,0.933548209
1024,0.933401814
1023,0.933210195
1022,0.933199081
1021,0.93298151
1020,0.932350267
1019,0.932801832
1018,0.932117399
1017,0.931886622
1016,0.931893412
1015,0.931735109
1014,0.931344541
1013,0.931166655
1012,0.931602427
1011,0.930392996
1010,0.930481911
1009,0.930526212
1008,0.930451412
1007,0.930030766
1006,0.929958108
1005,0.929598045
1004,0.92929142
1003,0.929158268
1002,0.928758837
1001,0.928516115
1000,0.928718713
999,0.927742062
998,0.92856177
997,0.927469699
996,0.927110271
995,0.927487081
994,0.926402556
993,0.926153755
992,0.925447318
991,0.925855776
990,0.925190493
989,0.924902636
988,0.924965687
987,0.924084174
986,0.924032224
985,0.923428491
984,0.923312308
983,0.92253973
982,0.922334569
981,0.922256953
980,0.92166488
979,0.921383127
978,0.920534763
977,0.920301749
976,0.919804014
975,0.920150592
974,0.919559816
973,0.919200617
972,0.918326003
971,0.918000412
970,0.917836685
969,0.917159748
968,0.916958167
967,0.916282272
966,0.916124802
965,0.916195526
964,0.915009689
963,0.914476986
962,0.914105657
961,0.913497423
960,0.913013312
959,0.912854112
958,0.911990636
957,0.911942209
956,0.911445274
955,0.910536976
954,0.910288874
953,0.9100892
952,0.909375515
951,0.908574861
950,0.908463427
