400	0.93
410	0.94
420	0.95
430	0.96
440	0.96
450	0.97
460	0.97
470	0.97
480	0.97
490	0.98
500	0.98
510	0.98
520	0.98
530	0.98
540	0.98
550	0.98
560	0.98
570	0.98
580	0.98
590	0.98
600	0.98
610	0.98
620	0.98
630	0.98
640	0.98
650	0.98
660	0.98
670	0.98
680	0.98
690	0.98
700	0.98
710	0.98
720	0.98
730	0.98
740	0.98
750	0.98
760	0.98
770	0.98
780	0.98
790	0.98
800	0.98
810	0.98
820	0.98
830	0.98
840	0.98
850	0.98
860	0.98
870	0.98
880	0.98
890	0.98
900	0.97
910	0.97
920	0.97
930	0.97
940	0.97
950	0.97
960	0.97
970	0.97
980	0.97
990	0.97
1000	0.97
