#Wavelength (nm),"M1, M2,or M3, 
#3 years"
2060,0.934585196
2059,0.933552984
2058,0.934548581
2057,0.934095446
2056,0.933742097
2055,0.934047127
2054,0.934322802
2053,0.934339288
2052,0.934112282
2051,0.934519189
2050,0.93425108
2049,0.934377098
2048,0.934364859
2047,0.933925654
2046,0.934083767
2045,0.934206327
2044,0.934204063
2043,0.934312267
2042,0.933965143
2041,0.934222056
2040,0.933912182
2039,0.933835303
2038,0.933941816
2037,0.934287395
2036,0.933838495
2035,0.934319324
2034,0.934435635
2033,0.933804817
2032,0.934328403
2031,0.933967139
2030,0.934687862
2029,0.933885409
2028,0.933990936
2027,0.93418836
2026,0.933720207
2025,0.93351518
2024,0.934139881
2023,0.933727976
2022,0.933766308
2021,0.9341447
2020,0.934099433
2019,0.933781764
2018,0.93406929
2017,0.933489736
2016,0.933882682
2015,0.934050001
2014,0.933908316
2013,0.933692074
2012,0.933706207
2011,0.933971577
2010,0.933638592
2009,0.934113814
2008,0.933510259
2007,0.934106503
2006,0.933227793
2005,0.934128819
2004,0.933976237
2003,0.933561052
2002,0.933707625
2001,0.934013271
2000,0.93377285
1999,0.933722757
1998,0.933278732
1997,0.933139203
1996,0.933531679
1995,0.933675626
1994,0.933916499
1993,0.934048258
1992,0.933718599
1991,0.933550212
1990,0.933906364
1989,0.933773518
1988,0.933860111
1987,0.933437513
1986,0.933556709
1985,0.933522676
1984,0.932933178
1983,0.933129679
1982,0.933277346
1981,0.933225746
1980,0.933046379
1979,0.933056501
1978,0.933389104
1977,0.933574772
1976,0.933032366
1975,0.932890244
1974,0.933117097
1973,0.933698006
1972,0.933026142
1971,0.932988822
1970,0.933173726
1969,0.932598845
1968,0.933126704
1967,0.932757804
1966,0.933050283
1965,0.932885679
1964,0.93315822
1963,0.933145294
1962,0.933329035
1961,0.933100662
1960,0.933107707
1959,0.932986457
1958,0.932862078
1957,0.9328637
1956,0.932682088
1955,0.933449688
1954,0.932459704
1953,0.932712129
1952,0.932906151
1951,0.932984244
1950,0.932758172
1949,0.932979724
1948,0.932796923
1947,0.932976685
1946,0.93238397
1945,0.932312501
1944,0.932681039
1943,0.93367075
1942,0.93261666
1941,0.932827733
1940,0.933196672
1939,0.932885939
1938,0.932747415
1937,0.932724826
1936,0.932952232
1935,0.933506743
1934,0.932947235
1933,0.932524427
1932,0.932671674
1931,0.932688376
1930,0.932650852
1929,0.933036982
1928,0.932595418
1927,0.932368533
1926,0.932658742
1925,0.93313619
1924,0.932489446
1923,0.932799282
1922,0.932896805
1921,0.933212159
1920,0.932543977
1919,0.932984873
1918,0.933080985
1917,0.932681274
1916,0.932311452
1915,0.932574851
1914,0.932557812
1913,0.93301733
1912,0.93271862
1911,0.932857723
1910,0.932846553
1909,0.932966601
1908,0.932231414
1907,0.931847998
1906,0.932481143
1905,0.932899259
1904,0.932441845
1903,0.932205429
1902,0.932848714
1901,0.932326082
1900,0.932408549
1899,0.932910798
1898,0.932857253
1897,0.932052294
1896,0.931855195
1895,0.931981214
1894,0.932118193
1893,0.931595427
1892,0.932044748
1891,0.932592436
1890,0.932247378
1889,0.93266688
1888,0.932556661
1887,0.931472925
1886,0.932433484
1885,0.932341607
1884,0.932003778
1883,0.932016029
1882,0.932416954
1881,0.932257779
1880,0.931394094
1879,0.932034359
1878,0.931994267
1877,0.931743736
1876,0.932591591
1875,0.932058201
1874,0.931713734
1873,0.932223409
1872,0.932028319
1871,0.932144883
1870,0.932375768
1869,0.932824955
1868,0.932024053
1867,0.932207858
1866,0.932302087
1865,0.9319977
1864,0.931732375
1863,0.932334334
1862,0.932134883
1861,0.932248573
1860,0.931906668
1859,0.931704171
1858,0.932000548
1857,0.931744143
1856,0.9314446
1855,0.931490072
1854,0.931612542
1853,0.931993446
1852,0.932154675
1851,0.931730518
1850,0.931855869
1849,0.931643778
1848,0.931275679
1847,0.93151619
1846,0.932009048
1845,0.931671937
1844,0.931422583
1843,0.931332556
1842,0.931248035
1841,0.931651929
1840,0.931851273
1839,0.93174516
1838,0.931653722
1837,0.931354338
1836,0.931310514
1835,0.931842759
1834,0.931123104
1833,0.931343587
1832,0.931050987
1831,0.931169434
1830,0.93158226
1829,0.931125952
1828,0.930730165
1827,0.930911547
1826,0.931487834
1825,0.931232236
1824,0.930807743
1823,0.931019351
1822,0.931014957
1821,0.931363532
1820,0.930734069
1819,0.930704466
1818,0.931382802
1817,0.93109038
1816,0.931161919
1815,0.930983512
1814,0.931176637
1813,0.931010799
1812,0.930697053
1811,0.931272271
1810,0.930591761
1809,0.93053374
1808,0.930673555
1807,0.930915152
1806,0.930730731
1805,0.93051597
1804,0.930630226
1803,0.930656134
1802,0.930664075
1801,0.930325457
1800,0.930928567
1799,0.930803579
1798,0.930250231
1797,0.930439561
1796,0.930201931
1795,0.92987395
1794,0.930532322
1793,0.92999356
1792,0.9304599
1791,0.930204557
1790,0.930584927
1789,0.930465965
1788,0.930535704
1787,0.930386569
1786,0.930119603
1785,0.930598749
1784,0.93053477
1783,0.930863317
1782,0.929801776
1781,0.92983813
1780,0.930294228
1779,0.930516669
1778,0.930197481
1777,0.929766916
1776,0.930575485
1775,0.930155551
1774,0.930090415
1773,0.930622756
1772,0.930692991
1771,0.930096499
1770,0.930243944
1769,0.930505575
1768,0.930360006
1767,0.930076586
1766,0.930250727
1765,0.930399361
1764,0.930850576
1763,0.930605933
1762,0.930239404
1761,0.930209306
1760,0.930680332
1759,0.930304152
1758,0.929875514
1757,0.930248801
1756,0.930488078
1755,0.930125777
1754,0.930213203
1753,0.930567697
1752,0.930297286
1751,0.930508957
1750,0.930204042
1749,0.930034472
1748,0.930208867
1747,0.930262318
1746,0.930491327
1745,0.930274086
1744,0.930448488
1743,0.930333742
1742,0.93026741
1741,0.930570234
1740,0.930271912
1739,0.930723362
1738,0.930137971
1737,0.930514202
1736,0.930656471
1735,0.930389748
1734,0.930451603
1733,0.930793095
1732,0.930365047
1731,0.930772502
1730,0.931027953
1729,0.930563151
1728,0.930299524
1727,0.931199862
1726,0.930773169
1725,0.930435607
1724,0.930770111
1723,0.930586535
1722,0.931176936
1721,0.930614363
1720,0.930765311
1719,0.930702521
1718,0.930686766
1717,0.931070576
1716,0.930457268
1715,0.930532589
1714,0.930502809
1713,0.93103192
1712,0.930667604
1711,0.930639858
1710,0.930483812
1709,0.93063914
1708,0.931134834
1707,0.931479867
1706,0.930591908
1705,0.930886237
1704,0.931042926
1703,0.930559489
1702,0.931051108
1701,0.931034508
1700,0.930638504
1699,0.931014226
1698,0.930687288
1697,0.930359802
1696,0.931153558
1695,0.931163222
1694,0.930851885
1693,0.930438658
1692,0.93090704
1691,0.930777251
1690,0.930720024
1689,0.930549558
1688,0.930353165
1687,0.930707951
1686,0.930593141
1685,0.930725702
1684,0.931034857
1683,0.930991936
1682,0.930839475
1681,0.930122604
1680,0.930564499
1679,0.930379518
1678,0.930576172
1677,0.930961431
1676,0.930657075
1675,0.930908305
1674,0.931297181
1673,0.930812664
1672,0.930884043
1671,0.931339556
1670,0.930456537
1669,0.930712655
1668,0.930509262
1667,0.930669244
1666,0.930444132
1665,0.930481307
1664,0.931119906
1663,0.9305211
1662,0.930820891
1661,0.930799452
1660,0.930847588
1659,0.931060054
1658,0.930463587
1657,0.930678921
1656,0.930223649
1655,0.930791709
1654,0.930695705
1653,0.930829862
1652,0.930480735
1651,0.931063786
1650,0.930683645
1649,0.931078917
1648,0.930852623
1647,0.930734094
1646,0.930496928
1645,0.930651245
1644,0.93050148
1643,0.93057181
1642,0.930462163
1641,0.93039458
1640,0.930252393
1639,0.930058174
1638,0.930458228
1637,0.930310771
1636,0.929876588
1635,0.930526244
1634,0.930606117
1633,0.930341835
1632,0.93016798
1631,0.930327511
1630,0.930281188
1629,0.930818723
1628,0.930200583
1627,0.930111154
1626,0.930757192
1625,0.930421149
1624,0.930073547
1623,0.929989942
1622,0.930799338
1621,0.930474529
1620,0.930142994
1619,0.930036252
1618,0.930754064
1617,0.930406259
1616,0.929967359
1615,0.930320721
1614,0.930222823
1613,0.929894149
1612,0.929801153
1611,0.93031229
1610,0.930234076
1609,0.929853388
1608,0.930051034
1607,0.92973189
1606,0.930073407
1605,0.930321477
1604,0.930064831
1603,0.930255152
1602,0.929917526
1601,0.929965159
1600,0.930074081
1599,0.929606228
1598,0.929801413
1597,0.929614156
1596,0.930004228
1595,0.930091451
1594,0.929574973
1593,0.92970164
1592,0.929889336
1591,0.929447734
1590,0.929890232
1589,0.92960453
1588,0.929762224
1587,0.930040366
1586,0.929600824
1585,0.929579468
1584,0.929523067
1583,0.929247913
1582,0.930137831
1581,0.929729792
1580,0.929655609
1579,0.929389153
1578,0.929342492
1577,0.929271393
1576,0.929557985
1575,0.92971955
1574,0.929166953
1573,0.929697736
1572,0.929548804
1571,0.929547335
1570,0.929230385
1569,0.929371058
1568,0.929087868
1567,0.929271609
1566,0.929637915
1565,0.929872252
1564,0.929170596
1563,0.929499982
1562,0.929071
1561,0.929140587
1560,0.929019712
1559,0.929940325
1558,0.929007187
1557,0.929987348
1556,0.929360065
1555,0.929544239
1554,0.929076977
1553,0.929240551
1552,0.929510473
1551,0.929138762
1550,0.929669978
1549,0.929114418
1548,0.92912199
1547,0.929374116
1546,0.929502023
1545,0.929136988
1544,0.92900603
1543,0.929047483
1542,0.929181175
1541,0.929289188
1540,0.929576302
1539,0.92884826
1538,0.929076684
1537,0.929032466
1536,0.929286874
1535,0.92936175
1534,0.929290187
1533,0.92931345
1532,0.929236743
1531,0.929003843
1530,0.929518344
1529,0.928792102
1528,0.92919672
1527,0.928769817
1526,0.929256064
1525,0.929280949
1524,0.92905606
1523,0.929377975
1522,0.928905748
1521,0.929155312
1520,0.928831158
1519,0.929232655
1518,0.929145832
1517,0.929263376
1516,0.928883661
1515,0.928932234
1514,0.929051437
1513,0.928762067
1512,0.92943023
1511,0.929459337
1510,0.929214611
1509,0.92887818
1508,0.928919417
1507,0.929131667
1506,0.928785013
1505,0.928893471
1504,0.929536622
1503,0.928945287
1502,0.928814837
1501,0.928388933
1500,0.928566074
1499,0.929652208
1498,0.928732141
1497,0.929326045
1496,0.929176381
1495,0.929013646
1494,0.928756975
1493,0.929177545
1492,0.929002641
1491,0.929093806
1490,0.9291259
1489,0.928982226
1488,0.929531066
1487,0.929276066
1486,0.928852552
1485,0.929735718
1484,0.929137961
1483,0.92892259
1482,0.928964341
1481,0.929033928
1480,0.92940134
1479,0.929459883
1478,0.92958416
1477,0.928995132
1476,0.929063028
1475,0.929013284
1474,0.928669821
1473,0.929137643
1472,0.929238389
1471,0.92851675
1470,0.928873851
1469,0.929160194
1468,0.928496895
1467,0.928819701
1466,0.92878287
1465,0.929439252
1464,0.929457804
1463,0.928717079
1462,0.928946056
1461,0.928919239
1460,0.929482365
1459,0.929046224
1458,0.929102675
1457,0.929184132
1456,0.928810692
1455,0.928684025
1454,0.928927002
1453,0.929669882
1452,0.928511848
1451,0.928523782
1450,0.929053974
1449,0.929130567
1448,0.928915393
1447,0.928413067
1446,0.929298356
1445,0.929049905
1444,0.928101711
1443,0.928649432
1442,0.928928528
1441,0.928671767
1440,0.92870046
1439,0.928660564
1438,0.928940722
1437,0.929037685
1436,0.928599803
1435,0.928852208
1434,0.928507722
1433,0.928357245
1432,0.928728879
1431,0.9288716
1430,0.928651282
1429,0.928319709
1428,0.928978901
1427,0.928509318
1426,0.928816172
1425,0.928233274
1424,0.92839173
1423,0.928358879
1422,0.928792725
1421,0.92823597
1420,0.928409328
1419,0.928407904
1418,0.928095055
1417,0.928049831
1416,0.928063711
1415,0.928125254
1414,0.928206641
1413,0.92815663
1412,0.92832208
1411,0.927620977
1410,0.927886105
1409,0.927607765
1408,0.92778958
1407,0.927918549
1406,0.927696686
1405,0.927633444
1404,0.927859446
1403,0.927977339
1402,0.927083403
1401,0.927125111
1400,0.927955367
1399,0.927540309
1398,0.927583008
1397,0.926792723
1396,0.92753926
1395,0.927061596
1394,0.927029266
1393,0.927374382
1392,0.926966654
1391,0.927451623
1390,0.927044703
1389,0.927181282
1388,0.927556362
1387,0.927678827
1386,0.927372341
1385,0.926992709
1384,0.926700719
1383,0.926851044
1382,0.926835492
1381,0.927401307
1380,0.927775631
1379,0.927086894
1378,0.926394202
1377,0.927010791
1376,0.92642561
1375,0.926849219
1374,0.926517817
1373,0.926293856
1372,0.927126738
1371,0.926259282
1370,0.926719036
1369,0.926642246
1368,0.927091643
1367,0.926636028
1366,0.927112344
1365,0.927387911
1364,0.926674563
1363,0.926455854
1362,0.926983344
1361,0.926421274
1360,0.926873862
1359,0.926995665
1358,0.925962645
1357,0.926143926
1356,0.92610391
1355,0.925979074
1354,0.925754719
1353,0.926741772
1352,0.926069558
1351,0.92625611
1350,0.926827825
1349,0.926675593
1348,0.926548754
1347,0.926612829
1346,0.927157402
1345,0.926828105
1344,0.926750552
1343,0.927068017
1342,0.92686491
1341,0.926506411
1340,0.92678697
1339,0.926548971
1338,0.926598981
1337,0.926584816
1336,0.926776396
1335,0.926845105
1334,0.926687145
1333,0.926378142
1332,0.926404673
1331,0.926464729
1330,0.926334432
1329,0.926501865
1328,0.926800957
1327,0.926271324
1326,0.926363894
1325,0.926262309
1324,0.926293697
1323,0.92668939
1322,0.926137435
1321,0.926070493
1320,0.926038227
1319,0.926057091
1318,0.925571683
1317,0.926019719
1316,0.925877927
1315,0.925243301
1314,0.925539366
1313,0.925899544
1312,0.925510629
1311,0.924969114
1310,0.925422217
1309,0.925119228
1308,0.924987901
1307,0.925050983
1306,0.925170345
1305,0.924902611
1304,0.924745083
1303,0.925415618
1302,0.925194391
1301,0.924559828
1300,0.924969393
1299,0.924899394
1298,0.924415639
1297,0.924886367
1296,0.924500682
1295,0.925055586
1294,0.924483846
1293,0.924493186
1292,0.924577986
1291,0.924376825
1290,0.924680354
1289,0.924481144
1288,0.924112148
1287,0.924133568
1286,0.924211267
1285,0.923525937
1284,0.92355945
1283,0.924022732
1282,0.924034634
1281,0.923663451
1280,0.923945376
1279,0.923725268
1278,0.923702653
1277,0.924254373
1276,0.92370402
1275,0.923213634
1274,0.923175729
1273,0.923970928
1272,0.923461259
1271,0.923234189
1270,0.923187841
1269,0.923747133
1268,0.923413048
1267,0.922925371
1266,0.923251673
1265,0.922418181
1264,0.922705803
1263,0.922706273
1262,0.922906259
1261,0.922738679
1260,0.922536151
1259,0.922511145
1258,0.922359365
1257,0.921968962
1256,0.922875996
1255,0.922491805
1254,0.92277167
1253,0.922074369
1252,0.922380238
1251,0.922202346
1250,0.922391256
1249,0.922312266
1248,0.922199682
1247,0.922872041
1246,0.922193108
1245,0.922305145
1244,0.922211278
1243,0.922366873
1242,0.921974983
1241,0.921897628
1240,0.922229888
1239,0.921968943
1238,0.921716741
1237,0.921767127
1236,0.92224521
1235,0.922329973
1234,0.922197056
1233,0.921860231
1232,0.921320903
1231,0.921651382
1230,0.921266836
1229,0.921914285
1228,0.92131101
1227,0.9217589
1226,0.921577606
1225,0.921534538
1224,0.9216583
1223,0.921515465
1222,0.921475048
1221,0.921077652
1220,0.921669629
1219,0.921064637
1218,0.921268972
1217,0.92105643
1216,0.921862526
1215,0.920994155
1214,0.920980167
1213,0.920945047
1212,0.92107825
1211,0.920870463
1210,0.921286894
1209,0.92133522
1208,0.921180534
1207,0.921313578
1206,0.921591981
1205,0.921041145
1204,0.920720094
1203,0.92087951
1202,0.921334438
1201,0.921008739
1200,0.921057828
1199,0.922669754
1198,0.922480443
1197,0.922553342
1196,0.922260005
1195,0.922710361
1194,0.922294235
1193,0.92235096
1192,0.92230655
1191,0.922060623
1190,0.922248249
1189,0.922404722
1188,0.922170982
1187,0.921824443
1186,0.921688385
1185,0.92189462
1184,0.921665834
1183,0.921379547
1182,0.922196452
1181,0.921579539
1180,0.92133969
1179,0.92135725
1178,0.921217721
1177,0.921158015
1176,0.921444009
1175,0.920941518
1174,0.921330916
1173,0.921312046
1172,0.921217499
1171,0.920766513
1170,0.92101998
1169,0.92147131
1168,0.921205966
1167,0.920616995
1166,0.921111348
1165,0.920928485
1164,0.921117776
1163,0.920996558
1162,0.92038449
1161,0.920321356
1160,0.919912879
1159,0.920306098
1158,0.9202005
1157,0.920077394
1156,0.920376422
1155,0.919490306
1154,0.919879831
1153,0.92003931
1152,0.919534829
1151,0.919694742
1150,0.919586582
1149,0.91948082
1148,0.919602877
1147,0.918774687
1146,0.919236526
1145,0.919494343
1144,0.918875987
1143,0.919270255
1142,0.919277445
1141,0.91898941
1140,0.91932368
1139,0.91878938
1138,0.918891767
1137,0.918208866
1136,0.918817406
1135,0.918507671
1134,0.918251896
1133,0.918341045
1132,0.918121916
1131,0.918156319
1130,0.917489287
1129,0.917842553
1128,0.918196443
1127,0.917917207
1126,0.917877502
1125,0.917655156
1124,0.916648547
1123,0.91773592
1122,0.917557621
1121,0.917104429
1120,0.91689333
1119,0.917113304
1118,0.916989352
1117,0.916410472
1116,0.916951052
1115,0.916820412
1114,0.916239808
1113,0.916642768
1112,0.91663084
1111,0.916544456
1110,0.915907612
1109,0.916092428
1108,0.915799802
1107,0.915865281
1106,0.915375023
1105,0.915681477
1104,0.915940069
1103,0.915172647
1102,0.915747954
1101,0.915161438
1100,0.914970837
1099,0.91490195
1098,0.914702752
1097,0.914680818
1096,0.915210463
1095,0.914590111
1094,0.914567254
1093,0.914404666
1092,0.91395291
1091,0.913935782
1090,0.913726877
1089,0.913815816
1088,0.913645058
1087,0.913751246
1086,0.913407084
1085,0.91339866
1084,0.913157717
1083,0.91309234
1082,0.912896309
1081,0.912687868
1080,0.912390963
1079,0.912322534
1078,0.912737001
1077,0.91224376
1076,0.91163983
1075,0.911492488
1074,0.911732769
1073,0.911779245
1072,0.911500295
1071,0.911086966
1070,0.911114566
1069,0.910794093
1068,0.910871696
1067,0.910620486
1066,0.91051431
1065,0.910437393
1064,0.909752655
1063,0.909994939
1062,0.909458256
1061,0.909541861
1060,0.90965704
1059,0.909172586
1058,0.908509356
1057,0.909318956
1056,0.908707555
1055,0.908616982
1054,0.908275979
1053,0.90785806
1052,0.907967676
1051,0.907685483
1050,0.907944571
1049,0.907983335
1048,0.907605406
1047,0.907063828
1046,0.907596258
1045,0.906574574
1044,0.906410281
1043,0.906785418
1042,0.906806335
1041,0.905744616
1040,0.905862605
1039,0.906137238
1038,0.905793546
1037,0.905447343
1036,0.905100136
1035,0.905097523
1034,0.904646899
1033,0.904906324
1032,0.904464531
1031,0.904567445
1030,0.904352729
1029,0.903987471
1028,0.903716056
1027,0.903896898
1026,0.90329923
1025,0.903548209
1024,0.903401814
1023,0.903210195
1022,0.903199081
1021,0.90298151
1020,0.902350267
1019,0.902801832
1018,0.902117399
1017,0.901886622
1016,0.901893412
1015,0.901735109
1014,0.901344541
1013,0.901166655
1012,0.901602427
1011,0.900392996
1010,0.900481911
1009,0.900526212
1008,0.900451412
1007,0.900030766
1006,0.899958108
1005,0.899598045
1004,0.89929142
1003,0.899158268
1002,0.898758837
1001,0.898516115
1000,0.898718713
999,0.897742062
998,0.89856177
997,0.897469699
996,0.897110271
995,0.897487081
994,0.896402556
993,0.896153755
992,0.895447318
991,0.895855776
990,0.895190493
989,0.894902636
988,0.894965687
987,0.894084174
986,0.894032224
985,0.893428491
984,0.893312308
983,0.89253973
982,0.892334569
981,0.892256953
980,0.89166488
979,0.891383127
978,0.890534763
977,0.890301749
976,0.889804014
975,0.890150592
974,0.889559816
973,0.889200617
972,0.888326003
971,0.888000412
970,0.887836685
969,0.887159748
968,0.886958167
967,0.886282272
966,0.886124802
965,0.886195526
964,0.885009689
963,0.884476986
962,0.884105657
961,0.883497423
960,0.883013312
959,0.882854112
958,0.881990636
957,0.881942209
956,0.881445274
955,0.880536976
954,0.880288874
953,0.8800892
952,0.879375515
951,0.878574861
950,0.878463427
949,0.877651412
948,0.877666556
947,0.876968218
946,0.876926314
