#Wavelength (nm),"M1, M2, or M3
#2 years"
2192,0.950742486
2191,0.950921904
2190,0.950209471
2189,0.950948003
2188,0.950874157
2187,0.950582282
2186,0.950477632
2185,0.950658811
2184,0.950952581
2183,0.950792363
2182,0.950392386
2181,0.950811755
2180,0.950762552
2179,0.950716178
2178,0.950729987
2177,0.950210355
2176,0.951009534
2175,0.951187038
2174,0.950508035
2173,0.95025987
2172,0.950973085
2171,0.950097281
2170,0.950657164
2169,0.951083069
2168,0.950787938
2167,0.951064618
2166,0.950283381
2165,0.950498568
2164,0.950511837
2163,0.950226491
2162,0.950699221
2161,0.95051033
2160,0.9508708
2159,0.950076097
2158,0.94996102
2157,0.950930061
2156,0.950742938
2155,0.950561752
2154,0.94994168
2153,0.950391318
2152,0.950255191
2151,0.950036888
2150,0.950587495
2149,0.950371888
2148,0.950165183
2147,0.950304228
2146,0.950472387
2145,0.950314255
2144,0.950318871
2143,0.95011886
2142,0.949747588
2141,0.950600033
2140,0.950059675
2139,0.950059872
2138,0.949888846
2137,0.9500962
2136,0.950571251
2135,0.949748141
2134,0.950218881
2133,0.950101528
2132,0.950046902
2131,0.950116342
2130,0.950591278
2129,0.950051238
2128,0.950305939
2127,0.949866549
2126,0.95002135
2125,0.949730485
2124,0.949989821
2123,0.949585876
2122,0.950441863
2121,0.949490058
2120,0.950126349
2119,0.949737625
2118,0.949954777
2117,0.949661783
2116,0.949479402
2115,0.949967117
2114,0.950091419
2113,0.949684957
2112,0.949634291
2111,0.949988117
2110,0.950021782
2109,0.950094001
2108,0.949793205
2107,0.950448443
2106,0.949941025
2105,0.949280097
2104,0.949491151
2103,0.950202306
2102,0.950136941
2101,0.949506524
2100,0.949671777
2099,0.949694805
2098,0.949510911
2097,0.949409637
2096,0.949668121
2095,0.949517523
2094,0.949761779
2093,0.949191017
2092,0.950357304
2091,0.949725545
2090,0.949177659
2089,0.949649309
2088,0.949308345
2087,0.94968441
2086,0.948996213
2085,0.949378459
2084,0.949253222
2083,0.949928926
2082,0.949542185
2081,0.949454238
2080,0.949784641
2079,0.949934559
2078,0.948931986
2077,0.949275411
2076,0.94919316
2075,0.949282112
2074,0.949300296
2073,0.948993867
2072,0.949441662
2071,0.949028034
2070,0.948559227
2069,0.949465726
2068,0.949332002
2067,0.949167385
2066,0.948838234
2065,0.949203065
2064,0.949382769
2063,0.948942719
2062,0.94873614
2061,0.949705455
2060,0.949585196
2059,0.948552984
2058,0.949548581
2057,0.949095446
2056,0.948742097
2055,0.949047127
2054,0.949322802
2053,0.949339288
2052,0.949112282
2051,0.949519189
2050,0.94925108
2049,0.949377098
