9.550000000000125056e+02,7.903618394001658487e+01
9.551000000000125283e+02,7.903618394001658487e+01
9.552000000000125510e+02,7.903618394001658487e+01
9.553000000000125738e+02,7.903618394001658487e+01
9.554000000000125965e+02,7.903618394001658487e+01
9.555000000000126192e+02,7.903618394001657066e+01
9.556000000000126420e+02,7.903618394001658487e+01
9.557000000000126647e+02,7.903618394001658487e+01
9.558000000000126875e+02,7.903618394001658487e+01
9.559000000000127102e+02,7.903618394001658487e+01
9.560000000000127329e+02,7.903618394001554748e+01
9.561000000000127557e+02,7.902823316458260194e+01
9.562000000000127784e+02,7.902079170170674161e+01
9.563000000000128011e+02,7.901381213171097784e+01
9.564000000000128239e+02,7.900725274441849422e+01
9.565000000000128466e+02,7.900107670495722800e+01
9.566000000000128694e+02,7.899525136166948869e+01
9.567000000000128921e+02,7.898974766866443531e+01
9.568000000000129148e+02,7.898453970145328640e+01
9.569000000000129376e+02,7.897960424861953754e+01
9.570000000000129603e+02,7.897492046595409931e+01
9.571000000000129830e+02,7.896737725510681116e+01
9.572000000000130058e+02,7.896021664546813668e+01
9.573000000000130285e+02,7.895341024797578200e+01
9.574000000000130512e+02,7.894693241440701570e+01
9.575000000000130740e+02,7.894075991440405460e+01
9.576000000000130967e+02,7.893487165711820808e+01
9.577000000000131195e+02,7.892924845044333892e+01
9.578000000000131422e+02,7.892387279204682216e+01
9.579000000000131649e+02,7.891872868740421154e+01
9.580000000000131877e+02,7.891380149085199491e+01
9.581000000000132104e+02,7.890655581438541333e+01
9.582000000000132331e+02,7.889959563750983307e+01
9.583000000000132559e+02,7.889290441204293813e+01
9.584000000000132786e+02,7.888646684445355106e+01
9.585000000000133014e+02,7.888026877916702517e+01
9.586000000000133241e+02,7.887429709465713756e+01
9.587000000000133468e+02,7.886853961071953734e+01
9.588000000000133696e+02,7.886298500554730140e+01
9.589000000000133923e+02,7.885762274142095407e+01
9.590000000000134150e+02,7.885244299798641521e+01
9.591000000000134378e+02,7.884550299894532088e+01
9.592000000000134605e+02,7.883876688324303927e+01
9.593000000000134833e+02,7.883222579641368100e+01
9.594000000000135060e+02,7.882587138939669558e+01
9.595000000000135287e+02,7.881969578298401302e+01
9.596000000000135515e+02,7.881369153522683746e+01
9.597000000000135742e+02,7.880785161151841578e+01
9.598000000000135969e+02,7.880216935709981385e+01
9.599000000000136197e+02,7.879663847176325930e+01
9.600000000000136424e+02,7.879125298655011989e+01
9.601000000000136652e+02,7.878456437414577351e+01
9.602000000000136879e+02,7.877801076822743198e+01
9.603000000000137106e+02,7.877158812207240146e+01
9.604000000000137334e+02,7.876529254908811595e+01
9.605000000000137561e+02,7.875912031496936550e+01
9.606000000000137788e+02,7.875306783031177815e+01
9.607000000000138016e+02,7.874713164365124385e+01
9.608000000000138243e+02,7.874130843490063114e+01
9.609000000000138471e+02,7.873559500915777676e+01
9.610000000000138698e+02,7.872998829086029104e+01
9.611000000000138925e+02,7.872354517288324871e+01
9.612000000000139153e+02,7.871717608024788149e+01
9.613000000000139380e+02,7.871087974451884861e+01
9.614000000000139607e+02,7.870465492607597469e+01
9.615000000000139835e+02,7.869850041330066404e+01
9.616000000000140062e+02,7.869241502178965675e+01
9.617000000000140290e+02,7.868639759359520269e+01
9.618000000000140517e+02,7.868044699649041718e+01
