wavelength (nm), strehl
9.901999999999907232e+02,3.470513809676923911e-01
9.902499999999906777e+02,3.470829874177389085e-01
9.902999999999906322e+02,3.471145922556088670e-01
9.903499999999905867e+02,3.471461954812143369e-01
9.903999999999905413e+02,3.471777970944678882e-01
9.904499999999904958e+02,3.472093970952820907e-01
9.904999999999904503e+02,3.472409954835692925e-01
9.905499999999904048e+02,3.472725922592421743e-01
9.905999999999903594e+02,3.473041874222135839e-01
9.906499999999903139e+02,3.473357809723961465e-01
9.906999999999902684e+02,3.473673729097029317e-01
9.907499999999902229e+02,3.473989632340467315e-01
9.907999999999901775e+02,3.474305519453405600e-01
9.908499999999901320e+02,3.474621390434974866e-01
9.908999999999900865e+02,3.474937245284308585e-01
9.909499999999900410e+02,3.475253084000539117e-01
9.909999999999899956e+02,3.475568906582798268e-01
9.910499999999899501e+02,3.475884713030221729e-01
9.910999999999899046e+02,3.476200503341942416e-01
9.911499999999898591e+02,3.476516277517097131e-01
9.911999999999898137e+02,3.476832035554822675e-01
9.912499999999897682e+02,3.477147777454255295e-01
9.912999999999897227e+02,3.477463503214532903e-01
9.913499999999896772e+02,3.477779212834795630e-01
9.913999999999896318e+02,3.478094906314183055e-01
9.914499999999895863e+02,3.478410583651833088e-01
9.914999999999895408e+02,3.478726244846886417e-01
9.915499999999894953e+02,3.479041889898487061e-01
9.915999999999894499e+02,3.479357518805777372e-01
9.916499999999894044e+02,3.479673131567898592e-01
9.916999999999893589e+02,3.479988728183998070e-01
9.917499999999893134e+02,3.480304308653219270e-01
9.917999999999892680e+02,3.480619872974705098e-01
9.918499999999892225e+02,3.480935421147604569e-01
9.918999999999891770e+02,3.481250953171066143e-01
9.919499999999891315e+02,3.481566469044233836e-01
9.919999999999890861e+02,3.481881968766257773e-01
9.920499999999890406e+02,3.482197452336289190e-01
9.920999999999889951e+02,3.482512919753477654e-01
9.921499999999889496e+02,3.482828371016971070e-01
9.921999999999889042e+02,3.483143806125926778e-01
9.922499999999888587e+02,3.483459225079491572e-01
9.922999999999888132e+02,3.483774627876821683e-01
9.923499999999887677e+02,3.484090014517071121e-01
9.923999999999887223e+02,3.484405384999393340e-01
9.924499999999886768e+02,3.484720739322944016e-01
9.924999999999886313e+02,3.485036077486878270e-01
9.925499999999885858e+02,3.485351399490356772e-01
9.925999999999885404e+02,3.485666705332537418e-01
9.926499999999884949e+02,3.485981995012573664e-01
9.926999999999884494e+02,3.486297268529630067e-01
9.927499999999884039e+02,3.486612525882861746e-01
9.927999999999883585e+02,3.486927767071434370e-01
9.928499999999883130e+02,3.487242992094506389e-01
9.928999999999882675e+02,3.487558200951239029e-01
9.929499999999882220e+02,3.487873393640801289e-01
9.929999999999881766e+02,3.488188570162351065e-01
9.930499999999881311e+02,3.488503730515056800e-01
9.930999999999880856e+02,3.488818874698080830e-01
9.931499999999880401e+02,3.489134002710591043e-01
9.931999999999879947e+02,3.489449114551754771e-01
9.932499999999879492e+02,3.489764210220738239e-01
9.932999999999879037e+02,3.490079289716709332e-01
9.933499999999878582e+02,3.490394353038839825e-01
9.933999999999878128e+02,3.490709400186298716e-01
9.934499999999877673e+02,3.491024431158256114e-01
9.934999999999877218e+02,3.491339445953882681e-01
9.935499999999876763e+02,3.491654444572353522e-01
9.935999999999876309e+02,3.491969427012837079e-01
9.936499999999875854e+02,3.492284393274509569e-01
9.936999999999875399e+02,3.492599343356549424e-01
9.937499999999874944e+02,3.492914277258124534e-01
9.937999999999874490e+02,3.493229194978413887e-01
9.938499999999874035e+02,3.493544096516595365e-01
9.938999999999873580e+02,3.493858981871847402e-01
9.939499999999873125e+02,3.494173851043342882e-01
9.939999999999872671e+02,3.494488704030266901e-01
9.940499999999872216e+02,3.494803540831796784e-01
9.940999999999871761e+02,3.495118361447112632e-01
9.941499999999871306e+02,3.495433165875396209e-01
9.941999999999870852e+02,3.495747954115828726e-01
9.942499999999870397e+02,3.496062726167593060e-01
9.942999999999869942e+02,3.496377482029873751e-01
9.943499999999869488e+02,3.496692221701854231e-01
9.943999999999869033e+02,3.497006945182722371e-01
9.944499999999868578e+02,3.497321652471657716e-01
9.944999999999868123e+02,3.497636343567852579e-01
9.945499999999867669e+02,3.497951018470491502e-01
9.945999999999867214e+02,3.498265677178762911e-01
9.946499999999866759e+02,3.498580319691854679e-01
9.946999999999866304e+02,3.498894946008958007e-01
9.947499999999865850e+02,3.499209556129264653e-01
9.947999999999865395e+02,3.499524150051960825e-01
9.948499999999864940e+02,3.499838727776241609e-01
9.948999999999864485e+02,3.500153289301298210e-01
9.949499999999864031e+02,3.500467834626325159e-01
9.949999999999863576e+02,3.500782363750514214e-01
9.950499999999863121e+02,3.501096876673064351e-01
9.950999999999862666e+02,3.501411373393166770e-01
9.951499999999862212e+02,3.501725853910018782e-01
9.951999999999861757e+02,3.502040318222819915e-01
9.952499999999861302e+02,3.502354766330763036e-01
9.952999999999860847e+02,3.502669198233051562e-01
9.953499999999860393e+02,3.502983613928882800e-01
9.953999999999859938e+02,3.503298013417456280e-01
9.954499999999859483e+02,3.503612396697973752e-01
9.954999999999859028e+02,3.503926763769634189e-01
9.955499999999858574e+02,3.504241114631642673e-01
9.955999999999858119e+02,3.504555449283201507e-01
9.956499999999857664e+02,3.504869767723514107e-01
9.956999999999857209e+02,3.505184069951783887e-01
9.957499999999856755e+02,3.505498355967215929e-01
9.957999999999856300e+02,3.505812625769020308e-01
9.958499999999855845e+02,3.506126879356398218e-01
9.958999999999855390e+02,3.506441116728560847e-01
9.959499999999854936e+02,3.506755337884713275e-01
9.959999999999854481e+02,3.507069542824066688e-01
9.960499999999854026e+02,3.507383731545830052e-01
9.960999999999853571e+02,3.507697904049215110e-01
9.961499999999853117e+02,3.508012060333431936e-01
9.961999999999852662e+02,3.508326200397688943e-01
9.962499999999852207e+02,3.508640324241205088e-01
9.962999999999851752e+02,3.508954431863189893e-01
9.963499999999851298e+02,3.509268523262857320e-01
9.963999999999850843e+02,3.509582598439425216e-01
9.964499999999850388e+02,3.509896657392105879e-01
9.964999999999849933e+02,3.510210700120117711e-01
9.965499999999849479e+02,3.510524726622676339e-01
9.965999999999849024e+02,3.510838736898998502e-01
9.966499999999848569e+02,3.511152730948305933e-01
9.966999999999848114e+02,3.511466708769816480e-01
9.967499999999847660e+02,3.511780670362750212e-01
9.967999999999847205e+02,3.512094615726326086e-01
9.968499999999846750e+02,3.512408544859769721e-01
9.968999999999846295e+02,3.512722457762300077e-01
9.969499999999845841e+02,3.513036354433139996e-01
9.969999999999845386e+02,3.513350234871513988e-01
9.970499999999844931e+02,3.513664099076649339e-01
9.970999999999844476e+02,3.513977947047765005e-01
9.971499999999844022e+02,3.514291778784091602e-01
9.971999999999843567e+02,3.514605594284856416e-01
9.972499999999843112e+02,3.514919393549282844e-01
9.972999999999842657e+02,3.515233176576600949e-01
9.973499999999842203e+02,3.515546943366041899e-01
9.973999999999841748e+02,3.515860693916833535e-01
9.974499999999841293e+02,3.516174428228203697e-01
9.974999999999840838e+02,3.516488146299387441e-01
9.975499999999840384e+02,3.516801848129613717e-01
9.975999999999839929e+02,3.517115533718117582e-01
9.976499999999839474e+02,3.517429203064127985e-01
9.976999999999839019e+02,3.517742856166883314e-01
9.977499999999838565e+02,3.518056493025618625e-01
9.977999999999838110e+02,3.518370113639566199e-01
9.978499999999837655e+02,3.518683718007963868e-01
9.978999999999837200e+02,3.518997306130048353e-01
9.979499999999836746e+02,3.519310878005058041e-01
9.979999999999836291e+02,3.519624433632230209e-01
9.980499999999835836e+02,3.519937973010803245e-01
9.980999999999835381e+02,3.520251496140020531e-01
9.981499999999834927e+02,3.520565003019118788e-01
9.981999999999834472e+02,3.520878493647340846e-01
9.982499999999834017e+02,3.521191968023931196e-01
9.982999999999833562e+02,3.521505426148128226e-01
9.983499999999833108e+02,3.521818868019176429e-01
9.983999999999832653e+02,3.522132293636323630e-01
9.984499999999832198e+02,3.522445702998812100e-01
9.984999999999831743e+02,3.522759096105886889e-01
9.985499999999831289e+02,3.523072472956794154e-01
9.985999999999830834e+02,3.523385833550784496e-01
9.986499999999830379e+02,3.523699177887104628e-01
9.986999999999829924e+02,3.524012505964999598e-01
9.987499999999829470e+02,3.524325817783723336e-01
9.987999999999829015e+02,3.524639113342523111e-01
9.988499999999828560e+02,3.524952392640650634e-01
9.988999999999828106e+02,3.525265655677357057e-01
9.989499999999827651e+02,3.525578902451895758e-01
9.989999999999827196e+02,3.525892132963518999e-01
9.990499999999826741e+02,3.526205347211481267e-01
9.990999999999826287e+02,3.526518545195033716e-01
9.991499999999825832e+02,3.526831726913435827e-01
9.991999999999825377e+02,3.527144892365942086e-01
9.992499999999824922e+02,3.527458041551808643e-01
9.992999999999824468e+02,3.527771174470292759e-01
9.993499999999824013e+02,3.528084291120653915e-01
9.993999999999823558e+02,3.528397391502149927e-01
9.994499999999823103e+02,3.528710475614038611e-01
9.994999999999822649e+02,3.529023543455582224e-01
9.995499999999822194e+02,3.529336595026041357e-01
9.995999999999821739e+02,3.529649630324678822e-01
9.996499999999821284e+02,3.529962649350755211e-01
9.996999999999820830e+02,3.530275652103533335e-01
9.997499999999820375e+02,3.530588638582279892e-01
9.997999999999819920e+02,3.530901608786256585e-01
9.998499999999819465e+02,3.531214562714730110e-01
9.998999999999819011e+02,3.531527500366967720e-01
9.999499999999818556e+02,3.531840421742234448e-01
9.999999999999818101e+02,3.532153326839798102e-01
1.000049999999981765e+03,3.532466215658926489e-01
1.000099999999981719e+03,3.532779088198889639e-01
1.000149999999981674e+03,3.533091944458955913e-01
1.000199999999981628e+03,3.533404784438397561e-01
1.000249999999981583e+03,3.533717608136482946e-01
1.000299999999981537e+03,3.534030415552485427e-01
1.000349999999981492e+03,3.534343206685678918e-01
1.000399999999981446e+03,3.534655981535334002e-01
1.000449999999981401e+03,3.534968740100726259e-01
1.000499999999981355e+03,3.535281482381131268e-01
1.000549999999981310e+03,3.535594208375822944e-01
1.000599999999981264e+03,3.535906918084076311e-01
1.000649999999981219e+03,3.536219611505171390e-01
1.000699999999981173e+03,3.536532288638383204e-01
1.000749999999981128e+03,3.536844949482991773e-01
1.000799999999981083e+03,3.537157594038275454e-01
1.000849999999981037e+03,3.537470222303512601e-01
1.000899999999980992e+03,3.537782834277983790e-01
1.000949999999980946e+03,3.538095429960972371e-01
1.000999999999980901e+03,3.538408009351760586e-01
1.001049999999980855e+03,3.538720572449627899e-01
1.001099999999980810e+03,3.539033119253860438e-01
1.001149999999980764e+03,3.539345649763741553e-01
1.001199999999980719e+03,3.539658163978554040e-01
1.001249999999980673e+03,3.539970661897586246e-01
1.001299999999980628e+03,3.540283143520120412e-01
1.001349999999980582e+03,3.540595608845448772e-01
1.001399999999980537e+03,3.540908057872854120e-01
1.001449999999980491e+03,3.541220490601625914e-01
1.001499999999980446e+03,3.541532907031058053e-01
1.001549999999980400e+03,3.541845307160432221e-01
1.001599999999980355e+03,3.542157690989043983e-01
1.001649999999980309e+03,3.542470058516184461e-01
1.001699999999980264e+03,3.542782409741145333e-01
1.001749999999980218e+03,3.543094744663219386e-01
1.001799999999980173e+03,3.543407063281695524e-01
1.001849999999980128e+03,3.543719365595872639e-01
1.001899999999980082e+03,3.544031651605044630e-01
1.001949999999980037e+03,3.544343921308505951e-01
1.001999999999979991e+03,3.544656174705554941e-01
1.002049999999979946e+03,3.544968411795483276e-01
1.002099999999979900e+03,3.545280632577595958e-01
1.002149999999979855e+03,3.545592837051185775e-01
1.002199999999979809e+03,3.545905025215551620e-01
1.002249999999979764e+03,3.546217197069997384e-01
1.002299999999979718e+03,3.546529352613819741e-01
1.002349999999979673e+03,3.546841491846322580e-01
1.002399999999979627e+03,3.547153614766805352e-01
1.002449999999979582e+03,3.547465721374571945e-01
1.002499999999979536e+03,3.547777811668925141e-01
1.002549999999979491e+03,3.548089885649169384e-01
1.002599999999979445e+03,3.548401943314609674e-01
1.002649999999979400e+03,3.548713984664548793e-01
1.002699999999979354e+03,3.549026009698298401e-01
1.002749999999979309e+03,3.549338018415157947e-01
1.002799999999979264e+03,3.549650010814439094e-01
1.002849999999979218e+03,3.549961986895452393e-01
1.002899999999979173e+03,3.550273946657502289e-01
1.002949999999979127e+03,3.550585890099902664e-01
1.002999999999979082e+03,3.550897817221957964e-01
1.003049999999979036e+03,3.551209728022984846e-01
1.003099999999978991e+03,3.551521622502293307e-01
1.003149999999978945e+03,3.551833500659194454e-01
1.003199999999978900e+03,3.552145362493004943e-01
1.003249999999978854e+03,3.552457208003033662e-01
1.003299999999978809e+03,3.552769037188598378e-01
1.003349999999978763e+03,3.553080850049014083e-01
1.003399999999978718e+03,3.553392646583597991e-01
1.003449999999978672e+03,3.553704426791662874e-01
1.003499999999978627e+03,3.554016190672530384e-01
1.003549999999978581e+03,3.554327938225514960e-01
1.003599999999978536e+03,3.554639669449937700e-01
1.003649999999978490e+03,3.554951384345120258e-01
1.003699999999978445e+03,3.555263082910379291e-01
1.003749999999978400e+03,3.555574765145034233e-01
1.003799999999978354e+03,3.555886431048412288e-01
1.003849999999978309e+03,3.556198080619831225e-01
1.003899999999978263e+03,3.556509713858616029e-01
1.003949999999978218e+03,3.556821330764090017e-01
1.003999999999978172e+03,3.557132931335576509e-01
1.004049999999978127e+03,3.557444515572401600e-01
1.004099999999978081e+03,3.557756083473893605e-01
1.004149999999978036e+03,3.558067635039375842e-01
1.004199999999977990e+03,3.558379170268176073e-01
1.004249999999977945e+03,3.558690689159622611e-01
1.004299999999977899e+03,3.559002191713043217e-01
1.004349999999977854e+03,3.559313677927768982e-01
1.004399999999977808e+03,3.559625147803129330e-01
1.004449999999977763e+03,3.559936601338453688e-01
1.004499999999977717e+03,3.560248038533075365e-01
1.004549999999977672e+03,3.560559459386326564e-01
1.004599999999977626e+03,3.560870863897538374e-01
1.004649999999977581e+03,3.561182252066044662e-01
1.004699999999977535e+03,3.561493623891181515e-01
1.004749999999977490e+03,3.561804979372281688e-01
1.004799999999977445e+03,3.562116318508680157e-01
1.004849999999977399e+03,3.562427641299717451e-01
1.004899999999977354e+03,3.562738947744727436e-01
1.004949999999977308e+03,3.563050237843047863e-01
1.004999999999977263e+03,3.563361511594018149e-01
1.005049999999977217e+03,3.563672768996974938e-01
1.005099999999977172e+03,3.563984010051261531e-01
1.005149999999977126e+03,3.564295234756216235e-01
1.005199999999977081e+03,3.564606443111180134e-01
1.005249999999977035e+03,3.564917635115498751e-01
1.005299999999976990e+03,3.565228810768509282e-01
1.005349999999976944e+03,3.565539970069558917e-01
1.005399999999976899e+03,3.565851113017989849e-01
1.005449999999976853e+03,3.566162239613146490e-01
1.005499999999976808e+03,3.566473349854375474e-01
1.005549999999976762e+03,3.566784443741022326e-01
1.005599999999976717e+03,3.567095521272433123e-01
1.005649999999976671e+03,3.567406582447957275e-01
1.005699999999976626e+03,3.567717627266940861e-01
1.005749999999976581e+03,3.568028655728735510e-01
1.005799999999976535e+03,3.568339667832685080e-01
1.005849999999976490e+03,3.568650663578146753e-01
1.005899999999976444e+03,3.568961642964467162e-01
1.005949999999976399e+03,3.569272605990997382e-01
1.005999999999976353e+03,3.569583552657092373e-01
1.006049999999976308e+03,3.569894482962103766e-01
1.006099999999976262e+03,3.570205396905384854e-01
1.006149999999976217e+03,3.570516294486292264e-01
1.006199999999976171e+03,3.570827175704178735e-01
1.006249999999976126e+03,3.571138040558401450e-01
1.006299999999976080e+03,3.571448889048314812e-01
1.006349999999976035e+03,3.571759721173276003e-01
1.006399999999975989e+03,3.572070536932646645e-01
1.006449999999975944e+03,3.572381336325781143e-01
1.006499999999975898e+03,3.572692119352041673e-01
1.006549999999975853e+03,3.573002886010787083e-01
1.006599999999975807e+03,3.573313636301376772e-01
1.006649999999975762e+03,3.573624370223173474e-01
1.006699999999975716e+03,3.573935087775536035e-01
1.006749999999975671e+03,3.574245788957832182e-01
1.006799999999975626e+03,3.574556473769421316e-01
1.006849999999975580e+03,3.574867142209671167e-01
1.006899999999975535e+03,3.575177794277941135e-01
1.006949999999975489e+03,3.575488429973601168e-01
1.006999999999975444e+03,3.575799049296015664e-01
1.007049999999975398e+03,3.576109652244550685e-01
1.007099999999975353e+03,3.576420238818576736e-01
1.007149999999975307e+03,3.576730809017455992e-01
1.007199999999975262e+03,3.577041362840563954e-01
1.007249999999975216e+03,3.577351900287267794e-01
1.007299999999975171e+03,3.577662421356934686e-01
1.007349999999975125e+03,3.577972926048939573e-01
1.007399999999975080e+03,3.578283414362651293e-01
1.007449999999975034e+03,3.578593886297444793e-01
1.007499999999974989e+03,3.578904341852689464e-01
1.007549999999974943e+03,3.579214781027763026e-01
1.007599999999974898e+03,3.579525203822035428e-01
1.007649999999974852e+03,3.579835610234885501e-01
1.007699999999974807e+03,3.580146000265687078e-01
1.007749999999974762e+03,3.580456373913815105e-01
1.007799999999974716e+03,3.580766731178651185e-01
1.007849999999974671e+03,3.581077072059567490e-01
1.007899999999974625e+03,3.581387396555946734e-01
1.007949999999974580e+03,3.581697704667166082e-01
1.007999999999974534e+03,3.582007996392603255e-01
1.008049999999974489e+03,3.582318271731643744e-01
1.008099999999974443e+03,3.582628530683665269e-01
1.008149999999974398e+03,3.582938773248049436e-01
1.008199999999974352e+03,3.583248999424181735e-01
1.008249999999974307e+03,3.583559209211442664e-01
1.008299999999974261e+03,3.583869402609214383e-01
1.008349999999974216e+03,3.584179579616885714e-01
1.008399999999974170e+03,3.584489740233838817e-01
1.008449999999974125e+03,3.584799884459461405e-01
1.008499999999974079e+03,3.585110012293138970e-01
1.008549999999974034e+03,3.585420123734259223e-01
1.008599999999973988e+03,3.585730218782210432e-01
1.008649999999973943e+03,3.586040297436378088e-01
1.008699999999973898e+03,3.586350359696157120e-01
1.008749999999973852e+03,3.586660405560933573e-01
1.008799999999973807e+03,3.586970435030099047e-01
1.008849999999973761e+03,3.587280448103044583e-01
1.008899999999973716e+03,3.587590444779161780e-01
1.008949999999973670e+03,3.587900425057845566e-01
1.008999999999973625e+03,3.588210388938485873e-01
