wavelength (nm), strehl
9.800000000000000000e+02,1.929260403298909965e-01
9.800499999999999545e+02,1.929543901490066160e-01
9.800999999999999091e+02,1.929827400122473280e-01
9.801499999999998636e+02,1.930110899192276908e-01
9.801999999999998181e+02,1.930394398695617630e-01
9.802499999999997726e+02,1.930677898628642697e-01
9.802999999999997272e+02,1.930961398987497968e-01
9.803499999999996817e+02,1.931244899768329304e-01
9.803999999999996362e+02,1.931528400967284509e-01
9.804499999999995907e+02,1.931811902580513329e-01
9.804999999999995453e+02,1.932095404604166067e-01
9.805499999999994998e+02,1.932378907034391080e-01
9.805999999999994543e+02,1.932662409867342557e-01
9.806499999999994088e+02,1.932945913099172186e-01
9.806999999999993634e+02,1.933229416726033878e-01
9.807499999999993179e+02,1.933512920744081542e-01
9.807999999999992724e+02,1.933796425149471310e-01
9.808499999999992269e+02,1.934079929938358755e-01
9.808999999999991815e+02,1.934363435106901397e-01
9.809499999999991360e+02,1.934646940651259805e-01
9.809999999999990905e+02,1.934930446567590112e-01
9.810499999999990450e+02,1.935213952852055941e-01
9.810999999999989996e+02,1.935497459500815365e-01
9.811499999999989541e+02,1.935780966510032008e-01
9.811999999999989086e+02,1.936064473875870606e-01
9.812499999999988631e+02,1.936347981594493117e-01
9.812999999999988177e+02,1.936631489662065664e-01
9.813499999999987722e+02,1.936914998074753536e-01
9.813999999999987267e+02,1.937198506828723410e-01
9.814499999999986812e+02,1.937482015920145573e-01
9.814999999999986358e+02,1.937765525345187256e-01
9.815499999999985903e+02,1.938049035100018469e-01
9.815999999999985448e+02,1.938332545180808664e-01
9.816499999999984993e+02,1.938616055583733122e-01
9.816999999999984539e+02,1.938899566304961575e-01
9.817499999999984084e+02,1.939183077340669026e-01
9.817999999999983629e+02,1.939466588687028814e-01
9.818499999999983174e+02,1.939750100340218442e-01
9.818999999999982720e+02,1.940033612296412913e-01
9.819499999999982265e+02,1.940317124551791672e-01
9.819999999999981810e+02,1.940600637102531945e-01
9.820499999999981355e+02,1.940884149944811510e-01
9.820999999999980901e+02,1.941167663074813421e-01
9.821499999999980446e+02,1.941451176488719066e-01
9.821999999999979991e+02,1.941734690182708722e-01
9.822499999999979536e+02,1.942018204152967387e-01
9.822999999999979082e+02,1.942301718395678944e-01
9.823499999999978627e+02,1.942585232907025894e-01
9.823999999999978172e+02,1.942868747683198505e-01
9.824499999999977717e+02,1.943152262720382328e-01
9.824999999999977263e+02,1.943435778014764026e-01
9.825499999999976808e+02,1.943719293562535255e-01
9.825999999999976353e+02,1.944002809359882677e-01
9.826499999999975898e+02,1.944286325402999061e-01
9.826999999999975444e+02,1.944569841688076894e-01
9.827499999999974989e+02,1.944853358211308114e-01
9.827999999999974534e+02,1.945136874968886598e-01
9.828499999999974079e+02,1.945420391957006501e-01
9.828999999999973625e+02,1.945703909171863921e-01
9.829499999999973170e+02,1.945987426609655790e-01
9.829999999999972715e+02,1.946270944266579039e-01
9.830499999999972260e+02,1.946554462138833097e-01
9.830999999999971806e+02,1.946837980222617115e-01
9.831499999999971351e+02,1.947121498514131355e-01
9.831999999999970896e+02,1.947405017009575801e-01
9.832499999999970441e+02,1.947688535705155988e-01
9.832999999999969987e+02,1.947972054597071900e-01
9.833499999999969532e+02,1.948255573681530461e-01
9.833999999999969077e+02,1.948539092954734986e-01
9.834499999999968622e+02,1.948822612412892952e-01
9.834999999999968168e+02,1.949106132052210449e-01
9.835499999999967713e+02,1.949389651868895790e-01
9.835999999999967258e+02,1.949673171859158671e-01
9.836499999999966803e+02,1.949956692019209070e-01
9.836999999999966349e+02,1.950240212345256130e-01
9.837499999999965894e+02,1.950523732833512880e-01
9.837999999999965439e+02,1.950807253480192627e-01
9.838499999999964984e+02,1.951090774281508400e-01
9.838999999999964530e+02,1.951374295233675726e-01
9.839499999999964075e+02,1.951657816332909023e-01
9.839999999999963620e+02,1.951941337575426316e-01
9.840499999999963165e+02,1.952224858957443687e-01
9.840999999999962711e+02,1.952508380475181660e-01
9.841499999999962256e+02,1.952791902124857704e-01
9.841999999999961801e+02,1.953075423902692620e-01
9.842499999999961346e+02,1.953358945804908597e-01
9.842999999999960892e+02,1.953642467827727824e-01
9.843499999999960437e+02,1.953925989967373322e-01
9.843999999999959982e+02,1.954209512220068390e-01
9.844499999999959527e+02,1.954493034582039379e-01
9.844999999999959073e+02,1.954776557049512642e-01
9.845499999999958618e+02,1.955060079618715363e-01
9.845999999999958163e+02,1.955343602285873894e-01
