Preliminary design data,,
1551,,
Wavelength (nm),%R,%T
1153,0.9898201,0.010173
1154,0.9884496,1.15E-02
1155,0.9868667,1.31E-02
1156,0.9850788,1.49E-02
1157,0.9831302,1.69E-02
1158,0.9811206,1.89E-02
1159,0.9792192,2.08E-02
1160,0.9776533,2.23E-02
1161,0.9766604,2.33E-02
1162,0.9764063,2.36E-02
1163,0.9769174,2.31E-02
1164,0.9780717,2.19E-02
1165,0.9796554,2.03E-02
1166,0.9814422,1.85E-02
1167,0.9832503,1.67E-02
1168,0.9849609,0.0150306
1169,0.9865119,1.35E-02
1170,0.9878811,1.21E-02
1171,0.9890697,1.09E-02
1172,0.9900914,9.90E-03
1173,0.990965,9.03E-03
1174,0.9917096,8.28E-03
1175,0.9923437,7.65E-03
1176,0.9928831,7.11E-03
1177,0.9933419,6.65E-03
1178,0.9937316,6.26E-03
1179,0.994062,5.93E-03
1180,0.9943411,5.65E-03
1181,0.9945755,5.41E-03
1182,0.9947706,5.22E-03
1183,0.9949308,5.06E-03
1184,0.9950595,4.93E-03
1185,0.9951595,4.83E-03
1186,0.995233,4.75E-03
1187,0.9952816,4.70E-03
1188,0.9953064,4.68E-03
1189,0.9953081,4.68E-03
1190,0.995287,4.70E-03
1191,0.995243,4.74E-03
1192,0.9951755,4.81E-03
1193,0.9950838,4.90E-03
1194,0.9949664,5.01E-03
1195,0.9948217,5.16E-03
1196,0.9946474,5.33E-03
1197,0.9944407,5.54E-03
1198,0.9941984,5.78E-03
1199,0.9939163,6.06E-03
1200,0.9935899,6.38E-03
1201,0.9932139,6.76E-03
1202,0.9927817,7.19E-03
1203,0.9922859,7.68E-03
1204,0.9917186,8.24E-03
1205,0.9910709,8.89E-03
1206,0.9903336,9.62E-03
1207,0.9894981,1.05E-02
1208,0.9885572,0.0113913
1209,0.9875069,0.0124368
1210,0.9863495,1.36E-02
1211,0.985097,1.48E-02
1212,0.9837758,1.62E-02
1213,0.9824311,1.75E-02
1214,0.9811299,1.88E-02
1215,0.9799595,2.00E-02
1216,0.9790189,2.09E-02
1217,0.9784024,2.15E-02
1218,0.9781789,2.17E-02
1219,0.9783736,0.0215307
1220,0.9789609,2.09E-02
1221,0.979872,2.00E-02
1222,0.9810132,1.89E-02
