Preliminary design data,,
1901,,
Wavelength (nm),%R,%T
822,0.6841921,0.3154974
823,0.7373275,0.2624581
824,0.7895634,0.2102773
825,0.8369505,0.1629292
826,0.8719901,0.1279164
827,0.8950821,0.1048422
828,0.9090754,9.09E-02
829,0.9162933,8.36E-02
830,0.9179641,8.20E-02
831,0.9142246,8.57E-02
832,0.9040006,0.0959481
833,0.8845068,0.1154396
834,0.8502991,0.1496419
835,0.7932575,0.2066737
836,0.7135077,0.2864093
837,0.6601357,0.3397707
838,0.6987882,0.3011221
839,0.7597544,0.2401592
840,0.7726021,0.2272984
841,0.8580666,0.1418623
842,0.9131932,8.68E-02
843,0.9377246,6.22E-02
844,0.950542,4.94E-02
845,0.9578059,4.21E-02
846,0.9618741,3.81E-02
847,0.9637789,3.62E-02
848,0.9639562,0.0359922
849,0.9624889,3.75E-02
850,0.9591635,4.08E-02
851,0.953409,4.65E-02
852,0.944098,5.58E-02
853,0.9291109,7.08E-02
854,0.9044647,9.55E-02
855,0.8629007,0.1370249
856,0.793973,0.2059403
857,0.6998847,0.3000122
858,0.6429595,0.356928
859,0.6796439,0.3202488
860,0.7158425,0.2840436
861,0.6688731,0.330964
862,0.8068184,0.193084
863,0.8860384,0.1138945
864,0.9172391,8.27E-02
865,0.9327123,6.72E-02
866,0.9411435,5.88E-02
867,0.9455435,5.44E-02
868,0.9471377,5.28E-02
869,0.9463835,5.36E-02
870,0.9432794,5.67E-02
871,0.9374256,6.25E-02
872,0.9279398,7.20E-02
873,0.9132318,8.67E-02
874,0.8906224,0.1093277
875,0.8559784,0.1439666
876,0.8046178,0.195319
877,0.738278,0.2616475
878,0.6823816,0.3175335
879,0.6747921,0.3251178
880,0.6834082,0.3164871
881,0.6732748,0.326588
882,0.8115464,0.1883768
883,0.8852413,0.1147076
884,0.9199393,8.00E-02
885,0.9399076,6.01E-02
886,0.9527472,4.72E-02
887,0.9615606,3.84E-02
888,0.9678802,3.21E-02
889,0.9725536,2.74E-02
890,0.9760846,2.39E-02
891,0.9787883,2.12E-02
892,0.980869,1.91E-02
893,0.9824626,1.75E-02
894,0.9836601,1.63E-02
895,0.9845222,1.55E-02
896,0.9850866,1.49E-02
897,0.9853722,1.46E-02
898,0.9853811,1.46E-02
899,0.9850969,1.49E-02
900,0.9844813,1.55E-02
901,0.9834687,1.65E-02
902,0.9819476,1.80E-02
903,0.9797406,2.02E-02
904,0.9765591,2.34E-02
905,0.9719212,2.80E-02
906,0.9649873,3.50E-02
907,0.9542169,4.57E-02
908,0.9366032,0.0633527
909,0.9058937,9.41E-02
910,0.8486256,0.1513014
911,0.7396915,0.2602014
912,0.5789828,0.4208622
913,0.5368097,0.4630269
914,0.6714805,0.3283993
915,0.7884765,0.2114361
916,0.84591,0.1540118
917,0.8376497,0.1622394
918,0.5898395,0.409767
919,0.82792,0.1719477
920,0.9137785,8.62E-02
921,0.9365813,6.34E-02
922,0.9461471,5.38E-02
923,0.9507426,4.92E-02
924,0.9526713,4.73E-02
925,0.9527633,4.72E-02
926,0.9513186,4.86E-02
927,0.9483758,5.16E-02
928,0.9437963,5.62E-02
929,0.9372808,6.27E-02
930,0.9283536,7.16E-02
931,0.9163259,8.36E-02
932,0.9002486,9.97E-02
933,0.8788773,0.1210581
934,0.8506981,0.1492309
935,0.8141196,0.1858017
936,0.7679988,0.2319139
937,0.7126293,0.2872741
938,0.6509546,0.3489396
939,0.5889608,0.4109253
940,0.5338324,0.4660472
941,0.4901155,0.5097592
942,0.4568929,0.5429774
943,0.4280079,0.5718573
944,0.3946929,0.6051649
945,0.3486748,0.6511731
946,0.2861473,0.713689
947,0.2128243,0.787002
948,0.1444042,0.8554173
949,0.0958856,0.9039379
950,7.01E-02,0.9297064
951,6.00E-02,0.9398247
952,5.72E-02,0.9425999
953,5.67E-02,0.9431897
954,5.62E-02,0.9436991
955,5.54E-02,0.9444867
956,5.46E-02,0.9452299
957,5.43E-02,0.9455457
958,5.46E-02,0.9452794
959,5.53E-02,0.9445645
960,5.61E-02,0.943736
961,5.67E-02,0.9431855
962,5.67E-02,0.9432082
963,0.0559397,0.9439263
964,5.46E-02,0.9452603
965,5.29E-02,0.9469599
966,5.12E-02,0.9486738
967,4.98E-02,0.9500393
968,4.91E-02,0.9507681
969,4.92E-02,0.9507107
970,5.00E-02,0.9498852
971,5.14E-02,0.9484653
972,5.31E-02,0.9467356
973,5.48E-02,0.9450261
974,5.62E-02,0.9436456
975,0.0570492,0.9428251
976,5.72E-02,0.9426822
977,5.67E-02,0.9432075
978,5.56E-02,0.9442731
979,5.42E-02,0.9456605
980,5.28E-02,0.9471031
