Preliminary design data,,
2161,,
Wavelength (nm),%R,%T
1144,4.12E-02,0.916642
1145,4.07E-02,0.917201
1146,3.99E-02,0.9180073
1147,3.89E-02,0.9190199
1148,3.78E-02,0.9201817
1149,3.66E-02,0.9214228
1150,3.53E-02,0.9226677
1151,3.42E-02,0.9238418
1152,3.32E-02,0.9248782
1153,3.24E-02,0.925724
1154,3.18E-02,0.9263451
1155,3.15E-02,0.9267285
1156,3.15E-02,0.9268836
1157,3.16E-02,0.9268385
1158,3.20E-02,0.9266374
1159,3.24E-02,0.9263334
1160,3.29E-02,0.9259828
1161,0.0333991,0.9256377
1162,3.38E-02,0.9253402
1163,3.42E-02,0.9251176
1164,3.44E-02,0.9249795
1165,3.46E-02,0.9249172
1166,0.0347194,0.9249052
1167,3.48E-02,0.9249045
1168,3.49E-02,0.9248682
1169,3.51E-02,0.9247478
1170,3.55E-02,0.9244997
1171,3.60E-02,0.9240924
1172,3.67E-02,0.923511
1173,3.75E-02,0.9227618
1174,3.85E-02,0.9218724
1175,3.96E-02,0.9208915
1176,4.08E-02,0.9198849
1177,4.19E-02,0.9189297
1178,4.28E-02,0.9181077
1179,4.36E-02,0.9174977
1180,4.40E-02,0.9171672
1181,4.41E-02,0.9171662
1182,4.38E-02,0.9175214
1183,4.32E-02,0.9182321
1184,4.22E-02,0.9192693
1185,4.09E-02,0.9205753
1186,3.94E-02,0.9220682
1187,3.78E-02,0.9236463
1188,0.036265,0.9251956
1189,3.49E-02,0.9266
1190,0.0337329,0.9277493
1191,0.0329677,0.9285507
1192,3.26E-02,0.9289365
1193,3.28E-02,0.9288712
1194,3.34E-02,0.9283549
1195,3.45E-02,0.9274246
1196,3.60E-02,0.9261506
1197,3.77E-02,0.9246311
1198,3.95E-02,0.9229838
1199,4.14E-02,0.9213362
1200,4.31E-02,0.9198158
1201,0.0444995,0.9186503
1202,4.55E-02,0.9178172
1203,4.61E-02,0.9173808
1204,4.63E-02,0.917379
1205,4.60E-02,0.9178197
1206,4.52E-02,0.918682
1207,4.41E-02,0.9199176
1208,4.26E-02,0.9214539
1209,4.09E-02,0.9231997
1210,3.91E-02,0.9250512
1211,3.73E-02,0.9268996
1212,3.55E-02,0.9286386
1213,3.40E-02,0.930172
1214,0.0328097,0.931421
1215,3.19E-02,0.9323292
1216,3.15E-02,0.9328665
1217,3.14E-02,0.9330305
1218,0.031626,0.9328456
1219,3.22E-02,0.9323596
1220,3.30E-02,0.9316397
1221,3.40E-02,0.9307655
1222,3.51E-02,0.9298228
1223,3.62E-02,0.928897
1224,3.71E-02,0.9280661
1225,3.79E-02,0.9273965
1226,3.85E-02,0.9269384
1227,3.88E-02,0.9267236
1228,3.89E-02,0.9267641
1229,0.0386957,0.9270529
1230,3.83E-02,0.9275657
1231,3.76E-02,0.9282634
1232,3.69E-02,0.9290962
1233,3.60E-02,0.930008
1234,3.51E-02,0.9309408
1235,3.43E-02,0.9318395
1236,3.35E-02,0.9326557
1237,3.29E-02,0.9333518
1238,3.24E-02,0.9339023
1239,3.21E-02,0.9342966
1240,3.19E-02,0.9345372
1241,3.19E-02,0.9346395
1242,3.20E-02,0.9346293
1243,3.21E-02,0.9345397
1244,3.23E-02,0.9344076
1245,3.26E-02,0.9342699
1246,3.28E-02,0.9341602
1247,3.29E-02,0.9341061
1248,3.30E-02,0.9341264
1249,3.29E-02,0.9342296
1250,3.28E-02,0.9344144
1251,3.27E-02,0.9346687
1252,3.24E-02,0.9349723
1253,3.22E-02,0.9352974
1254,0.0319066,0.935613
1255,3.17E-02,0.9358863
1256,3.16E-02,0.9360866
1257,3.15E-02,0.936188
1258,0.0316118,0.9361717
1259,3.18E-02,0.9360282
1260,3.22E-02,0.9357584
1261,3.26E-02,0.9353734
1262,3.32E-02,0.9348941
1263,3.38E-02,0.93435
1264,3.45E-02,0.9337764
1265,3.52E-02,0.9332122
1266,3.58E-02,0.9326971
1267,0.0363154,0.9322683
1268,3.67E-02,0.931958
1269,3.70E-02,0.9317912
1270,3.71E-02,0.9317838
1271,0.0369964,0.9319415
1272,0.036756,0.932259
1273,3.64E-02,0.9327214
1274,3.59E-02,0.933304
1275,3.52E-02,0.9339747
1276,3.46E-02,0.9346965
1277,3.39E-02,0.935429
1278,3.33E-02,0.9361324
1279,3.27E-02,0.9367697
1280,3.22E-02,0.9373093
1281,3.19E-02,0.9377274
1282,3.16E-02,0.9380095
1283,3.16E-02,0.9381512
1284,3.16E-02,0.9381589
1285,3.18E-02,0.9380479
1286,3.21E-02,0.9378422
1287,3.25E-02,0.9375724
1288,3.29E-02,0.9372723
1289,3.33E-02,0.9369773
1290,3.36E-02,0.936721
1291,3.39E-02,0.9365331
1292,3.41E-02,0.9364369
1293,3.41E-02,0.9364477
1294,3.41E-02,0.9365714
1295,3.39E-02,0.9368044
1296,0.0336557,0.9371332
1297,3.33E-02,0.9375359
1298,3.29E-02,0.9379827
1299,3.25E-02,0.9384392
1300,3.22E-02,0.9388676
1301,3.19E-02,0.9392542
1302,3.17E-02,0.9395376
1303,3.16E-02,0.9396865
1304,3.17E-02,0.9396775
1305,3.20E-02,0.9394966
1306,3.24E-02,0.9391413
1307,3.31E-02,0.9386199
1308,3.38E-02,0.9379524
1309,3.47E-02,0.9371687
1310,3.57E-02,0.936307
1311,3.67E-02,0.9354116
1312,3.77E-02,0.9345304
1313,3.87E-02,0.9337115
1314,3.95E-02,0.9330005
1315,4.02E-02,0.9324384
1316,0.0406526,0.9320586
1317,4.09E-02,0.9318849
1318,4.10E-02,0.9319311
1319,4.08E-02,0.9321989
1320,4.04E-02,0.9326791
1321,3.98E-02,0.933351
1322,3.91E-02,0.9341849
1323,3.82E-02,0.935142
1324,3.73E-02,0.9361783
1325,3.63E-02,0.9372455
1326,0.0353003,0.9382951
1327,3.44E-02,0.9392805
1328,3.36E-02,0.9401597
1329,3.29E-02,0.9408981
1330,3.24E-02,0.9414696
1331,3.21E-02,0.9418595
1332,3.20E-02,0.9420638
1333,3.21E-02,0.9420896
1334,0.0323331,0.9419548
1335,3.27E-02,0.941686
1336,3.32E-02,0.9413174
1337,3.37E-02,0.9408876
1338,3.43E-02,0.9404377
1339,3.48E-02,0.9400083
1340,3.53E-02,0.9396372
1341,3.57E-02,0.939357
1342,0.0359147,0.9391935
1343,3.60E-02,0.9391638
1344,3.60E-02,0.9392759
1345,3.59E-02,0.9395285
1346,3.56E-02,0.9399103
1347,3.51E-02,0.940402
1348,0.0346489,0.9409766
1349,3.41E-02,0.9416015
1350,3.35E-02,0.9422406
1351,3.30E-02,0.9428562
1352,3.25E-02,0.9434117
1353,3.21E-02,0.9438739
1354,3.19E-02,0.9442146
1355,3.18E-02,0.9444131
1356,0.0318037,0.944457
1357,3.20E-02,0.9443431
1358,3.24E-02,0.9440779
1359,3.29E-02,0.9436769
1360,3.35E-02,0.9431638
1361,3.42E-02,0.9425691
1362,3.49E-02,0.9419279
1363,3.57E-02,0.9412773
1364,3.64E-02,0.9406575
1365,3.70E-02,0.9401057
1366,3.76E-02,0.9396554
1367,3.80E-02,0.9393348
1368,3.83E-02,0.9391649
1369,3.84E-02,0.9391588
1370,3.83E-02,0.9393208
1371,3.80E-02,0.9396464
1372,3.76E-02,0.9401222
1373,3.71E-02,0.9407271
1374,0.0364897,0.941433
1375,3.58E-02,0.9422064
1376,3.51E-02,0.9430101
1377,3.43E-02,0.9438059
1378,3.37E-02,0.9445553
1379,3.31E-02,0.9452228
1380,3.26E-02,0.9457776
1381,0.032254,0.9461947
1382,3.21E-02,0.9464569
1383,3.21E-02,0.9465556
1384,3.22E-02,0.9464911
1385,3.25E-02,0.9462726
1386,3.30E-02,0.9459174
1387,3.35E-02,0.9454502
1388,3.42E-02,0.9449018
1389,3.49E-02,0.9443059
1390,0.0355777,0.9436997
1391,3.63E-02,0.9431195
1392,0.0368701,0.9426005
1393,3.74E-02,0.9421739
1394,3.78E-02,0.941866
1395,3.80E-02,0.9416963
1396,3.82E-02,0.9416783
1397,3.81E-02,0.9418158
1398,0.0378916,0.9421054
1399,3.75E-02,0.9425359
1400,3.71E-02,0.9430894
1401,3.65E-02,0.9436705
1402,3.58E-02,0.944319
1403,0.0351684,0.9450037
1404,3.45E-02,0.9456918
1405,3.38E-02,0.9463507
1406,3.32E-02,0.9469491
1407,3.27E-02,0.9474593
1408,3.24E-02,0.9478578
1409,3.21E-02,0.9481272
1410,3.20E-02,0.9482567
1411,3.20E-02,0.9482427
1412,3.22E-02,0.9480885
1413,3.25E-02,0.9478051
1414,3.29E-02,0.9474093
1415,3.34E-02,0.9469235
1416,3.40E-02,0.9463744
1417,3.46E-02,0.9457915
1418,3.52E-02,0.9452055
1419,3.58E-02,0.9446468
1420,3.63E-02,0.9441444
1421,0.036776,0.9437235
1422,3.71E-02,0.9434057
1423,3.73E-02,0.943207
1424,3.74E-02,0.9431376
1425,3.74E-02,0.9432013
1426,3.72E-02,0.9433951
1427,3.69E-02,0.9437102
1428,3.65E-02,0.9441316
1429,3.60E-02,0.9446393
1430,3.54E-02,0.9452093
1431,3.48E-02,0.9458141
1432,3.42E-02,0.9464249
1433,3.36E-02,0.9470124
1434,3.31E-02,0.9475486
1435,3.26E-02,0.9480079
1436,3.23E-02,0.948368
1437,3.21E-02,0.9486116
1438,3.20E-02,0.9487277
1439,3.20E-02,0.9487104
1440,3.22E-02,0.9485608
1441,3.25E-02,0.9482862
1442,3.29E-02,0.9479001
1443,3.34E-02,0.9474207
1444,3.40E-02,0.946871
1445,3.46E-02,0.946277
1446,3.52E-02,0.9456669
1447,3.58E-02,0.9450688
1448,3.64E-02,0.9445107
1449,3.69E-02,0.9440184
1450,3.74E-02,0.9436148
1451,0.0376718,0.9433184
1452,3.79E-02,0.9431427
1453,3.79E-02,0.943096
1454,3.79E-02,0.9431811
1455,3.77E-02,0.9433943
1456,3.73E-02,0.9437267
1457,3.69E-02,0.9441639
1458,3.64E-02,0.944687
1459,3.58E-02,0.9452735
1460,3.52E-02,0.9458976
1461,3.45E-02,0.9465325
1462,3.39E-02,0.9471502
1463,3.34E-02,0.9477242
1464,3.29E-02,0.9482297
1465,3.25E-02,0.9486449
1466,3.22E-02,0.948952
1467,3.20E-02,0.9491386
1468,3.19E-02,0.9491974
1469,3.20E-02,0.949127
1470,0.0322458,0.9489315
1471,3.26E-02,0.9486214
1472,3.30E-02,0.9482111
1473,3.35E-02,0.9477198
1474,3.41E-02,0.9471703
1475,3.47E-02,0.9465873
1476,3.53E-02,0.9459971
1477,3.59E-02,0.9454259
1478,3.65E-02,0.9448991
1479,3.69E-02,0.9444395
1480,3.73E-02,0.9440671
1481,3.76E-02,0.9437978
1482,3.78E-02,0.9436432
1483,3.78E-02,0.9436097
1484,3.78E-02,0.943699
1485,3.76E-02,0.9439071
1486,3.73E-02,0.9442255
1487,3.68E-02,0.9446406
1488,3.64E-02,0.9451353
1489,3.58E-02,0.9456891
1490,3.52E-02,0.9462789
1491,3.46E-02,0.9468806
1492,3.40E-02,0.9474694
1493,3.35E-02,0.9480212
1494,3.30E-02,0.948514
1495,3.26E-02,0.9489282
1496,3.23E-02,0.9492479
1497,3.21E-02,0.949461
1498,3.20E-02,0.9495608
1499,3.20E-02,0.9495448
1500,0.0321862,0.9494163
1501,3.24E-02,0.949183
1502,3.28E-02,0.9488572
1503,3.32E-02,0.9484549
1504,0.0336909,0.9479949
1505,3.42E-02,0.9474987
1506,3.47E-02,0.946989
1507,3.53E-02,0.9464884
1508,3.58E-02,0.9460192
1509,3.62E-02,0.9456019
1510,3.66E-02,0.9452549
1511,3.68E-02,0.9449928
1512,3.70E-02,0.9448271
1513,3.71E-02,0.9447649
1514,3.71E-02,0.9448089
1515,3.69E-02,0.9449575
1516,3.67E-02,0.9452045
1517,3.63E-02,0.9455398
1518,3.59E-02,0.9459498
1519,3.55E-02,0.9464176
1520,3.50E-02,0.9469238
1521,3.45E-02,0.947448
1522,0.0339329,0.9479688
1523,3.34E-02,0.948465
1524,3.30E-02,0.9489164
1525,3.26E-02,0.9493052
1526,3.23E-02,0.9496156
1527,0.0320975,0.9498359
1528,3.20E-02,0.9499578
1529,3.20E-02,0.9499773
1530,3.21E-02,0.9498948
1531,3.23E-02,0.9497138
1532,3.26E-02,0.9494442
1533,3.29E-02,0.9490981
1534,3.33E-02,0.9486912
1535,3.38E-02,0.9482412
1536,3.43E-02,0.9477677
1537,3.48E-02,0.9472909
1538,3.53E-02,0.9468309
1539,3.57E-02,0.9464068
1540,3.61E-02,0.9460365
1541,3.64E-02,0.9457351
1542,3.67E-02,0.9455149
1543,3.68E-02,0.9453849
1544,3.68E-02,0.9453503
1545,3.68E-02,0.9454122
1546,3.66E-02,0.9455681
1547,3.64E-02,0.9458115
1548,3.61E-02,0.9461328
1549,3.57E-02,0.9465188
1550,0.0352718,0.946954
1551,3.48E-02,0.9474211
1552,3.43E-02,0.9479014
1553,3.39E-02,0.9483758
1554,3.34E-02,0.9488256
1555,3.30E-02,0.9492334
1556,3.27E-02,0.9495833
1557,0.0323896,0.9498621
1558,3.22E-02,0.9500596
1559,3.21E-02,0.950169
1560,3.21E-02,0.9501872
1561,3.22E-02,0.9501151
1562,3.24E-02,0.9499571
1563,3.26E-02,0.9497214
