# wavelength (nm),transmission (I/F) 
8.000000000000000000e+02,1.572879913158247237e-06
8.000499999999999545e+02,1.567308668608197723e-06
8.000999999999999091e+02,1.561810086288830375e-06
8.001499999999998636e+02,1.556332638321348260e-06
8.001999999999998181e+02,1.550867490473023078e-06
8.002499999999997726e+02,1.545414628346485364e-06
8.002999999999997272e+02,1.539974037542955132e-06
8.003499999999996817e+02,1.534545703662268979e-06
8.003999999999996362e+02,1.529129612302901262e-06
8.004499999999995907e+02,1.523725749061982944e-06
8.004999999999995453e+02,1.518334099535334839e-06
8.005499999999994998e+02,1.512954649317482012e-06
8.005999999999994543e+02,1.507587384001686603e-06
8.006499999999994088e+02,1.502229738473285881e-06
8.006999999999993634e+02,1.496868424746106255e-06
8.007499999999993179e+02,1.491519380913319236e-06
8.007999999999992724e+02,1.486182592144836933e-06
8.008499999999992269e+02,1.480858043610000129e-06
8.008999999999991815e+02,1.475545720477613014e-06
8.009499999999991360e+02,1.470245607915958003e-06
8.009999999999990905e+02,1.464957691092826657e-06
8.010499999999990450e+02,1.459681955175532176e-06
8.010999999999989996e+02,1.454418385330946242e-06
8.011499999999989541e+02,1.449166966725516811e-06
8.011999999999989086e+02,1.443947494856263460e-06
8.012499999999988631e+02,1.438783672672010267e-06
8.012999999999988177e+02,1.433631513777551459e-06
8.013499999999987722e+02,1.428491004767372189e-06
8.013999999999987267e+02,1.423362132233762524e-06
8.014499999999986812e+02,1.418241686445170501e-06
8.014999999999986358e+02,1.413083923891788992e-06
8.015499999999985903e+02,1.407938126176565419e-06
8.015999999999985448e+02,1.402804278678247440e-06
8.016499999999984993e+02,1.397682366775132515e-06
8.016999999999984539e+02,1.392572375845114068e-06
8.017499999999984084e+02,1.387474291265691231e-06
8.017999999999983629e+02,1.382388098413998485e-06
8.018499999999983174e+02,1.377313796213466274e-06
8.018999999999982720e+02,1.372253677848253065e-06
8.019499999999982265e+02,1.367205390143788585e-06
8.019999999999981810e+02,1.362168918536461508e-06
8.020499999999981355e+02,1.360914093596798820e-06
8.020999999999980901e+02,1.359643206275588417e-06
8.021499999999980446e+02,1.358356340111475048e-06
8.021999999999979991e+02,1.357053578481124297e-06
8.022499999999979536e+02,1.355735004599107593e-06
8.022999999999979082e+02,1.354400701517925290e-06
8.023499999999978627e+02,1.353080660074073192e-06
8.023999999999978172e+02,1.351754924047999331e-06
8.024499999999977717e+02,1.350413633913703999e-06
8.024999999999977263e+02,1.349056870693069211e-06
8.025499999999976808e+02,1.347684715255096849e-06
8.025999999999976353e+02,1.346297248315907186e-06
8.026499999999975898e+02,1.344894550438753917e-06
8.026999999999975444e+02,1.343476702034018654e-06
8.027499999999974989e+02,1.342043783359220456e-06
8.027999999999974534e+02,1.340595874519017733e-06
8.028499999999974079e+02,1.339133055465208883e-06
8.028999999999973625e+02,1.337655405996751774e-06
8.029499999999973170e+02,1.336163005759756118e-06
8.029999999999972715e+02,1.334655934247494063e-06
8.030499999999972260e+02,1.333134956581413320e-06
8.030999999999971806e+02,1.331554784150030894e-06
8.031499999999971351e+02,1.329955683246330352e-06
8.031999999999970896e+02,1.328342334067329476e-06
8.032499999999970441e+02,1.326714816929788595e-06
8.032999999999969987e+02,1.325073211986727468e-06
8.033499999999969532e+02,1.323417599227476945e-06
8.033999999999969077e+02,1.321748058477698243e-06
8.034499999999968622e+02,1.320053566204003846e-06
8.034999999999968168e+02,1.318298077224225137e-06
8.035499999999967713e+02,1.316529041697736626e-06
8.035999999999967258e+02,1.314746540634148725e-06
8.036499999999966803e+02,1.312950654866119674e-06
8.036999999999966349e+02,1.311141480983846498e-06
8.037499999999965894e+02,1.309320443981399947e-06
8.037999999999965439e+02,1.307486259844137576e-06
8.038499999999964984e+02,1.305639008656459095e-06
8.038999999999964530e+02,1.303805499355505714e-06
8.039499999999964075e+02,1.301964495588370307e-06
8.039999999999963620e+02,1.300110577882430866e-06
8.040499999999963165e+02,1.298243156852393578e-06
8.040999999999962711e+02,1.296362980464725427e-06
8.041499999999962256e+02,1.294470126807839149e-06
8.041999999999961801e+02,1.292564673801464678e-06
8.042499999999961346e+02,1.290646699196697431e-06
8.042999999999960892e+02,1.288716280576057387e-06
8.043499999999960437e+02,1.286773495353536729e-06
8.043999999999959982e+02,1.284818420774659778e-06
8.044499999999959527e+02,1.282851133916526611e-06
8.044999999999959073e+02,1.280871711687873835e-06
8.045499999999958618e+02,1.278880230829131344e-06
8.045999999999958163e+02,1.276912419194259228e-06
8.046499999999957708e+02,1.274953555392992844e-06
8.046999999999957254e+02,1.273018256388498305e-06
8.047499999999956799e+02,1.271082617488471977e-06
8.047999999999956344e+02,1.269134993088841093e-06
8.048499999999955890e+02,1.267175455969051986e-06
8.048999999999955435e+02,1.265204078763662826e-06
8.049499999999954980e+02,1.263220933962333667e-06
