# wavelength (nm),transmission (I/F) 
8.000000000000000000e+02,2.001300443158107734e-02
8.000499999999999545e+02,1.995270521471288749e-02
8.000999999999999091e+02,1.989250074321809170e-02
8.001499999999998636e+02,1.983239100499858271e-02
8.001999999999998181e+02,1.977237598780356639e-02
8.002499999999997726e+02,1.971245567922977338e-02
8.002999999999997272e+02,1.965263006672139656e-02
8.003499999999996817e+02,1.959289913757019524e-02
8.003999999999996362e+02,1.953326287891535978e-02
8.004499999999995907e+02,1.947372127774351508e-02
8.004999999999995453e+02,1.941427432088881078e-02
8.005499999999994998e+02,1.935492199503275126e-02
8.005999999999994543e+02,1.929566428670440731e-02
8.006499999999994088e+02,1.923650118228011421e-02
8.006999999999993634e+02,1.917743266798373550e-02
8.007499999999993179e+02,1.911845872988650330e-02
8.007999999999992724e+02,1.905957935390703920e-02
8.008499999999992269e+02,1.900079452581132297e-02
8.008999999999991815e+02,1.894210423121273079e-02
8.009499999999991360e+02,1.888350845557201785e-02
8.009999999999990905e+02,1.882500718419729061e-02
8.010499999999990450e+02,1.876660040224397211e-02
8.010999999999989996e+02,1.870828809471486096e-02
8.011499999999989541e+02,1.865007024646007927e-02
8.011999999999989086e+02,1.859194684217703800e-02
8.012499999999988631e+02,1.853391786641049588e-02
8.012999999999988177e+02,1.847598330355251089e-02
8.013499999999987722e+02,1.841814313784244719e-02
8.013999999999987267e+02,1.836039735336694040e-02
8.014499999999986812e+02,1.830274593405993577e-02
8.014999999999986358e+02,1.824518886370269863e-02
8.015499999999985903e+02,1.818772612592365820e-02
8.015999999999985448e+02,1.813035770419869214e-02
8.016499999999984993e+02,1.807308358185072059e-02
8.016999999999984539e+02,1.801590374205009129e-02
8.017499999999984084e+02,1.795881816781431592e-02
8.017999999999983629e+02,1.790182684200823313e-02
8.018499999999983174e+02,1.784492992285862181e-02
8.018999999999982720e+02,1.778815730867874118e-02
8.019499999999982265e+02,1.773147869750774444e-02
8.019999999999981810e+02,1.767489407208112581e-02
8.020499999999981355e+02,1.761840341498164056e-02
8.020999999999980901e+02,1.756200670863904828e-02
8.021499999999980446e+02,1.750570393533028291e-02
8.021999999999979991e+02,1.744949507717930698e-02
8.022499999999979536e+02,1.739338011615719493e-02
8.022999999999979082e+02,1.733735903408213305e-02
8.023499999999978627e+02,1.728143181261929465e-02
8.023999999999978172e+02,1.722559843328107243e-02
8.024499999999977717e+02,1.716985887742678712e-02
8.024999999999977263e+02,1.711421312626294072e-02
8.025499999999976808e+02,1.705866116084306730e-02
8.025999999999976353e+02,1.700320296206775036e-02
