wavelength_nm,refl
798.150289017341,96.4119170984456
800,96.4145077720207
801.849710982659,96.4227979274611
803.699421965318,96.4341228719467
805.549132947977,96.447322970639
807.398843930636,96.4576856649396
809.248554913295,96.4680483592401
811.098265895954,96.4810017271157
812.947976878613,96.4956822107081
814.797687861272,96.5086355785838
816.647398843931,96.5233160621762
818.49710982659,96.5379965457686
820.346820809249,96.552677029361
822.196531791908,96.5673575129534
824.046242774567,96.5820379965458
825.895953757225,96.5993091537133
827.745664739884,96.6131260794473
829.595375722543,96.6269430051814
831.445086705202,96.6416234887738
833.294797687861,96.6563039723662
835.14450867052,96.6692573402418
836.994219653179,96.6822107081174
838.843930635838,96.692573402418
840.693641618497,96.7055267702936
842.543352601156,96.7167530224525
844.393063583815,96.7305699481865
846.242774566474,96.7417962003454
848.092485549133,96.7547495682211
849.942196531792,96.7651122625216
851.791907514451,96.7763385146805
853.64161849711,96.7884283246977
855.491329479769,96.8013816925734
857.341040462428,96.8126079447323
859.190751445087,96.8238341968912
861.040462427746,96.8350604490501
862.890173410405,96.846286701209
864.739884393064,96.8575129533679
866.589595375723,96.8696027633851
868.439306358381,96.8825561312608
870.28901734104,96.8937823834197
872.138728323699,96.9058721934369
873.988439306358,96.9170984455959
875.838150289017,96.9300518134715
877.687861271676,96.9412780656304
879.537572254335,96.9533678756477
881.387283236994,96.9628670120898
883.236994219653,96.9740932642487
885.086705202312,96.9827288428325
886.936416184971,96.993091537133
888.78612716763,97.0043177892919
890.635838150289,97.0164075993092
892.485549132948,97.0267702936097
894.335260115607,97.0362694300518
896.184971098266,97.0474956822107
898.034682080925,97.059585492228
899.884393063584,97.0716753022452
901.734104046243,97.0837651122625
903.583815028902,97.0967184801382
905.433526011561,97.1070811744387
907.28323699422,97.1200345423143
909.132947976879,97.1321243523316
910.982658959538,97.1459412780656
912.832369942197,97.1571675302245
914.682080924856,97.1701208981002
916.531791907514,97.1804835924007
918.381502890173,97.1934369602763
920.231213872832,97.206390328152
922.080924855491,97.220207253886
923.93063583815,97.2314335060449
925.780346820809,97.2426597582038
927.630057803468,97.2547495682211
929.479768786127,97.2677029360967
931.329479768786,97.2806563039724
933.179190751445,97.293609671848
935.028901734104,97.3048359240069
936.878612716763,97.314335060449
938.728323699422,97.3255613126079
940.578034682081,97.3359240069085
942.42774566474,97.3497409326425
944.277456647399,97.3609671848014
946.127167630058,97.3730569948187
947.976878612717,97.3825561312608
949.826589595376,97.3946459412781
951.676300578035,97.4058721934369
953.526011560694,97.4179620034542
955.375722543353,97.4300518134715
957.225433526012,97.4421416234888
959.075144508671,97.4516407599309
960.924855491329,97.4620034542314
962.774566473988,97.4732297063903
964.624277456647,97.4844559585492
966.473988439306,97.4939550949913
968.323699421965,97.5043177892919
970.173410404624,97.513816925734
972.023121387283,97.5215889464594
973.872832369942,97.5319516407599
975.722543352601,97.541450777202
977.57225433526,97.5518134715026
979.421965317919,97.559585492228
981.271676300578,97.5690846286701
983.121387283237,97.5777202072539
984.971098265896,97.5880829015544
986.820809248555,97.5975820379965
988.670520231214,97.607944732297
990.520231213873,97.6157167530224
992.369942196532,97.6234887737478
994.219653179191,97.6321243523316
996.06936416185,97.6407599309154
997.919075144509,97.6476683937824
999.768786127168,97.6545768566494
1001.61849710983,97.6588946459413
1003.46820809249,97.6632124352332
1005.31791907514,97.6658031088083
1007.1676300578,97.6683937823834
1009.01734104046,97.6709844559585
1010.86705202312,97.6709844559585
1012.71676300578,97.6709844559585
1014.56647398844,97.6709844559585
1016.4161849711,97.6709844559585
1018.26589595376,97.6709844559585
1020.11560693642,97.6709844559585
1021.96531791908,97.6709844559585
1023.81502890173,97.6709844559585
1025.66473988439,97.6709844559585
1027.51445086705,97.6709844559585
1029.36416184971,97.6718480138169
1031.21387283237,97.6735751295337
1033.06358381503,97.6753022452504
1034.91329479769,97.6770293609672
1036.76300578035,97.6787564766839
1038.61271676301,97.6804835924007
1040.46242774566,97.6822107081174
1042.31213872832,97.6839378238342
1044.16184971098,97.6856649395509
1046.01156069364,97.6865284974093
1047.8612716763,97.6865284974093
1049.71098265896,97.6865284974093
1051.56069364162,97.6865284974093
1053.41040462428,97.6865284974093
1055.26011560694,97.6865284974093
1057.1098265896,97.6865284974093
1058.95953757225,97.6865284974093
1060.80924855491,97.6865284974093
1062.65895953757,97.6865284974093
1064.50867052023,97.6865284974093
1066.35838150289,97.6865284974093
1068.20809248555,97.6865284974093
1070.05780346821,97.6865284974093
1071.90751445087,97.6865284974093
1073.75722543353,97.6865284974093
1075.60693641618,97.6865284974093
1077.45664739884,97.6865284974093
1079.3063583815,97.6865284974093
1081.15606936416,97.6865284974093
1083.00578034682,97.6865284974093
1084.85549132948,97.6865284974093
1086.70520231214,97.6865284974093
1088.5549132948,97.6865284974093
1090.40462427746,97.6873920552677
1092.25433526012,97.6891191709844
1094.10404624277,97.6908462867012
1095.95375722543,97.692573402418
1097.80346820809,97.6943005181347
1099.65317919075,97.6960276338515
1101.50289017341,97.6968911917099
1103.35260115607,97.6977547495682
1105.20231213873,97.699481865285
1107.05202312139,97.7003454231434
1108.90173410405,97.7003454231434
1110.75144508671,97.699481865285
1112.60115606936,97.6986183074266
1114.45086705202,97.6977547495682
1116.30057803468,97.6968911917099
1118.15028901734,97.6977547495682
1120,97.6986183074266
1121.84971098266,97.6986183074266
1123.69942196532,97.6986183074266
1125.54913294798,97.6986183074266
1127.39884393064,97.699481865285
1129.24855491329,97.7012089810017
1131.09826589595,97.7029360967185
1132.94797687861,97.7046632124352
